Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:21:31.880481,14:21:38.031406,-1,-1.0
1,14:21:31.880481,14:21:38.191561,-1,-1.0
1,14:21:31.880481,14:21:38.344524,-1,-1.0
1,14:21:31.880481,14:21:38.507687,-1,-1.0
1,14:21:31.880481,14:21:38.669256,-1,-1.0
1,14:21:31.880481,14:21:38.830905,-1,-1.0
1,14:21:31.880481,14:21:39.001821,-1,-1.0
1,14:21:31.880481,14:21:39.162056,-1,-1.0
1,14:21:31.880481,14:21:39.321935,-1,-1.0
1,14:21:31.880481,14:21:39.503297,-1,-1.0
1,14:21:31.880481,14:21:39.673858,-1,-1.0
1,14:21:31.880481,14:21:39.843773,-1,-1.0
1,14:21:31.880481,14:21:40.035556,-1,-1.0
1,14:21:31.880481,14:21:40.205083,-1,-1.0
1,14:21:31.880481,14:21:40.399367,1,-1.0
1,14:21:31.880481,14:21:40.558858,1,-1.0
1,14:21:31.880481,14:21:40.739783,1,-1.0
1,14:21:31.880481,14:21:40.921840,1,-1.0
1,14:21:31.880481,14:21:41.092829,1,-1.0
1,14:21:31.880481,14:21:41.284540,1,-1.0
1,14:21:31.880481,14:21:41.457728,1,-1.0
1,14:21:31.880481,14:21:41.643141,1,-1.0
1,14:21:31.880481,14:21:41.813688,1,-1.0
1,14:21:31.880481,14:21:41.957815,1,-1.0
1,14:21:31.880481,14:21:42.127019,1,-1.0
1,14:21:31.880481,14:21:42.286719,1,-1.0
1,14:21:31.880481,14:21:42.458021,1,-1.0
1,14:21:31.880481,14:21:42.628413,1,-1.0
1,14:21:31.880481,14:21:42.799363,1,-1.0
1,14:21:31.880481,14:21:42.959390,1,-1.0
1,14:21:31.880481,14:21:43.109244,1,-1.0
1,14:21:31.880481,14:21:43.279191,1,-1.0
1,14:21:31.880481,14:21:43.439181,1,-1.0
1,14:21:31.880481,14:21:43.599190,1,-1.0
1,14:21:31.880481,14:21:43.759184,1,-1.0
1,14:21:31.880481,14:21:43.908569,1,-1.0
1,14:21:31.880481,14:21:44.079208,1,-1.0
1,14:21:31.880481,14:21:44.227924,1,-1.0
1,14:21:31.880481,14:21:44.409991,1,-1.0
1,14:21:31.880481,14:21:44.580271,1,-1.0
1,14:21:31.880481,14:21:44.740577,1,-1.0
1,14:21:31.880481,14:21:44.911649,1,-1.0
1,14:21:31.880481,14:21:45.081845,1,-1.0
1,14:21:31.880481,14:21:45.252560,1,-1.0
1,14:21:31.880481,14:21:45.412859,1,-1.0
1,14:21:31.880481,14:21:45.572652,1,-1.0
1,14:21:31.880481,14:21:45.732121,1,-1.0
1,14:21:31.880481,14:21:45.903639,1,-1.0
1,14:21:31.880481,14:21:46.074028,1,-1.0
1,14:21:31.880481,14:21:46.223158,1,-1.0
1,14:21:31.880481,14:21:46.372262,1,-1.0
1,14:21:31.880481,14:21:46.553948,1,-1.0
1,14:21:31.880481,14:21:46.703314,1,-1.0
1,14:21:31.880481,14:21:46.884563,1,-1.0
1,14:21:31.880481,14:21:47.047349,1,-1.0
1,14:21:31.880481,14:21:47.199337,1,-1.0
1,14:21:31.880481,14:21:47.385002,1,-1.0
1,14:21:31.880481,14:21:47.546020,1,-1.0
1,14:21:31.880481,14:21:47.813552,-1,-1.0
1,14:21:31.880481,14:21:47.988527,-1,-1.0
1,14:21:31.880481,14:21:48.162920,-1,-1.0
1,14:21:31.880481,14:21:48.324235,-1,-1.0
1,14:21:31.880481,14:21:48.484586,-1,-1.0
1,14:21:31.880481,14:21:48.644021,-1,-1.0
1,14:21:31.880481,14:21:48.815432,-1,-1.0
1,14:21:31.880481,14:21:48.996648,-1,-1.0
1,14:21:31.880481,14:21:49.188099,-1,-1.0
1,14:21:31.880481,14:21:49.380584,-1,-1.0
1,14:21:31.880481,14:21:49.551185,-1,-1.0
1,14:21:31.880481,14:21:49.743697,-1,-1.0
1,14:21:31.880481,14:21:49.913895,-1,-1.0
1,14:21:31.880481,14:21:50.100794,-1,-1.0
1,14:21:31.880481,14:21:50.274697,-1,-1.0
1,14:21:31.880481,14:21:50.455443,-1,-1.0
1,14:21:31.880481,14:21:50.639180,-1,-1.0
1,14:21:31.880481,14:21:50.831150,-1,-1.0
1,14:21:31.880481,14:21:51.012480,-1,-1.0
1,14:21:31.880481,14:21:51.183585,-1,-1.0
1,14:21:31.880481,14:21:51.357911,-1,-1.0
1,14:21:31.880481,14:21:51.529566,-1,-1.0
1,14:21:31.880481,14:21:51.701441,-1,-1.0
1,14:21:31.880481,14:21:51.883652,-1,-1.0
1,14:21:31.880481,14:21:52.048914,-1,-1.0
1,14:21:31.880481,14:21:52.238271,-1,-1.0
1,14:21:31.880481,14:21:52.431358,-1,-1.0
1,14:21:31.880481,14:21:52.655083,-1,-1.0
1,14:21:31.880481,14:21:52.815014,-1,-1.0
1,14:21:31.880481,14:21:52.996076,-1,-1.0
1,14:21:31.880481,14:21:53.177921,-1,-1.0
1,14:21:31.880481,14:21:53.359312,-1,-1.0
1,14:21:31.880481,14:21:53.551342,-1,-1.0
1,14:21:31.880481,14:21:53.742578,-1,-1.0
1,14:21:31.880481,14:21:53.956331,-1,-1.0
1,14:21:31.880481,14:21:54.148365,-1,-1.0
1,14:21:31.880481,14:21:54.345114,-1,-1.0
1,14:21:31.880481,14:21:54.529546,-1,-1.0
1,14:21:31.880481,14:21:54.745369,-1,-1.0
1,14:21:31.880481,14:21:54.937745,-1,-1.0
1,14:21:31.880481,14:21:55.129548,-1,-1.0
1,14:21:31.880481,14:21:55.304783,-1,-1.0
1,14:21:31.880481,14:21:55.520853,1,-1.0
1,14:21:31.880481,14:21:55.683559,1,-1.0
1,14:21:31.880481,14:21:55.855143,1,-1.0
1,14:21:31.880481,14:21:56.041295,1,-1.0
1,14:21:31.880481,14:21:56.213997,1,-1.0
1,14:21:31.880481,14:21:56.409745,1,-1.0
