Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:55:50.849878,10:55:53.114193,1,-1.0
1,10:55:50.849878,10:55:53.136914,1,-1.0
1,10:55:50.849878,10:55:53.257718,1,-1.0
1,10:55:50.849878,10:55:53.350685,1,-1.0
1,10:55:50.849878,10:55:53.471281,1,-1.0
1,10:55:50.849878,10:55:53.569419,1,-1.0
1,10:55:50.849878,10:55:53.682492,1,-1.0
1,10:55:50.849878,10:55:53.797494,1,-1.0
1,10:55:50.849878,10:55:53.907569,1,-1.0
1,10:55:50.849878,10:55:54.025464,1,-1.0
1,10:55:50.849878,10:55:54.144728,1,-1.0
1,10:55:50.849878,10:55:54.264858,1,-1.0
1,10:55:50.849878,10:55:54.363594,1,-1.0
1,10:55:50.849878,10:55:54.489759,1,-1.0
1,10:55:50.849878,10:55:54.603404,1,-1.0
1,10:55:50.849878,10:55:54.736760,1,-1.0
1,10:55:50.849878,10:55:54.836404,1,-1.0
1,10:55:50.849878,10:55:54.937126,1,-1.0
1,10:55:50.849878,10:55:55.037795,1,-1.0
1,10:55:50.849878,10:55:55.160057,1,-1.0
1,10:55:50.849878,10:55:55.281935,1,-1.0
1,10:55:50.849878,10:55:55.395581,1,-1.0
1,10:55:50.849878,10:55:55.514796,1,-1.0
1,10:55:50.849878,10:55:55.642315,1,-1.0
1,10:55:50.849878,10:55:55.747051,1,-1.0
1,10:55:50.849878,10:55:55.856727,1,-1.0
1,10:55:50.849878,10:55:55.976889,1,-1.0
1,10:55:50.849878,10:55:56.104228,1,-1.0
1,10:55:50.849878,10:55:56.214793,1,-1.0
1,10:55:50.849878,10:55:56.393205,1,-1.0
1,10:55:50.849878,10:55:58.636033,1,-1.0
1,10:55:50.849878,10:55:58.736049,1,-1.0
1,10:55:50.849878,10:55:58.877249,1,-1.0
1,10:55:50.849878,10:55:59.018213,1,-1.0
1,10:55:50.849878,10:55:59.141772,1,-1.0
1,10:55:50.849878,10:55:59.274256,1,-1.0
1,10:55:50.849878,10:55:59.402915,1,-1.0
1,10:55:50.849878,10:55:59.536623,1,-1.0
1,10:55:50.849878,10:55:59.676740,1,-1.0
1,10:55:50.849878,10:55:59.808077,1,-1.0
1,10:55:50.849878,10:55:59.945122,1,-1.0
1,10:55:50.849878,10:56:00.107266,1,-1.0
1,10:55:50.849878,10:56:00.242192,1,-1.0
1,10:55:50.849878,10:56:00.390552,1,-1.0
1,10:55:50.849878,10:56:00.549472,1,-1.0
1,10:55:50.849878,10:56:00.682573,1,-1.0
1,10:55:50.849878,10:56:00.827693,1,-1.0
1,10:55:50.849878,10:56:00.968963,1,-1.0
1,10:55:50.849878,10:56:01.715607,1,-1.0
1,10:55:50.849878,10:56:01.881864,1,-1.0
1,10:55:50.849878,10:56:02.040622,1,-1.0
1,10:55:50.849878,10:56:02.177311,1,-1.0
1,10:55:50.849878,10:56:02.332172,1,-1.0
1,10:55:50.849878,10:56:02.473730,1,-1.0
1,10:55:50.849878,10:56:02.623837,1,-1.0
1,10:55:50.849878,10:56:02.782088,1,-1.0
1,10:55:50.849878,10:56:02.930745,1,-1.0
1,10:55:50.849878,10:56:03.279896,-1,-1.0
1,10:55:50.849878,10:56:03.442676,-1,-1.0
1,10:55:50.849878,10:56:03.575877,-1,-1.0
1,10:55:50.849878,10:56:03.721038,-1,-1.0
1,10:55:50.849878,10:56:03.872251,-1,-1.0
1,10:55:50.849878,10:56:04.028802,-1,-1.0
1,10:55:50.849878,10:56:04.159902,-1,-1.0
1,10:55:50.849878,10:56:04.323820,-1,-1.0
1,10:55:50.849878,10:56:04.544036,-1,-1.0
1,10:55:50.849878,10:56:04.656862,-1,-1.0
1,10:55:50.849878,10:56:04.803732,-1,-1.0
1,10:55:50.849878,10:56:04.976891,-1,-1.0
1,10:55:50.849878,10:56:05.105105,1,-1.0
1,10:55:50.849878,10:56:05.246093,1,-1.0
1,10:55:50.849878,10:56:05.374799,1,-1.0
1,10:55:50.849878,10:56:05.521527,1,-1.0
1,10:55:50.849878,10:56:05.676471,1,-1.0
1,10:55:50.849878,10:56:05.839453,1,-1.0
1,10:55:50.849878,10:56:05.984870,1,-1.0
1,10:55:50.849878,10:56:06.149606,1,-1.0
1,10:55:50.849878,10:56:06.301209,1,-1.0
1,10:55:50.849878,10:56:06.450809,1,-1.0
1,10:55:50.849878,10:56:06.584525,1,-1.0
1,10:55:50.849878,10:56:06.731771,1,-1.0
1,10:55:50.849878,10:56:06.874363,1,-1.0
1,10:55:50.849878,10:56:07.020550,1,-1.0
1,10:55:50.849878,10:56:07.150200,1,-1.0
1,10:55:50.849878,10:56:07.285825,1,-1.0
1,10:55:50.849878,10:56:07.419950,1,-1.0
1,10:55:50.849878,10:56:07.552826,1,-1.0
1,10:55:50.849878,10:56:07.693672,1,-1.0
1,10:55:50.849878,10:56:07.825921,1,-1.0
1,10:55:50.849878,10:56:07.968908,1,-1.0
1,10:55:50.849878,10:56:08.099969,1,-1.0
1,10:55:50.849878,10:56:08.244902,1,-1.0
1,10:55:50.849878,10:56:08.387751,1,-1.0
1,10:55:50.849878,10:56:08.531756,1,-1.0
1,10:55:50.849878,10:56:08.680702,1,-1.0
1,10:55:50.849878,10:56:09.685645,1,-1.0
1,10:55:50.849878,10:56:09.822803,1,-1.0
1,10:55:50.849878,10:56:09.961461,1,-1.0
1,10:55:50.849878,10:56:10.092712,1,-1.0
1,10:55:50.849878,10:56:10.214801,1,-1.0
1,10:55:50.849878,10:56:10.377836,1,-1.0
1,10:55:50.849878,10:56:10.510229,1,-1.0
1,10:55:50.849878,10:56:10.652335,1,-1.0
1,10:55:50.849878,10:56:10.795394,1,-1.0
1,10:55:50.849878,10:56:10.946130,1,-1.0
1,10:55:50.849878,10:56:11.084883,1,-1.0
1,10:55:50.849878,10:56:11.238847,1,-1.0
1,10:55:50.849878,10:56:11.376196,1,-1.0
1,10:55:50.849878,10:56:11.532215,1,-1.0
1,10:55:50.849878,10:56:11.680760,1,-1.0
1,10:55:50.849878,10:56:11.820899,1,-1.0
1,10:55:50.849878,10:56:11.964799,1,-1.0
1,10:55:50.849878,10:56:12.116677,1,-1.0
1,10:55:50.849878,10:56:12.262962,1,-1.0
1,10:55:50.849878,10:56:12.417239,1,-1.0
1,10:55:50.849878,10:56:12.562856,1,-1.0
1,10:55:50.849878,10:56:12.715346,1,-1.0
1,10:55:50.849878,10:56:12.873346,1,-1.0
1,10:55:50.849878,10:56:13.026693,1,-1.0
1,10:55:50.849878,10:56:13.170295,1,-1.0
1,10:55:50.849878,10:56:13.329724,1,-1.0
1,10:55:50.849878,10:56:13.469416,1,-1.0
1,10:55:50.849878,10:56:13.629010,1,-1.0
1,10:55:50.849878,10:56:13.769708,1,-1.0
1,10:55:50.849878,10:56:13.917355,1,-1.0
1,10:55:50.849878,10:56:14.075185,1,-1.0
1,10:55:50.849878,10:56:14.223191,1,-1.0
1,10:55:50.849878,10:56:14.529492,-1,-1.0
1,10:55:50.849878,10:56:14.671813,-1,-1.0
1,10:55:50.849878,10:56:14.814702,-1,-1.0
1,10:55:50.849878,10:56:14.952148,-1,-1.0
1,10:55:50.849878,10:56:15.112688,-1,-1.0
1,10:55:50.849878,10:56:15.264734,-1,-1.0
1,10:55:50.849878,10:56:15.399825,-1,-1.0
1,10:55:50.849878,10:56:15.554931,-1,-1.0
1,10:55:50.849878,10:56:15.710237,-1,-1.0
1,10:55:50.849878,10:56:15.856137,-1,-1.0
1,10:55:50.849878,10:56:16.456626,1,-1.0
1,10:55:50.849878,10:56:16.594901,1,-1.0
1,10:55:50.849878,10:56:16.748137,1,-1.0
1,10:55:50.849878,10:56:16.894588,1,-1.0
