Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:15:50.761498,10:15:53.144369,-1,-1.0
1,10:15:50.761498,10:15:53.264974,-1,-1.0
1,10:15:50.761498,10:15:53.419531,-1,-1.0
1,10:15:50.761498,10:15:53.569020,-1,-1.0
1,10:15:50.761498,10:15:53.781628,1,-1.0
1,10:15:50.761498,10:15:53.942846,1,-1.0
1,10:15:50.761498,10:15:54.113775,1,-1.0
1,10:15:50.761498,10:15:54.272879,1,-1.0
1,10:15:50.761498,10:15:54.456226,1,-1.0
1,10:15:50.761498,10:15:54.618595,-1,-1.0
1,10:15:50.761498,10:15:54.742837,1,-1.0
1,10:15:50.761498,10:15:54.913047,-1,-1.0
1,10:15:50.761498,10:15:55.041537,1,-1.0
1,10:15:50.761498,10:15:55.179651,-1,-1.0
1,10:15:50.761498,10:15:55.307910,1,-1.0
1,10:15:50.761498,10:15:55.480938,-1,-1.0
1,10:15:50.761498,10:15:55.627939,1,-1.0
1,10:15:50.761498,10:15:55.798638,-1,-1.0
1,10:15:50.761498,10:15:55.892059,1,-1.0
1,10:15:50.761498,10:15:56.075953,1,-1.0
1,10:15:50.761498,10:15:56.237393,1,-1.0
