Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:21:12.090825,10:21:13.225711,1,-1.0
1,10:21:12.090825,10:21:13.334171,1,-1.0
1,10:21:12.090825,10:21:13.465178,1,-1.0
1,10:21:12.090825,10:21:13.611433,1,-1.0
1,10:21:12.090825,10:21:13.732113,1,-1.0
1,10:21:12.090825,10:21:13.847837,1,-1.0
1,10:21:12.090825,10:21:13.972927,1,-1.0
1,10:21:12.090825,10:21:14.093540,1,-1.0
1,10:21:12.090825,10:21:14.219536,1,-1.0
1,10:21:12.090825,10:21:14.356306,1,-1.0
1,10:21:12.090825,10:21:14.466686,1,-1.0
1,10:21:12.090825,10:21:14.609663,1,-1.0
1,10:21:12.090825,10:21:14.725162,1,-1.0
1,10:21:12.090825,10:21:14.843627,1,-1.0
1,10:21:12.090825,10:21:14.971638,1,-1.0
1,10:21:12.090825,10:21:15.095878,1,-1.0
1,10:21:12.090825,10:21:15.220462,1,-1.0
1,10:21:12.090825,10:21:15.355723,1,-1.0
1,10:21:12.090825,10:21:15.486440,1,-1.0
1,10:21:12.090825,10:21:15.611916,1,-1.0
1,10:21:12.090825,10:21:15.706958,1,-1.0
1,10:21:12.090825,10:21:15.827110,1,-1.0
1,10:21:12.090825,10:21:15.936821,1,-1.0
1,10:21:12.090825,10:21:16.051958,1,-1.0
1,10:21:12.090825,10:21:16.180641,1,-1.0
1,10:21:12.090825,10:21:16.300179,1,-1.0
1,10:21:12.090825,10:21:16.432252,1,-1.0
1,10:21:12.090825,10:21:16.554771,1,-1.0
1,10:21:12.090825,10:21:16.667629,1,-1.0
1,10:21:12.090825,10:21:16.765565,1,-1.0
1,10:21:12.090825,10:21:16.899800,1,-1.0
1,10:21:12.090825,10:21:17.026461,1,-1.0
1,10:21:12.090825,10:21:17.135201,1,-1.0
1,10:21:12.090825,10:21:17.263994,1,-1.0
1,10:21:12.090825,10:21:17.399822,1,-1.0
1,10:21:12.090825,10:21:17.667818,-1,-1.0
1,10:21:12.090825,10:21:17.774931,-1,-1.0
1,10:21:12.090825,10:21:17.891838,-1,-1.0
1,10:21:12.090825,10:21:18.015473,-1,-1.0
1,10:21:12.090825,10:21:18.132172,-1,-1.0
1,10:21:12.090825,10:21:18.255156,-1,-1.0
1,10:21:12.090825,10:21:18.370373,-1,-1.0
1,10:21:12.090825,10:21:18.493632,-1,-1.0
1,10:21:12.090825,10:21:18.626860,-1,-1.0
1,10:21:12.090825,10:21:18.755663,-1,-1.0
1,10:21:12.090825,10:21:18.879708,-1,-1.0
1,10:21:12.090825,10:21:19.015944,-1,-1.0
1,10:21:12.090825,10:21:19.151164,-1,-1.0
1,10:21:12.090825,10:21:19.290554,-1,-1.0
1,10:21:12.090825,10:21:19.426968,-1,-1.0
1,10:21:12.090825,10:21:19.563613,-1,-1.0
1,10:21:12.090825,10:21:19.697947,-1,-1.0
1,10:21:12.090825,10:21:19.821656,-1,-1.0
1,10:21:12.090825,10:21:19.957237,-1,-1.0
1,10:21:12.090825,10:21:20.098506,-1,-1.0
1,10:21:12.090825,10:21:20.235889,-1,-1.0
1,10:21:12.090825,10:21:20.372759,-1,-1.0
1,10:21:12.090825,10:21:20.504909,-1,-1.0
1,10:21:12.090825,10:21:20.639053,-1,-1.0
1,10:21:12.090825,10:21:20.770944,-1,-1.0
1,10:21:12.090825,10:21:20.895130,-1,-1.0
1,10:21:12.090825,10:21:21.032462,-1,-1.0
1,10:21:12.090825,10:21:21.157328,-1,-1.0
1,10:21:12.090825,10:21:21.298479,-1,-1.0
1,10:21:12.090825,10:21:21.431785,-1,-1.0
1,10:21:12.090825,10:21:21.579755,-1,-1.0
1,10:21:12.090825,10:21:21.719202,-1,-1.0
1,10:21:12.090825,10:21:21.833627,1,-1.0
1,10:21:12.090825,10:21:21.955132,1,-1.0
1,10:21:12.090825,10:21:22.096525,1,-1.0
1,10:21:12.090825,10:21:22.235490,1,-1.0
1,10:21:12.090825,10:21:22.368524,1,-1.0
1,10:21:12.090825,10:21:22.508031,1,-1.0
1,10:21:12.090825,10:21:22.636015,1,-1.0
1,10:21:12.090825,10:21:22.773071,1,-1.0
1,10:21:12.090825,10:21:22.915200,1,-1.0
1,10:21:12.090825,10:21:23.037372,1,-1.0
1,10:21:12.090825,10:21:23.173101,1,-1.0
1,10:21:12.090825,10:21:23.295444,1,-1.0
1,10:21:12.090825,10:21:23.419805,1,-1.0
1,10:21:12.090825,10:21:23.555987,1,-1.0
1,10:21:12.090825,10:21:23.849770,-1,-1.0
1,10:21:12.090825,10:21:23.979654,-1,-1.0
1,10:21:12.090825,10:21:24.115075,-1,-1.0
1,10:21:12.090825,10:21:24.263769,-1,-1.0
1,10:21:12.090825,10:21:24.398678,-1,-1.0
1,10:21:12.090825,10:21:24.536591,-1,-1.0
1,10:21:12.090825,10:21:24.682837,-1,-1.0
1,10:21:12.090825,10:21:24.816537,-1,-1.0
1,10:21:12.090825,10:21:24.967511,-1,-1.0
1,10:21:12.090825,10:21:25.107973,-1,-1.0
1,10:21:12.090825,10:21:25.248442,-1,-1.0
1,10:21:12.090825,10:21:25.379781,-1,-1.0
1,10:21:12.090825,10:21:25.528553,-1,-1.0
1,10:21:12.090825,10:21:25.668876,-1,-1.0
1,10:21:12.090825,10:21:25.803010,-1,-1.0
1,10:21:12.090825,10:21:25.947505,-1,-1.0
1,10:21:12.090825,10:21:26.103232,-1,-1.0
1,10:21:12.090825,10:21:26.230447,-1,-1.0
1,10:21:12.090825,10:21:26.412406,1,-1.0
1,10:21:12.090825,10:21:26.525879,1,-1.0
1,10:21:12.090825,10:21:26.675495,1,-1.0
1,10:21:12.090825,10:21:26.819360,1,-1.0
1,10:21:12.090825,10:21:26.959017,1,-1.0
1,10:21:12.090825,10:21:27.100945,1,-1.0
1,10:21:12.090825,10:21:27.252097,1,-1.0
1,10:21:12.090825,10:21:27.410516,1,-1.0
1,10:21:12.090825,10:21:27.567602,1,-1.0
1,10:21:12.090825,10:21:27.721702,1,-1.0
1,10:21:12.090825,10:21:27.864893,1,-1.0
1,10:21:12.090825,10:21:28.011868,1,-1.0
1,10:21:12.090825,10:21:28.168162,1,-1.0
1,10:21:12.090825,10:21:28.331182,-1,-1.0
1,10:21:12.090825,10:21:28.468364,-1,-1.0
1,10:21:12.090825,10:21:28.606836,-1,-1.0
1,10:21:12.090825,10:21:28.741811,-1,-1.0
1,10:21:12.090825,10:21:28.881142,-1,-1.0
1,10:21:12.090825,10:21:29.017640,-1,-1.0
1,10:21:12.090825,10:21:29.157659,-1,-1.0
1,10:21:12.090825,10:21:29.290084,-1,-1.0
1,10:21:12.090825,10:21:29.432460,-1,-1.0
1,10:21:12.090825,10:21:29.577840,-1,-1.0
1,10:21:12.090825,10:21:29.715129,-1,-1.0
1,10:21:12.090825,10:21:29.859426,-1,-1.0
1,10:21:12.090825,10:21:29.998014,1,-1.0
1,10:21:12.090825,10:21:30.125101,1,-1.0
1,10:21:12.090825,10:21:30.266150,1,-1.0
1,10:21:12.090825,10:21:30.396647,1,-1.0
1,10:21:12.090825,10:21:30.532022,1,-1.0
1,10:21:12.090825,10:21:30.668625,1,-1.0
1,10:21:12.090825,10:21:30.799276,1,-1.0
1,10:21:12.090825,10:21:30.925893,1,-1.0
1,10:21:12.090825,10:21:31.072990,1,-1.0
1,10:21:12.090825,10:21:31.235006,1,-1.0
1,10:21:12.090825,10:21:31.365009,1,-1.0
1,10:21:12.090825,10:21:31.500673,1,-1.0
1,10:21:12.090825,10:21:31.642292,1,-1.0
1,10:21:12.090825,10:21:31.779679,1,-1.0
1,10:21:12.090825,10:21:31.938031,1,-1.0
1,10:21:12.090825,10:21:32.074525,1,-1.0
1,10:21:12.090825,10:21:32.224531,1,-1.0
1,10:21:12.090825,10:21:32.357512,1,-1.0
1,10:21:12.090825,10:21:32.498434,1,-1.0
1,10:21:12.090825,10:21:32.655700,1,-1.0
1,10:21:12.090825,10:21:32.802134,1,-1.0
1,10:21:12.090825,10:21:32.931416,1,-1.0
1,10:21:12.090825,10:21:33.075062,1,-1.0
1,10:21:12.090825,10:21:33.222892,1,-1.0
1,10:21:12.090825,10:21:33.354685,1,-1.0
1,10:21:12.090825,10:21:33.569166,-1,-1.0
1,10:21:12.090825,10:21:33.695278,-1,-1.0
1,10:21:12.090825,10:21:33.851506,-1,-1.0
1,10:21:12.090825,10:21:33.986652,-1,-1.0
1,10:21:12.090825,10:21:34.130994,-1,-1.0
1,10:21:12.090825,10:21:34.286285,-1,-1.0
1,10:21:12.090825,10:21:34.433964,-1,-1.0
1,10:21:12.090825,10:21:34.570600,-1,-1.0
1,10:21:12.090825,10:21:34.717565,-1,-1.0
1,10:21:12.090825,10:21:34.847018,-1,-1.0
1,10:21:12.090825,10:21:35.000731,-1,-1.0
1,10:21:12.090825,10:21:35.154849,-1,-1.0
1,10:21:12.090825,10:21:35.300581,-1,-1.0
1,10:21:12.090825,10:21:35.447699,-1,-1.0
1,10:21:12.090825,10:21:35.586869,-1,-1.0
1,10:21:12.090825,10:21:35.736529,-1,-1.0
1,10:21:12.090825,10:21:35.882804,-1,-1.0
1,10:21:12.090825,10:21:36.026752,-1,-1.0
1,10:21:12.090825,10:21:36.178623,-1,-1.0
1,10:21:12.090825,10:21:36.314446,-1,-1.0
1,10:21:12.090825,10:21:36.468992,-1,-1.0
1,10:21:12.090825,10:21:36.613455,-1,-1.0
1,10:21:12.090825,10:21:36.748910,-1,-1.0
1,10:21:12.090825,10:21:36.897023,-1,-1.0
1,10:21:12.090825,10:21:37.044667,-1,-1.0
