Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:58:48.326912,10:58:48.700933,1,-1.0
1,10:58:48.326912,10:58:48.845486,1,-1.0
1,10:58:48.326912,10:58:48.993549,1,-1.0
1,10:58:48.326912,10:58:50.414774,-1,-1.0
1,10:58:48.326912,10:58:50.572348,-1,-1.0
1,10:58:48.326912,10:58:50.727258,-1,-1.0
1,10:58:48.326912,10:58:50.886307,-1,-1.0
1,10:58:48.326912,10:58:51.049188,-1,-1.0
1,10:58:48.326912,10:58:51.196101,-1,-1.0
1,10:58:48.326912,10:58:51.357807,-1,-1.0
1,10:58:48.326912,10:58:51.512786,-1,-1.0
1,10:58:48.326912,10:58:51.669382,-1,-1.0
1,10:58:48.326912,10:58:51.822360,-1,-1.0
1,10:58:48.326912,10:58:51.978218,-1,-1.0
1,10:58:48.326912,10:58:52.126943,-1,-1.0
1,10:58:48.326912,10:58:52.283757,-1,-1.0
1,10:58:48.326912,10:58:52.440653,-1,-1.0
1,10:58:48.326912,10:58:52.593997,-1,-1.0
1,10:58:48.326912,10:58:52.757920,-1,-1.0
1,10:58:48.326912,10:58:54.052533,1,-1.0
1,10:58:48.326912,10:58:54.206619,1,-1.0
1,10:58:48.326912,10:58:54.361816,1,-1.0
1,10:58:48.326912,10:58:54.506431,1,-1.0
1,10:58:48.326912,10:58:54.646087,1,-1.0
1,10:58:48.326912,10:58:54.788067,1,-1.0
1,10:58:48.326912,10:58:54.938819,1,-1.0
1,10:58:48.326912,10:58:55.075210,1,-1.0
1,10:58:48.326912,10:58:55.217556,1,-1.0
1,10:58:48.326912,10:58:55.376377,1,-1.0
1,10:58:48.326912,10:58:55.519785,1,-1.0
1,10:58:48.326912,10:58:55.659945,1,-1.0
1,10:58:48.326912,10:58:55.810468,1,-1.0
1,10:58:48.326912,10:58:55.963853,1,-1.0
1,10:58:48.326912,10:58:56.111629,1,-1.0
1,10:58:48.326912,10:58:56.265616,1,-1.0
1,10:58:48.326912,10:58:56.414596,1,-1.0
