Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:18:26.147971,11:18:26.408784,1,-1.0
1,11:18:26.147971,11:18:27.040998,-1,-1.0
1,11:18:26.147971,11:18:27.171647,-1,-1.0
1,11:18:26.147971,11:18:27.314367,-1,-1.0
1,11:18:26.147971,11:18:27.427575,-1,-1.0
1,11:18:26.147971,11:18:27.559627,-1,-1.0
1,11:18:26.147971,11:18:28.211164,1,-1.0
1,11:18:26.147971,11:18:28.336944,1,-1.0
1,11:18:26.147971,11:18:28.464388,1,-1.0
1,11:18:26.147971,11:18:28.592059,1,-1.0
1,11:18:26.147971,11:18:28.709177,1,-1.0
1,11:18:26.147971,11:18:28.832934,1,-1.0
1,11:18:26.147971,11:18:28.944388,1,-1.0
1,11:18:26.147971,11:18:29.047676,1,-1.0
1,11:18:26.147971,11:18:29.184029,1,-1.0
1,11:18:26.147971,11:18:29.295366,1,-1.0
1,11:18:26.147971,11:18:29.419390,1,-1.0
1,11:18:26.147971,11:18:29.545268,1,-1.0
1,11:18:26.147971,11:18:29.679492,1,-1.0
1,11:18:26.147971,11:18:29.790411,1,-1.0
1,11:18:26.147971,11:18:29.894701,1,-1.0
1,11:18:26.147971,11:18:30.018373,1,-1.0
1,11:18:26.147971,11:18:30.136507,1,-1.0
1,11:18:26.147971,11:18:30.247593,1,-1.0
1,11:18:26.147971,11:18:30.364852,1,-1.0
1,11:18:26.147971,11:18:30.499012,1,-1.0
1,11:18:26.147971,11:18:30.617503,1,-1.0
1,11:18:26.147971,11:18:30.719387,1,-1.0
1,11:18:26.147971,11:18:30.829359,1,-1.0
1,11:18:26.147971,11:18:30.940325,1,-1.0
1,11:18:26.147971,11:18:31.071561,1,-1.0
1,11:18:26.147971,11:18:31.172321,1,-1.0
1,11:18:26.147971,11:18:31.287752,1,-1.0
1,11:18:26.147971,11:18:31.412937,1,-1.0
1,11:18:26.147971,11:18:31.542081,1,-1.0
1,11:18:26.147971,11:18:31.655598,1,-1.0
1,11:18:26.147971,11:18:31.792593,1,-1.0
1,11:18:26.147971,11:18:31.906483,1,-1.0
1,11:18:26.147971,11:18:32.032745,1,-1.0
1,11:18:26.147971,11:18:32.144035,1,-1.0
1,11:18:26.147971,11:18:32.248650,1,-1.0
1,11:18:26.147971,11:18:32.374395,1,-1.0
1,11:18:26.147971,11:18:32.520407,1,-1.0
1,11:18:26.147971,11:18:32.742612,1,-1.0
1,11:18:26.147971,11:18:33.087641,-1,-1.0
1,11:18:26.147971,11:18:33.207592,-1,-1.0
1,11:18:26.147971,11:18:33.327272,-1,-1.0
1,11:18:26.147971,11:18:33.431992,-1,-1.0
1,11:18:26.147971,11:18:33.553333,-1,-1.0
1,11:18:26.147971,11:18:33.688180,-1,-1.0
1,11:18:26.147971,11:18:33.796482,-1,-1.0
1,11:18:26.147971,11:18:33.925537,-1,-1.0
1,11:18:26.147971,11:18:34.036550,-1,-1.0
1,11:18:26.147971,11:18:34.165854,-1,-1.0
1,11:18:26.147971,11:18:34.281818,-1,-1.0
1,11:18:26.147971,11:18:34.421415,-1,-1.0
1,11:18:26.147971,11:18:34.531458,-1,-1.0
1,11:18:26.147971,11:18:34.655423,-1,-1.0
1,11:18:26.147971,11:18:34.794397,-1,-1.0
1,11:18:26.147971,11:18:34.904644,-1,-1.0
1,11:18:26.147971,11:18:35.026384,-1,-1.0
1,11:18:26.147971,11:18:35.143101,-1,-1.0
1,11:18:26.147971,11:18:35.268096,-1,-1.0
1,11:18:26.147971,11:18:35.402244,-1,-1.0
1,11:18:26.147971,11:18:35.543692,-1,-1.0
1,11:18:26.147971,11:18:35.655349,-1,-1.0
1,11:18:26.147971,11:18:35.785423,-1,-1.0
1,11:18:26.147971,11:18:35.904113,-1,-1.0
1,11:18:26.147971,11:18:36.032694,-1,-1.0
1,11:18:26.147971,11:18:36.166698,-1,-1.0
1,11:18:26.147971,11:18:36.305002,-1,-1.0
1,11:18:26.147971,11:18:36.404130,-1,-1.0
1,11:18:26.147971,11:18:36.529079,-1,-1.0
1,11:18:26.147971,11:18:36.671979,-1,-1.0
1,11:18:26.147971,11:18:36.808957,-1,-1.0
1,11:18:26.147971,11:18:36.942828,-1,-1.0
1,11:18:26.147971,11:18:37.074118,-1,-1.0
1,11:18:26.147971,11:18:37.210189,-1,-1.0
1,11:18:26.147971,11:18:37.337390,-1,-1.0
1,11:18:26.147971,11:18:37.471541,-1,-1.0
1,11:18:26.147971,11:18:37.605204,-1,-1.0
1,11:18:26.147971,11:18:37.784069,-1,-1.0
1,11:18:26.147971,11:18:38.182719,1,-1.0
1,11:18:26.147971,11:18:38.297168,1,-1.0
1,11:18:26.147971,11:18:38.434299,1,-1.0
1,11:18:26.147971,11:18:38.565634,1,-1.0
1,11:18:26.147971,11:18:38.680696,1,-1.0
1,11:18:26.147971,11:18:38.800381,1,-1.0
1,11:18:26.147971,11:18:38.911486,1,-1.0
1,11:18:26.147971,11:18:39.030844,1,-1.0
1,11:18:26.147971,11:18:39.151966,1,-1.0
1,11:18:26.147971,11:18:39.273401,1,-1.0
1,11:18:26.147971,11:18:39.399577,1,-1.0
