Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:44:02.050562,15:44:09.516324,-1,-1.0
1,15:44:02.050562,15:44:09.701203,-1,-1.0
1,15:44:02.050562,15:44:09.850474,-1,-1.0
1,15:44:02.050562,15:44:10.166607,-1,-1.0
1,15:44:02.050562,15:44:10.313341,-1,-1.0
1,15:44:02.050562,15:44:10.496165,-1,-1.0
1,15:44:02.050562,15:44:10.636342,-1,-1.0
1,15:44:02.050562,15:44:10.730795,-1,-1.0
1,15:44:02.050562,15:44:10.891570,-1,-1.0
1,15:44:02.050562,15:44:11.142452,-1,-1.0
1,15:44:02.050562,15:44:11.283564,-1,-1.0
1,15:44:02.050562,15:44:11.475846,-1,-1.0
1,15:44:02.050562,15:44:11.638146,-1,-1.0
1,15:44:02.050562,15:44:11.816926,-1,-1.0
1,15:44:02.050562,15:44:11.956553,-1,-1.0
1,15:44:02.050562,15:44:12.117642,-1,-1.0
1,15:44:02.050562,15:44:12.289723,-1,-1.0
1,15:44:02.050562,15:44:12.468652,-1,-1.0
1,15:44:02.050562,15:44:12.744871,1,-1.0
1,15:44:02.050562,15:44:12.960993,1,-1.0
1,15:44:02.050562,15:44:13.136301,1,-1.0
1,15:44:02.050562,15:44:13.313406,1,-1.0
1,15:44:02.050562,15:44:13.515406,1,-1.0
1,15:44:02.050562,15:44:13.706086,1,-1.0
1,15:44:02.050562,15:44:13.900795,1,-1.0
1,15:44:02.050562,15:44:14.126511,1,-1.0
1,15:44:02.050562,15:44:14.314767,1,-1.0
1,15:44:02.050562,15:44:14.488052,1,-1.0
1,15:44:02.050562,15:44:14.665786,1,-1.0
1,15:44:02.050562,15:44:14.860098,1,-1.0
1,15:44:02.050562,15:44:15.065693,1,-1.0
1,15:44:02.050562,15:44:15.283748,1,-1.0
1,15:44:02.050562,15:44:15.513213,1,-1.0
1,15:44:02.050562,15:44:15.723308,1,-1.0
1,15:44:02.050562,15:44:15.944518,1,-1.0
1,15:44:02.050562,15:44:16.130905,1,-1.0
1,15:44:02.050562,15:44:16.310488,1,-1.0
1,15:44:02.050562,15:44:16.504472,1,-1.0
1,15:44:02.050562,15:44:16.689045,1,-1.0
1,15:44:02.050562,15:44:16.868957,1,-1.0
1,15:44:02.050562,15:44:17.594681,-1,-1.0
1,15:44:02.050562,15:44:17.750149,-1,-1.0
1,15:44:02.050562,15:44:17.932501,-1,-1.0
1,15:44:02.050562,15:44:18.094381,-1,-1.0
1,15:44:02.050562,15:44:18.250540,-1,-1.0
1,15:44:02.050562,15:44:18.400728,-1,-1.0
1,15:44:02.050562,15:44:18.569622,-1,-1.0
1,15:44:02.050562,15:44:18.759335,-1,-1.0
1,15:44:02.050562,15:44:18.974156,-1,-1.0
1,15:44:02.050562,15:44:19.133465,-1,-1.0
1,15:44:02.050562,15:44:19.265542,-1,-1.0
1,15:44:02.050562,15:44:19.423911,-1,-1.0
1,15:44:02.050562,15:44:19.594758,-1,-1.0
1,15:44:02.050562,15:44:19.742697,-1,-1.0
1,15:44:02.050562,15:44:19.915202,-1,-1.0
1,15:44:02.050562,15:44:20.082593,-1,-1.0
1,15:44:02.050562,15:44:20.221889,-1,-1.0
1,15:44:02.050562,15:44:20.423332,-1,-1.0
1,15:44:02.050562,15:44:20.586324,-1,-1.0
1,15:44:02.050562,15:44:20.755621,-1,-1.0
1,15:44:02.050562,15:44:20.949292,-1,-1.0
1,15:44:02.050562,15:44:21.100442,-1,-1.0
1,15:44:02.050562,15:44:21.258019,-1,-1.0
1,15:44:02.050562,15:44:21.479223,-1,-1.0
1,15:44:02.050562,15:44:21.628327,-1,-1.0
1,15:44:02.050562,15:44:21.821627,-1,-1.0
1,15:44:02.050562,15:44:22.019880,-1,-1.0
1,15:44:02.050562,15:44:22.198805,-1,-1.0
1,15:44:02.050562,15:44:22.369796,-1,-1.0
1,15:44:02.050562,15:44:22.549258,-1,-1.0
1,15:44:02.050562,15:44:22.720095,-1,-1.0
1,15:44:02.050562,15:44:22.898245,-1,-1.0
1,15:44:02.050562,15:44:23.070950,-1,-1.0
1,15:44:02.050562,15:44:23.270706,-1,-1.0
1,15:44:02.050562,15:44:23.436217,-1,-1.0
1,15:44:02.050562,15:44:23.617457,-1,-1.0
1,15:44:02.050562,15:44:24.167709,1,-1.0
1,15:44:02.050562,15:44:24.315877,1,-1.0
1,15:44:02.050562,15:44:24.485596,1,-1.0
1,15:44:02.050562,15:44:24.651122,1,-1.0
1,15:44:02.050562,15:44:24.809698,1,-1.0
1,15:44:02.050562,15:44:25.014136,1,-1.0
1,15:44:02.050562,15:44:25.174229,1,-1.0
1,15:44:02.050562,15:44:25.337149,1,-1.0
1,15:44:02.050562,15:44:25.501735,1,-1.0
1,15:44:02.050562,15:44:25.660939,1,-1.0
1,15:44:02.050562,15:44:25.798971,1,-1.0
1,15:44:02.050562,15:44:25.947504,1,-1.0
1,15:44:02.050562,15:44:26.105260,1,-1.0
1,15:44:02.050562,15:44:26.261361,1,-1.0
1,15:44:02.050562,15:44:26.386736,1,-1.0
1,15:44:02.050562,15:44:26.532089,1,-1.0
1,15:44:02.050562,15:44:26.683500,1,-1.0
1,15:44:02.050562,15:44:26.834090,1,-1.0
1,15:44:02.050562,15:44:27.004049,1,-1.0
1,15:44:02.050562,15:44:27.169032,1,-1.0
1,15:44:02.050562,15:44:27.324600,1,-1.0
1,15:44:02.050562,15:44:27.510226,1,-1.0
1,15:44:02.050562,15:44:27.702619,1,-1.0
1,15:44:02.050562,15:44:27.894874,1,-1.0
1,15:44:02.050562,15:44:28.095378,1,-1.0
1,15:44:02.050562,15:44:28.298016,1,-1.0
1,15:44:02.050562,15:44:28.490545,1,-1.0
1,15:44:02.050562,15:44:28.704827,1,-1.0
1,15:44:02.050562,15:44:28.872032,1,-1.0
1,15:44:02.050562,15:44:29.077135,1,-1.0
1,15:44:02.050562,15:44:29.253912,1,-1.0
1,15:44:02.050562,15:44:29.418455,1,-1.0
1,15:44:02.050562,15:44:29.620487,1,-1.0
1,15:44:02.050562,15:44:29.808995,1,-1.0
1,15:44:02.050562,15:44:29.989338,1,-1.0
1,15:44:02.050562,15:44:30.185819,1,-1.0
1,15:44:02.050562,15:44:30.388257,1,-1.0
1,15:44:02.050562,15:44:30.587929,1,-1.0
1,15:44:02.050562,15:44:30.786477,1,-1.0
1,15:44:02.050562,15:44:30.962530,1,-1.0
1,15:44:02.050562,15:44:31.127434,1,-1.0
1,15:44:02.050562,15:44:31.284891,1,-1.0
1,15:44:02.050562,15:44:33.073210,1,-1.0
1,15:44:02.050562,15:44:33.221024,1,-1.0
1,15:44:02.050562,15:44:33.365314,1,-1.0
1,15:44:02.050562,15:44:33.536382,1,-1.0
1,15:44:02.050562,15:44:33.666845,1,-1.0
