Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,16:13:08.489236,16:13:11.554190,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,16:13:11.556183,16:13:12.269402,1,1.0
4,16:13:11.556183,16:13:12.817357,-1,1.0
4,16:13:11.556183,16:13:12.996329,1,1.0
4,16:13:11.556183,16:13:13.128517,-1,1.0
4,16:13:11.556183,16:13:13.274414,1,1.0
4,16:13:11.556183,16:13:13.401275,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,16:13:13.403424,16:13:13.492315,1,1.0
5,16:13:13.403424,16:13:13.616942,-1,1.0
5,16:13:13.403424,16:13:15.030438,-1,1.0
5,16:13:13.403424,16:13:15.294624,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,16:13:15.609085,16:13:15.749774,-1,1.0
6,16:13:15.609085,16:13:15.981811,-1,1.0
6,16:13:15.609085,16:13:16.191226,-1,1.0
6,16:13:15.609085,16:13:16.388601,-1,1.0
6,16:13:15.609085,16:13:16.616700,-1,1.0
6,16:13:15.609085,16:13:16.818251,-1,1.0
6,16:13:15.609085,16:13:17.030223,-1,1.0
6,16:13:15.609085,16:13:17.250418,-1,1.0
6,16:13:15.609085,16:13:17.449411,-1,1.0
6,16:13:15.609085,16:13:17.668273,-1,1.0
6,16:13:15.609085,16:13:17.907468,-1,1.0
6,16:13:15.609085,16:13:18.108445,-1,1.0
6,16:13:15.609085,16:13:18.741344,-1,1.0
6,16:13:15.609085,16:13:19.118955,-1,1.0
6,16:13:15.609085,16:13:19.353055,-1,1.0
6,16:13:15.609085,16:13:19.544330,-1,1.0
6,16:13:15.609085,16:13:19.786115,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,16:13:19.788430,16:13:19.988115,-1,1.0
7,16:13:19.788430,16:13:20.199102,-1,1.0
7,16:13:19.788430,16:13:20.420089,-1,1.0
7,16:13:19.788430,16:13:20.653892,-1,1.0
7,16:13:19.788430,16:13:20.820627,-1,1.0
7,16:13:19.788430,16:13:21.042543,-1,1.0
7,16:13:19.788430,16:13:21.246917,-1,1.0
7,16:13:19.788430,16:13:21.459890,-1,1.0
7,16:13:19.788430,16:13:21.662016,-1,1.0
7,16:13:19.788430,16:13:21.866406,-1,1.0
7,16:13:19.788430,16:13:22.088290,-1,1.0
7,16:13:19.788430,16:13:22.279192,-1,1.0
7,16:13:19.788430,16:13:22.499893,-1,1.0
7,16:13:19.788430,16:13:22.717277,-1,1.0
7,16:13:19.788430,16:13:22.904531,-1,1.0
7,16:13:19.788430,16:13:23.102431,-1,1.0
7,16:13:19.788430,16:13:23.348403,-1,1.0
7,16:13:19.788430,16:13:23.604346,-1,1.0
7,16:13:19.788430,16:13:23.843121,-1,1.0
7,16:13:19.788430,16:13:24.066831,-1,1.0
7,16:13:19.788430,16:13:24.313305,-1,1.0
7,16:13:19.788430,16:13:24.512967,-1,1.0
7,16:13:19.788430,16:13:24.735371,-1,1.0
7,16:13:19.788430,16:13:24.980409,-1,1.0
7,16:13:19.788430,16:13:25.171988,-1,1.0
7,16:13:19.788430,16:13:25.396663,-1,1.0
7,16:13:19.788430,16:13:25.598584,-1,1.0
7,16:13:19.788430,16:13:25.778892,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,16:13:48.655179,16:13:56.943626,-1,1.0
9,16:13:48.655179,16:13:58.822867,-1,1.0
9,16:13:48.655179,16:13:59.332355,-1,1.0
9,16:13:48.655179,16:13:59.736675,-1,1.0
9,16:13:48.655179,16:14:00.141136,-1,1.0
9,16:13:48.655179,16:14:00.466401,-1,1.0
9,16:13:48.655179,16:14:00.796254,-1,1.0
9,16:13:48.655179,16:14:01.115616,-1,1.0
9,16:13:48.655179,16:14:01.438431,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,16:14:01.440207,16:14:01.796549,-1,1.0
10,16:14:01.440207,16:14:02.185376,-1,1.0
10,16:14:01.440207,16:14:02.500437,-1,1.0
10,16:14:01.440207,16:14:02.784919,-1,1.0
10,16:14:01.440207,16:14:03.055260,-1,1.0
10,16:14:01.440207,16:14:03.348110,-1,1.0
