Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:41:14.715836,19:41:15.692416,1,-1.0
1,19:41:14.715836,19:41:16.123143,-1,-1.0
1,19:41:14.715836,19:41:16.313292,-1,-1.0
1,19:41:14.715836,19:41:16.466839,-1,-1.0
1,19:41:14.715836,19:41:16.636444,-1,-1.0
1,19:41:14.715836,19:41:16.799384,-1,-1.0
1,19:41:14.715836,19:41:16.981033,-1,-1.0
1,19:41:14.715836,19:41:17.164031,-1,-1.0
1,19:41:14.715836,19:41:17.332081,-1,-1.0
1,19:41:14.715836,19:41:17.504917,-1,-1.0
1,19:41:14.715836,19:41:17.675841,-1,-1.0
1,19:41:14.715836,19:41:17.846831,-1,-1.0
1,19:41:14.715836,19:41:18.020736,-1,-1.0
1,19:41:14.715836,19:41:18.294275,1,-1.0
1,19:41:14.715836,19:41:18.475990,1,-1.0
1,19:41:14.715836,19:41:18.656896,1,-1.0
1,19:41:14.715836,19:41:18.838444,1,-1.0
1,19:41:14.715836,19:41:19.031039,1,-1.0
1,19:41:14.715836,19:41:19.213640,1,-1.0
1,19:41:14.715836,19:41:19.414293,1,-1.0
1,19:41:14.715836,19:41:19.596279,1,-1.0
1,19:41:14.715836,19:41:19.808936,1,-1.0
1,19:41:14.715836,19:41:19.980300,1,-1.0
1,19:41:14.715836,19:41:20.172178,1,-1.0
1,19:41:14.715836,19:41:20.353488,1,-1.0
1,19:41:14.715836,19:41:20.537675,1,-1.0
1,19:41:14.715836,19:41:20.737277,1,-1.0
1,19:41:14.715836,19:41:20.940042,1,-1.0
1,19:41:14.715836,19:41:21.153540,1,-1.0
1,19:41:14.715836,19:41:21.324489,1,-1.0
1,19:41:14.715836,19:41:21.505350,1,-1.0
1,19:41:14.715836,19:41:21.675758,1,-1.0
1,19:41:14.715836,19:41:21.868010,1,-1.0
1,19:41:14.715836,19:41:22.049012,1,-1.0
1,19:41:14.715836,19:41:22.273422,1,-1.0
1,19:41:14.715836,19:41:22.476053,1,-1.0
1,19:41:14.715836,19:41:22.667604,1,-1.0
1,19:41:14.715836,19:41:22.859044,1,-1.0
1,19:41:14.715836,19:41:23.062848,1,-1.0
1,19:41:14.715836,19:41:23.243908,1,-1.0
1,19:41:14.715836,19:41:23.446722,1,-1.0
1,19:41:14.715836,19:41:23.648854,1,-1.0
1,19:41:14.715836,19:41:23.840822,1,-1.0
1,19:41:14.715836,19:41:26.599225,-1,-1.0
1,19:41:14.715836,19:41:26.770463,-1,-1.0
1,19:41:14.715836,19:41:26.926013,-1,-1.0
1,19:41:14.715836,19:41:27.111337,-1,-1.0
1,19:41:14.715836,19:41:27.349044,1,-1.0
1,19:41:14.715836,19:41:27.514084,1,-1.0
1,19:41:14.715836,19:41:27.700952,1,-1.0
1,19:41:14.715836,19:41:27.874754,1,-1.0
1,19:41:14.715836,19:41:28.078082,1,-1.0
1,19:41:14.715836,19:41:28.270315,1,-1.0
1,19:41:14.715836,19:41:28.429656,1,-1.0
1,19:41:14.715836,19:41:28.622473,1,-1.0
1,19:41:14.715836,19:41:28.793333,1,-1.0
1,19:41:14.715836,19:41:28.977737,1,-1.0
1,19:41:14.715836,19:41:29.174278,1,-1.0
1,19:41:14.715836,19:41:29.342157,1,-1.0
1,19:41:14.715836,19:41:29.570890,1,-1.0
1,19:41:14.715836,19:41:30.018741,-1,-1.0
1,19:41:14.715836,19:41:30.211563,-1,-1.0
1,19:41:14.715836,19:41:30.392959,-1,-1.0
1,19:41:14.715836,19:41:30.589474,-1,-1.0
1,19:41:14.715836,19:41:30.772891,-1,-1.0
1,19:41:14.715836,19:41:30.936385,-1,-1.0
1,19:41:14.715836,19:41:31.128785,-1,-1.0
1,19:41:14.715836,19:41:31.310187,-1,-1.0
1,19:41:14.715836,19:41:31.480876,-1,-1.0
1,19:41:14.715836,19:41:31.685289,-1,-1.0
1,19:41:14.715836,19:41:31.875687,1,-1.0
1,19:41:14.715836,19:41:32.033126,1,-1.0
1,19:41:14.715836,19:41:32.238232,1,-1.0
1,19:41:14.715836,19:41:32.430102,1,-1.0
1,19:41:14.715836,19:41:32.611554,1,-1.0
1,19:41:14.715836,19:41:32.807727,1,-1.0
1,19:41:14.715836,19:41:33.011008,1,-1.0
1,19:41:14.715836,19:41:33.199249,1,-1.0
1,19:41:14.715836,19:41:33.368851,1,-1.0
1,19:41:14.715836,19:41:33.538897,1,-1.0
1,19:41:14.715836,19:41:33.720601,1,-1.0
1,19:41:14.715836,19:41:33.913020,1,-1.0
1,19:41:14.715836,19:41:34.104741,1,-1.0
1,19:41:14.715836,19:41:34.273416,1,-1.0
1,19:41:14.715836,19:41:34.483555,1,-1.0
1,19:41:14.715836,19:41:34.680376,1,-1.0
1,19:41:14.715836,19:41:35.014247,1,-1.0
1,19:41:14.715836,19:41:35.286186,1,-1.0
1,19:41:14.715836,19:41:35.550243,1,-1.0
1,19:41:14.715836,19:41:35.788668,1,-1.0
1,19:41:14.715836,19:41:36.043655,1,-1.0
1,19:41:14.715836,19:41:36.259289,1,-1.0
1,19:41:14.715836,19:41:36.509921,1,-1.0
1,19:41:14.715836,19:41:36.756244,1,-1.0
1,19:41:14.715836,19:41:37.005927,1,-1.0
1,19:41:14.715836,19:41:37.421462,1,-1.0
1,19:41:14.715836,19:41:37.666789,1,-1.0
1,19:41:14.715836,19:41:37.849122,1,-1.0
1,19:41:14.715836,19:41:38.072602,1,-1.0
1,19:41:14.715836,19:41:38.296315,1,-1.0
1,19:41:14.715836,19:41:38.459126,-1,-1.0
1,19:41:14.715836,19:41:38.645713,-1,-1.0
1,19:41:14.715836,19:41:38.830068,-1,-1.0
1,19:41:14.715836,19:41:39.012981,-1,-1.0
1,19:41:14.715836,19:41:39.184435,-1,-1.0
1,19:41:14.715836,19:41:39.372020,-1,-1.0
1,19:41:14.715836,19:41:39.551740,-1,-1.0
1,19:41:14.715836,19:41:39.725279,-1,-1.0
1,19:41:14.715836,19:41:39.913514,-1,-1.0
1,19:41:14.715836,19:41:40.088833,-1,-1.0
1,19:41:14.715836,19:41:40.256549,-1,-1.0
1,19:41:14.715836,19:41:40.430284,-1,-1.0
