Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:17:47.110548,11:17:48.878781,-1,-1.0
1,11:17:47.110548,11:17:49.021691,-1,-1.0
1,11:17:47.110548,11:17:49.162709,-1,-1.0
1,11:17:47.110548,11:17:49.231703,-1,-1.0
1,11:17:47.110548,11:17:49.388787,-1,-1.0
1,11:17:47.110548,11:17:49.592767,-1,-1.0
1,11:17:47.110548,11:17:49.727972,-1,-1.0
1,11:17:47.110548,11:17:50.284822,1,-1.0
1,11:17:47.110548,11:17:50.427947,1,-1.0
1,11:17:47.110548,11:17:50.561806,1,-1.0
1,11:17:47.110548,11:17:50.666532,1,-1.0
1,11:17:47.110548,11:17:50.782726,1,-1.0
1,11:17:47.110548,11:17:50.885706,1,-1.0
1,11:17:47.110548,11:17:51.003116,1,-1.0
1,11:17:47.110548,11:17:51.148639,1,-1.0
1,11:17:47.110548,11:17:51.254774,1,-1.0
1,11:17:47.110548,11:17:51.373344,1,-1.0
1,11:17:47.110548,11:17:51.490720,1,-1.0
1,11:17:47.110548,11:17:51.610568,1,-1.0
1,11:17:47.110548,11:17:51.745658,1,-1.0
1,11:17:47.110548,11:17:51.855581,1,-1.0
1,11:17:47.110548,11:17:51.972164,1,-1.0
1,11:17:47.110548,11:17:52.079741,1,-1.0
1,11:17:47.110548,11:17:52.187875,1,-1.0
1,11:17:47.110548,11:17:52.327857,1,-1.0
1,11:17:47.110548,11:17:52.463139,1,-1.0
1,11:17:47.110548,11:17:52.576835,1,-1.0
1,11:17:47.110548,11:17:52.694520,1,-1.0
1,11:17:47.110548,11:17:52.830394,1,-1.0
1,11:17:47.110548,11:17:52.962240,1,-1.0
1,11:17:47.110548,11:17:53.136484,1,-1.0
1,11:17:47.110548,11:17:53.511682,-1,-1.0
1,11:17:47.110548,11:17:53.676527,-1,-1.0
1,11:17:47.110548,11:17:53.776860,-1,-1.0
1,11:17:47.110548,11:17:53.994100,-1,-1.0
1,11:17:47.110548,11:17:54.191770,-1,-1.0
1,11:17:47.110548,11:17:54.445420,-1,-1.0
1,11:17:47.110548,11:17:54.621466,-1,-1.0
1,11:17:47.110548,11:17:54.761502,-1,-1.0
1,11:17:47.110548,11:17:54.896362,-1,-1.0
1,11:17:47.110548,11:17:54.985083,-1,-1.0
1,11:17:47.110548,11:17:55.159977,-1,-1.0
1,11:17:47.110548,11:17:55.295627,-1,-1.0
1,11:17:47.110548,11:17:55.409544,-1,-1.0
1,11:17:47.110548,11:17:55.544074,-1,-1.0
1,11:17:47.110548,11:17:55.678015,-1,-1.0
1,11:17:47.110548,11:17:55.772239,-1,-1.0
1,11:17:47.110548,11:17:55.943813,-1,-1.0
1,11:17:47.110548,11:17:56.077453,-1,-1.0
1,11:17:47.110548,11:17:56.284374,1,-1.0
1,11:17:47.110548,11:17:56.407091,1,-1.0
1,11:17:47.110548,11:17:56.545055,1,-1.0
1,11:17:47.110548,11:17:56.677732,1,-1.0
1,11:17:47.110548,11:17:56.811646,1,-1.0
1,11:17:47.110548,11:17:56.946755,1,-1.0
1,11:17:47.110548,11:17:57.039668,1,-1.0
1,11:17:47.110548,11:17:57.159320,1,-1.0
1,11:17:47.110548,11:17:57.296724,1,-1.0
1,11:17:47.110548,11:17:57.413435,1,-1.0
1,11:17:47.110548,11:17:57.544821,1,-1.0
1,11:17:47.110548,11:17:57.659545,1,-1.0
1,11:17:47.110548,11:17:57.794539,1,-1.0
1,11:17:47.110548,11:17:57.906576,1,-1.0
1,11:17:47.110548,11:17:58.036377,1,-1.0
1,11:17:47.110548,11:17:58.178172,1,-1.0
1,11:17:47.110548,11:17:58.311958,1,-1.0
1,11:17:47.110548,11:17:58.445303,1,-1.0
1,11:17:47.110548,11:17:58.579228,1,-1.0
1,11:17:47.110548,11:17:58.711880,1,-1.0
1,11:17:47.110548,11:17:58.826621,1,-1.0
1,11:17:47.110548,11:17:58.965459,1,-1.0
1,11:17:47.110548,11:17:59.386303,-1,-1.0
1,11:17:47.110548,11:17:59.530611,-1,-1.0
1,11:17:47.110548,11:17:59.638065,-1,-1.0
1,11:17:47.110548,11:17:59.778972,-1,-1.0
1,11:17:47.110548,11:17:59.894663,-1,-1.0
1,11:17:47.110548,11:18:00.028714,-1,-1.0
1,11:17:47.110548,11:18:00.161663,-1,-1.0
1,11:17:47.110548,11:18:00.305589,-1,-1.0
1,11:17:47.110548,11:18:00.444649,-1,-1.0
1,11:17:47.110548,11:18:00.578006,-1,-1.0
1,11:17:47.110548,11:18:00.712663,-1,-1.0
1,11:17:47.110548,11:18:00.860605,-1,-1.0
1,11:17:47.110548,11:18:00.974534,-1,-1.0
1,11:17:47.110548,11:18:01.111200,-1,-1.0
1,11:17:47.110548,11:18:01.203816,-1,-1.0
1,11:17:47.110548,11:18:01.365555,-1,-1.0
1,11:17:47.110548,11:18:01.511542,-1,-1.0
1,11:17:47.110548,11:18:01.656510,-1,-1.0
1,11:17:47.110548,11:18:02.272057,1,-1.0
1,11:17:47.110548,11:18:02.391311,1,-1.0
1,11:17:47.110548,11:18:02.527327,1,-1.0
1,11:17:47.110548,11:18:02.661341,1,-1.0
1,11:17:47.110548,11:18:02.794946,1,-1.0
1,11:17:47.110548,11:18:02.905996,1,-1.0
1,11:17:47.110548,11:18:03.048567,1,-1.0
1,11:17:47.110548,11:18:03.160623,1,-1.0
1,11:17:47.110548,11:18:03.303968,1,-1.0
1,11:17:47.110548,11:18:03.445727,1,-1.0
1,11:17:47.110548,11:18:03.557764,1,-1.0
1,11:17:47.110548,11:18:03.694226,1,-1.0
