Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:42:37.559813,11:42:39.541963,-1,-1.0
1,11:42:37.559813,11:42:39.682892,-1,-1.0
1,11:42:37.559813,11:42:39.841488,-1,-1.0
1,11:42:37.559813,11:42:39.977147,-1,-1.0
1,11:42:37.559813,11:42:40.145852,-1,-1.0
1,11:42:37.559813,11:42:40.276480,-1,-1.0
1,11:42:37.559813,11:42:40.414795,-1,-1.0
1,11:42:37.559813,11:42:40.543121,-1,-1.0
1,11:42:37.559813,11:42:40.681779,-1,-1.0
1,11:42:37.559813,11:42:40.810492,-1,-1.0
1,11:42:37.559813,11:42:40.945933,-1,-1.0
1,11:42:37.559813,11:42:41.086654,-1,-1.0
1,11:42:37.559813,11:42:41.239184,-1,-1.0
1,11:42:37.559813,11:42:41.379131,-1,-1.0
1,11:42:37.559813,11:42:41.538018,-1,-1.0
1,11:42:37.559813,11:42:41.676436,-1,-1.0
1,11:42:37.559813,11:42:41.817609,-1,-1.0
1,11:42:37.559813,11:42:41.981040,-1,-1.0
1,11:42:37.559813,11:42:42.154293,-1,-1.0
1,11:42:37.559813,11:42:42.292779,-1,-1.0
1,11:42:37.559813,11:42:42.444161,-1,-1.0
1,11:42:37.559813,11:42:42.604440,-1,-1.0
1,11:42:37.559813,11:42:42.764640,-1,-1.0
1,11:42:37.559813,11:42:42.916740,-1,-1.0
1,11:42:37.559813,11:42:43.057588,-1,-1.0
1,11:42:37.559813,11:42:43.228839,-1,-1.0
1,11:42:37.559813,11:42:43.519455,-1,-1.0
1,11:42:37.559813,11:42:43.676264,-1,-1.0
1,11:42:37.559813,11:42:43.836683,-1,-1.0
1,11:42:37.559813,11:42:43.977649,-1,-1.0
1,11:42:37.559813,11:42:44.119037,-1,-1.0
1,11:42:37.559813,11:42:44.265708,-1,-1.0
1,11:42:37.559813,11:42:44.432705,-1,-1.0
1,11:42:37.559813,11:42:44.831289,-1,-1.0
1,11:42:37.559813,11:42:44.991226,-1,-1.0
1,11:42:37.559813,11:42:45.175056,1,-1.0
1,11:42:37.559813,11:42:45.326181,1,-1.0
1,11:42:37.559813,11:42:45.463400,1,-1.0
1,11:42:37.559813,11:42:45.598786,1,-1.0
1,11:42:37.559813,11:42:45.729077,1,-1.0
1,11:42:37.559813,11:42:45.887303,1,-1.0
1,11:42:37.559813,11:42:46.023170,1,-1.0
1,11:42:37.559813,11:42:46.150758,1,-1.0
1,11:42:37.559813,11:42:46.284485,1,-1.0
1,11:42:37.559813,11:42:46.398370,1,-1.0
1,11:42:37.559813,11:42:46.526374,1,-1.0
1,11:42:37.559813,11:42:46.652110,1,-1.0
1,11:42:37.559813,11:42:46.770029,1,-1.0
1,11:42:37.559813,11:42:46.876411,1,-1.0
1,11:42:37.559813,11:42:47.004198,1,-1.0
1,11:42:37.559813,11:42:47.140438,1,-1.0
1,11:42:37.559813,11:42:47.257162,1,-1.0
1,11:42:37.559813,11:42:47.383603,1,-1.0
1,11:42:37.559813,11:42:47.503403,-1,-1.0
1,11:42:37.559813,11:42:47.636094,-1,-1.0
1,11:42:37.559813,11:42:47.783723,-1,-1.0
1,11:42:37.559813,11:42:47.920964,-1,-1.0
1,11:42:37.559813,11:42:48.063434,-1,-1.0
1,11:42:37.559813,11:42:48.188117,-1,-1.0
1,11:42:37.559813,11:42:48.342900,-1,-1.0
1,11:42:37.559813,11:42:48.481889,-1,-1.0
1,11:42:37.559813,11:42:48.599378,-1,-1.0
1,11:42:37.559813,11:42:48.734424,-1,-1.0
1,11:42:37.559813,11:42:48.884631,-1,-1.0
1,11:42:37.559813,11:42:49.020604,-1,-1.0
1,11:42:37.559813,11:42:49.169353,-1,-1.0
1,11:42:37.559813,11:42:49.298307,-1,-1.0
1,11:42:37.559813,11:42:49.436491,-1,-1.0
1,11:42:37.559813,11:42:49.564356,-1,-1.0
1,11:42:37.559813,11:42:49.716549,-1,-1.0
1,11:42:37.559813,11:42:49.876351,-1,-1.0
1,11:42:37.559813,11:42:50.014928,-1,-1.0
1,11:42:37.559813,11:42:50.164581,-1,-1.0
1,11:42:37.559813,11:42:50.308120,-1,-1.0
1,11:42:37.559813,11:42:50.452442,-1,-1.0
1,11:42:37.559813,11:42:50.594271,-1,-1.0
1,11:42:37.559813,11:42:50.733734,-1,-1.0
1,11:42:37.559813,11:42:50.876345,-1,-1.0
1,11:42:37.559813,11:42:51.017687,-1,-1.0
1,11:42:37.559813,11:42:51.166622,-1,-1.0
1,11:42:37.559813,11:42:51.303205,-1,-1.0
1,11:42:37.559813,11:42:51.465330,-1,-1.0
1,11:42:37.559813,11:42:51.618158,-1,-1.0
1,11:42:37.559813,11:42:51.790928,-1,-1.0
1,11:42:37.559813,11:42:51.936562,-1,-1.0
1,11:42:37.559813,11:42:52.079687,-1,-1.0
1,11:42:37.559813,11:42:52.222266,-1,-1.0
1,11:42:37.559813,11:42:52.349810,-1,-1.0
1,11:42:37.559813,11:42:52.537556,-1,-1.0
1,11:42:37.559813,11:42:52.553864,1,-1.0
1,11:42:37.559813,11:42:52.664884,1,-1.0
1,11:42:37.559813,11:42:52.809694,1,-1.0
1,11:42:37.559813,11:42:52.943498,1,-1.0
1,11:42:37.559813,11:42:53.098025,1,-1.0
1,11:42:37.559813,11:42:53.232223,1,-1.0
1,11:42:37.559813,11:42:53.355289,1,-1.0
1,11:42:37.559813,11:42:53.488928,1,-1.0
1,11:42:37.559813,11:42:53.622301,1,-1.0
1,11:42:37.559813,11:42:53.734380,1,-1.0
1,11:42:37.559813,11:42:53.850626,1,-1.0
1,11:42:37.559813,11:42:53.974366,1,-1.0
1,11:42:37.559813,11:42:54.108630,1,-1.0
1,11:42:37.559813,11:42:54.225016,1,-1.0
1,11:42:37.559813,11:42:54.351301,1,-1.0
1,11:42:37.559813,11:42:54.529984,1,-1.0
1,11:42:37.559813,11:42:54.644175,1,-1.0
1,11:42:37.559813,11:42:54.793855,1,-1.0
1,11:42:37.559813,11:42:54.919534,1,-1.0
1,11:42:37.559813,11:42:55.067866,1,-1.0
1,11:42:37.559813,11:42:55.192641,1,-1.0
1,11:42:37.559813,11:42:55.322373,1,-1.0
1,11:42:37.559813,11:42:55.412250,1,-1.0
1,11:42:37.559813,11:42:55.540190,-1,-1.0
1,11:42:37.559813,11:42:55.668870,-1,-1.0
1,11:42:37.559813,11:42:55.815990,-1,-1.0
1,11:42:37.559813,11:42:55.964618,-1,-1.0
1,11:42:37.559813,11:42:56.113979,-1,-1.0
1,11:42:37.559813,11:42:56.252487,-1,-1.0
