Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:33:41.890294,10:33:42.505187,1,-1.0
1,10:33:41.890294,10:33:42.633185,1,-1.0
1,10:33:41.890294,10:33:42.764244,1,-1.0
1,10:33:41.890294,10:33:42.889367,1,-1.0
1,10:33:41.890294,10:33:43.027222,1,-1.0
1,10:33:41.890294,10:33:43.694697,1,-1.0
1,10:33:41.890294,10:33:43.825612,1,-1.0
1,10:33:41.890294,10:33:43.953745,1,-1.0
1,10:33:41.890294,10:33:44.071284,1,-1.0
1,10:33:41.890294,10:33:44.200864,1,-1.0
1,10:33:41.890294,10:33:44.346840,1,-1.0
1,10:33:41.890294,10:33:44.470540,1,-1.0
1,10:33:41.890294,10:33:44.597978,1,-1.0
1,10:33:41.890294,10:33:44.722409,1,-1.0
1,10:33:41.890294,10:33:44.836660,1,-1.0
1,10:33:41.890294,10:33:44.968479,1,-1.0
1,10:33:41.890294,10:33:45.099873,1,-1.0
1,10:33:41.890294,10:33:45.212814,1,-1.0
1,10:33:41.890294,10:33:45.334048,1,-1.0
1,10:33:41.890294,10:33:45.458872,1,-1.0
1,10:33:41.890294,10:33:45.584270,1,-1.0
1,10:33:41.890294,10:33:45.698158,1,-1.0
1,10:33:41.890294,10:33:45.801318,1,-1.0
1,10:33:41.890294,10:33:45.922513,1,-1.0
1,10:33:41.890294,10:33:46.049892,1,-1.0
1,10:33:41.890294,10:33:46.172743,1,-1.0
1,10:33:41.890294,10:33:46.290458,1,-1.0
1,10:33:41.890294,10:33:46.407104,1,-1.0
1,10:33:41.890294,10:33:46.522020,1,-1.0
1,10:33:41.890294,10:33:46.630762,1,-1.0
1,10:33:41.890294,10:33:46.754465,1,-1.0
1,10:33:41.890294,10:33:46.861846,1,-1.0
1,10:33:41.890294,10:33:46.961355,1,-1.0
1,10:33:41.890294,10:33:47.095837,1,-1.0
1,10:33:41.890294,10:33:47.214543,1,-1.0
1,10:33:41.890294,10:33:47.338386,1,-1.0
1,10:33:41.890294,10:33:47.477007,1,-1.0
1,10:33:41.890294,10:33:49.122060,1,-1.0
1,10:33:41.890294,10:33:49.265353,1,-1.0
1,10:33:41.890294,10:33:49.377891,1,-1.0
1,10:33:41.890294,10:33:49.497945,1,-1.0
1,10:33:41.890294,10:33:49.633955,1,-1.0
1,10:33:41.890294,10:33:49.755741,1,-1.0
1,10:33:41.890294,10:33:49.886059,1,-1.0
1,10:33:41.890294,10:33:50.023238,1,-1.0
1,10:33:41.890294,10:33:50.147388,1,-1.0
1,10:33:41.890294,10:33:50.264127,1,-1.0
1,10:33:41.890294,10:33:50.387796,1,-1.0
1,10:33:41.890294,10:33:50.531412,1,-1.0
1,10:33:41.890294,10:33:50.658410,1,-1.0
1,10:33:41.890294,10:33:50.786749,1,-1.0
1,10:33:41.890294,10:33:50.917134,1,-1.0
1,10:33:41.890294,10:33:51.174327,-1,-1.0
1,10:33:41.890294,10:33:51.298211,-1,-1.0
1,10:33:41.890294,10:33:51.443633,-1,-1.0
1,10:33:41.890294,10:33:51.579117,-1,-1.0
1,10:33:41.890294,10:33:51.703921,-1,-1.0
1,10:33:41.890294,10:33:51.826707,-1,-1.0
1,10:33:41.890294,10:33:51.956362,-1,-1.0
1,10:33:41.890294,10:33:52.091013,-1,-1.0
1,10:33:41.890294,10:33:52.204885,-1,-1.0
1,10:33:41.890294,10:33:52.364087,1,-1.0
1,10:33:41.890294,10:33:52.487148,1,-1.0
1,10:33:41.890294,10:33:52.618935,1,-1.0
1,10:33:41.890294,10:33:52.748232,1,-1.0
1,10:33:41.890294,10:33:52.886993,1,-1.0
1,10:33:41.890294,10:33:53.027637,1,-1.0
1,10:33:41.890294,10:33:53.170599,1,-1.0
1,10:33:41.890294,10:33:53.300965,1,-1.0
1,10:33:41.890294,10:33:53.457965,1,-1.0
1,10:33:41.890294,10:33:54.851873,-1,-1.0
1,10:33:41.890294,10:33:54.973186,-1,-1.0
1,10:33:41.890294,10:33:55.109653,-1,-1.0
1,10:33:41.890294,10:33:55.235215,-1,-1.0
1,10:33:41.890294,10:33:55.376344,-1,-1.0
1,10:33:41.890294,10:33:55.499990,-1,-1.0
1,10:33:41.890294,10:33:55.637780,-1,-1.0
1,10:33:41.890294,10:33:55.770932,-1,-1.0
1,10:33:41.890294,10:33:55.912671,-1,-1.0
1,10:33:41.890294,10:33:56.020688,-1,-1.0
1,10:33:41.890294,10:33:56.188924,1,-1.0
1,10:33:41.890294,10:33:56.412419,1,-1.0
1,10:33:41.890294,10:33:56.562769,1,-1.0
1,10:33:41.890294,10:33:56.681623,1,-1.0
1,10:33:41.890294,10:33:56.825590,1,-1.0
1,10:33:41.890294,10:33:56.963115,1,-1.0
1,10:33:41.890294,10:33:57.108755,1,-1.0
1,10:33:41.890294,10:33:57.234719,1,-1.0
1,10:33:41.890294,10:33:57.375786,1,-1.0
1,10:33:41.890294,10:33:57.515545,1,-1.0
1,10:33:41.890294,10:33:57.650499,1,-1.0
1,10:33:41.890294,10:33:57.793391,1,-1.0
1,10:33:41.890294,10:33:57.917206,1,-1.0
1,10:33:41.890294,10:33:58.052180,1,-1.0
1,10:33:41.890294,10:33:58.210783,1,-1.0
1,10:33:41.890294,10:33:58.345656,1,-1.0
1,10:33:41.890294,10:33:58.476827,1,-1.0
1,10:33:41.890294,10:33:58.617817,1,-1.0
1,10:33:41.890294,10:33:58.773313,1,-1.0
1,10:33:41.890294,10:33:58.900765,1,-1.0
1,10:33:41.890294,10:33:59.056459,1,-1.0
1,10:33:41.890294,10:33:59.225277,1,-1.0
1,10:33:41.890294,10:34:00.090276,1,-1.0
1,10:33:41.890294,10:34:00.226889,1,-1.0
1,10:33:41.890294,10:34:00.353089,1,-1.0
1,10:33:41.890294,10:34:00.496873,1,-1.0
1,10:33:41.890294,10:34:00.648098,1,-1.0
1,10:33:41.890294,10:34:00.785903,1,-1.0
1,10:33:41.890294,10:34:00.936086,1,-1.0
1,10:33:41.890294,10:34:01.089989,1,-1.0
1,10:33:41.890294,10:34:01.227346,1,-1.0
1,10:33:41.890294,10:34:01.361120,1,-1.0
1,10:33:41.890294,10:34:01.531694,1,-1.0
1,10:33:41.890294,10:34:01.665301,1,-1.0
1,10:33:41.890294,10:34:01.820026,1,-1.0
1,10:33:41.890294,10:34:01.948105,1,-1.0
1,10:33:41.890294,10:34:02.061549,1,-1.0
1,10:33:41.890294,10:34:02.205961,1,-1.0
1,10:33:41.890294,10:34:04.846407,-1,-1.0
1,10:33:41.890294,10:34:05.048318,-1,-1.0
1,10:33:41.890294,10:34:05.198874,-1,-1.0
1,10:33:41.890294,10:34:05.353822,-1,-1.0
1,10:33:41.890294,10:34:05.561091,-1,-1.0
1,10:33:41.890294,10:34:05.706215,-1,-1.0
1,10:33:41.890294,10:34:05.845831,1,-1.0
1,10:33:41.890294,10:34:05.957242,1,-1.0
1,10:33:41.890294,10:34:06.083986,1,-1.0
1,10:33:41.890294,10:34:06.217955,1,-1.0
1,10:33:41.890294,10:34:06.351053,1,-1.0
1,10:33:41.890294,10:34:06.474807,1,-1.0
1,10:33:41.890294,10:34:06.609831,1,-1.0
1,10:33:41.890294,10:34:06.754692,1,-1.0
1,10:33:41.890294,10:34:06.896995,1,-1.0
1,10:33:41.890294,10:34:08.257407,-1,-1.0
1,10:33:41.890294,10:34:08.398997,-1,-1.0
1,10:33:41.890294,10:34:08.534278,-1,-1.0
1,10:33:41.890294,10:34:08.685833,-1,-1.0
1,10:33:41.890294,10:34:08.826213,-1,-1.0
1,10:33:41.890294,10:34:08.960334,-1,-1.0
1,10:33:41.890294,10:34:09.099958,-1,-1.0
1,10:33:41.890294,10:34:09.243025,-1,-1.0
1,10:33:41.890294,10:34:09.401773,1,-1.0
1,10:33:41.890294,10:34:09.515751,1,-1.0
1,10:33:41.890294,10:34:09.651201,1,-1.0
1,10:33:41.890294,10:34:09.794990,1,-1.0
1,10:33:41.890294,10:34:09.937800,1,-1.0
1,10:33:41.890294,10:34:10.076734,1,-1.0
1,10:33:41.890294,10:34:10.211402,1,-1.0
1,10:33:41.890294,10:34:10.358589,1,-1.0
1,10:33:41.890294,10:34:10.496370,1,-1.0
1,10:33:41.890294,10:34:10.637577,1,-1.0
1,10:33:41.890294,10:34:10.788186,1,-1.0
1,10:33:41.890294,10:34:10.954284,1,-1.0
1,10:33:41.890294,10:34:11.094969,1,-1.0
1,10:33:41.890294,10:34:11.246563,1,-1.0
1,10:33:41.890294,10:34:11.400834,1,-1.0
1,10:33:41.890294,10:34:11.564515,1,-1.0
1,10:33:41.890294,10:34:11.733791,1,-1.0
1,10:33:41.890294,10:34:11.883788,1,-1.0
1,10:33:41.890294,10:34:12.050559,1,-1.0
1,10:33:41.890294,10:34:12.193810,1,-1.0
1,10:33:41.890294,10:34:12.337087,1,-1.0
1,10:33:41.890294,10:34:12.459763,1,-1.0
1,10:33:41.890294,10:34:12.603601,1,-1.0
1,10:33:41.890294,10:34:12.753514,1,-1.0
1,10:33:41.890294,10:34:12.906110,1,-1.0
1,10:33:41.890294,10:34:13.043365,1,-1.0
