Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:52:18.380935,11:52:18.862673,1,-1.0
1,11:52:18.380935,11:52:19.199314,1,-1.0
1,11:52:18.380935,11:52:19.406673,-1,-1.0
1,11:52:18.380935,11:52:19.529753,-1,-1.0
1,11:52:18.380935,11:52:19.653005,-1,-1.0
1,11:52:18.380935,11:52:19.757549,-1,-1.0
1,11:52:18.380935,11:52:19.885156,-1,-1.0
1,11:52:18.380935,11:52:20.011131,-1,-1.0
1,11:52:18.380935,11:52:20.125709,-1,-1.0
1,11:52:18.380935,11:52:20.244597,-1,-1.0
1,11:52:18.380935,11:52:20.362769,-1,-1.0
1,11:52:18.380935,11:52:20.486075,-1,-1.0
1,11:52:18.380935,11:52:20.614119,-1,-1.0
1,11:52:18.380935,11:52:20.727906,-1,-1.0
1,11:52:18.380935,11:52:20.855336,-1,-1.0
1,11:52:18.380935,11:52:20.988823,-1,-1.0
1,11:52:18.380935,11:52:21.118820,-1,-1.0
1,11:52:18.380935,11:52:21.231140,-1,-1.0
1,11:52:18.380935,11:52:21.366729,-1,-1.0
1,11:52:18.380935,11:52:21.484772,-1,-1.0
1,11:52:18.380935,11:52:21.612839,-1,-1.0
1,11:52:18.380935,11:52:21.728305,-1,-1.0
1,11:52:18.380935,11:52:21.854769,-1,-1.0
1,11:52:18.380935,11:52:21.988064,-1,-1.0
1,11:52:18.380935,11:52:22.362564,1,-1.0
1,11:52:18.380935,11:52:22.478063,1,-1.0
1,11:52:18.380935,11:52:22.582930,1,-1.0
1,11:52:18.380935,11:52:22.708595,1,-1.0
1,11:52:18.380935,11:52:22.837789,1,-1.0
1,11:52:18.380935,11:52:23.054114,1,-1.0
1,11:52:18.380935,11:52:23.284509,-1,-1.0
1,11:52:18.380935,11:52:23.412588,-1,-1.0
1,11:52:18.380935,11:52:23.524810,-1,-1.0
1,11:52:18.380935,11:52:23.642431,-1,-1.0
1,11:52:18.380935,11:52:23.770980,-1,-1.0
1,11:52:18.380935,11:52:23.891445,-1,-1.0
1,11:52:18.380935,11:52:24.013595,-1,-1.0
1,11:52:18.380935,11:52:24.157886,-1,-1.0
1,11:52:18.380935,11:52:24.272981,-1,-1.0
1,11:52:18.380935,11:52:24.396620,-1,-1.0
1,11:52:18.380935,11:52:24.519849,-1,-1.0
1,11:52:18.380935,11:52:24.653776,-1,-1.0
1,11:52:18.380935,11:52:24.908979,1,-1.0
1,11:52:18.380935,11:52:25.031651,1,-1.0
1,11:52:18.380935,11:52:25.174732,1,-1.0
1,11:52:18.380935,11:52:25.291750,1,-1.0
1,11:52:18.380935,11:52:25.414452,1,-1.0
1,11:52:18.380935,11:52:25.540937,1,-1.0
1,11:52:18.380935,11:52:25.670221,1,-1.0
1,11:52:18.380935,11:52:25.795979,1,-1.0
1,11:52:18.380935,11:52:25.930731,1,-1.0
1,11:52:18.380935,11:52:26.062241,1,-1.0
1,11:52:18.380935,11:52:26.198318,1,-1.0
1,11:52:18.380935,11:52:26.321738,1,-1.0
1,11:52:18.380935,11:52:26.456440,1,-1.0
1,11:52:18.380935,11:52:26.587791,1,-1.0
1,11:52:18.380935,11:52:26.720127,1,-1.0
1,11:52:18.380935,11:52:26.854868,1,-1.0
1,11:52:18.380935,11:52:26.986739,1,-1.0
1,11:52:18.380935,11:52:27.109478,1,-1.0
1,11:52:18.380935,11:52:27.254430,1,-1.0
1,11:52:18.380935,11:52:27.376653,1,-1.0
1,11:52:18.380935,11:52:27.517348,1,-1.0
1,11:52:18.380935,11:52:27.633795,1,-1.0
1,11:52:18.380935,11:52:27.772792,1,-1.0
1,11:52:18.380935,11:52:27.895150,1,-1.0
1,11:52:18.380935,11:52:28.023984,1,-1.0
1,11:52:18.380935,11:52:28.153253,1,-1.0
1,11:52:18.380935,11:52:28.285921,1,-1.0
1,11:52:18.380935,11:52:28.420733,1,-1.0
1,11:52:18.380935,11:52:28.558361,1,-1.0
1,11:52:18.380935,11:52:28.702944,1,-1.0
1,11:52:18.380935,11:52:28.835516,1,-1.0
1,11:52:18.380935,11:52:28.959570,1,-1.0
1,11:52:18.380935,11:52:29.099859,1,-1.0
1,11:52:18.380935,11:52:29.230591,1,-1.0
1,11:52:18.380935,11:52:29.372847,1,-1.0
1,11:52:18.380935,11:52:29.486572,1,-1.0
1,11:52:18.380935,11:52:29.622309,1,-1.0
1,11:52:18.380935,11:52:29.751874,1,-1.0
1,11:52:18.380935,11:52:29.881351,1,-1.0
1,11:52:18.380935,11:52:30.299952,-1,-1.0
1,11:52:18.380935,11:52:30.422669,-1,-1.0
1,11:52:18.380935,11:52:30.547362,-1,-1.0
1,11:52:18.380935,11:52:30.685999,-1,-1.0
1,11:52:18.380935,11:52:30.815302,-1,-1.0
1,11:52:18.380935,11:52:30.940669,-1,-1.0
1,11:52:18.380935,11:52:31.072993,-1,-1.0
1,11:52:18.380935,11:52:31.204199,-1,-1.0
1,11:52:18.380935,11:52:31.336292,-1,-1.0
1,11:52:18.380935,11:52:31.472041,-1,-1.0
1,11:52:18.380935,11:52:31.616844,-1,-1.0
1,11:52:18.380935,11:52:31.748889,-1,-1.0
