Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:46:06.732206,19:46:12.947492,1,-1.0
1,19:46:06.732206,19:46:13.077906,1,-1.0
1,19:46:06.732206,19:46:13.218413,1,-1.0
1,19:46:06.732206,19:46:13.387574,1,-1.0
1,19:46:06.732206,19:46:13.538564,1,-1.0
1,19:46:06.732206,19:46:13.698940,-1,-1.0
1,19:46:06.732206,19:46:13.848173,-1,-1.0
1,19:46:06.732206,19:46:14.007291,-1,-1.0
1,19:46:06.732206,19:46:14.165525,-1,-1.0
1,19:46:06.732206,19:46:14.337745,-1,-1.0
1,19:46:06.732206,19:46:14.498821,-1,-1.0
1,19:46:06.732206,19:46:14.662589,-1,-1.0
1,19:46:06.732206,19:46:14.872278,-1,-1.0
1,19:46:06.732206,19:46:15.219233,-1,-1.0
1,19:46:06.732206,19:46:15.426332,-1,-1.0
1,19:46:06.732206,19:46:15.629521,-1,-1.0
1,19:46:06.732206,19:46:15.901695,1,-1.0
1,19:46:06.732206,19:46:16.094064,1,-1.0
1,19:46:06.732206,19:46:16.255425,1,-1.0
1,19:46:06.732206,19:46:16.427910,1,-1.0
1,19:46:06.732206,19:46:16.556786,1,-1.0
1,19:46:06.732206,19:46:16.770468,1,-1.0
1,19:46:06.732206,19:46:16.962312,1,-1.0
1,19:46:06.732206,19:46:17.134664,1,-1.0
1,19:46:06.732206,19:46:17.303578,1,-1.0
1,19:46:06.732206,19:46:17.496030,1,-1.0
1,19:46:06.732206,19:46:17.634399,1,-1.0
1,19:46:06.732206,19:46:17.815732,-1,-1.0
1,19:46:06.732206,19:46:17.976693,-1,-1.0
1,19:46:06.732206,19:46:18.146852,-1,-1.0
1,19:46:06.732206,19:46:18.317428,1,-1.0
1,19:46:06.732206,19:46:18.466878,1,-1.0
1,19:46:06.732206,19:46:18.635926,1,-1.0
1,19:46:06.732206,19:46:18.762351,-1,-1.0
1,19:46:06.732206,19:46:18.912685,1,-1.0
1,19:46:06.732206,19:46:19.062363,-1,-1.0
1,19:46:06.732206,19:46:19.157580,1,-1.0
1,19:46:06.732206,19:46:19.284135,-1,-1.0
1,19:46:06.732206,19:46:19.367864,1,-1.0
1,19:46:06.732206,19:46:19.527874,-1,-1.0
1,19:46:06.732206,19:46:19.646455,1,-1.0
1,19:46:06.732206,19:46:19.773330,-1,-1.0
1,19:46:06.732206,19:46:19.857684,1,-1.0
1,19:46:06.732206,19:46:20.002356,-1,-1.0
1,19:46:06.732206,19:46:20.076393,1,-1.0
1,19:46:06.732206,19:46:20.226805,-1,-1.0
1,19:46:06.732206,19:46:20.312107,1,-1.0
1,19:46:06.732206,19:46:20.450049,-1,-1.0
1,19:46:06.732206,19:46:20.522049,1,-1.0
1,19:46:06.732206,19:46:20.704717,-1,-1.0
1,19:46:06.732206,19:46:20.775978,1,-1.0
1,19:46:06.732206,19:46:20.950584,-1,-1.0
1,19:46:06.732206,19:46:20.990118,1,-1.0
1,19:46:06.732206,19:46:21.163183,-1,-1.0
1,19:46:06.732206,19:46:21.235770,1,-1.0
1,19:46:06.732206,19:46:21.399011,-1,-1.0
1,19:46:06.732206,19:46:21.460890,1,-1.0
1,19:46:06.732206,19:46:21.634777,-1,-1.0
1,19:46:06.732206,19:46:21.696398,1,-1.0
1,19:46:06.732206,19:46:21.883904,-1,-1.0
1,19:46:06.732206,19:46:21.989120,1,-1.0
1,19:46:06.732206,19:46:22.135598,-1,-1.0
1,19:46:06.732206,19:46:22.219282,1,-1.0
1,19:46:06.732206,19:46:22.370180,-1,-1.0
1,19:46:06.732206,19:46:22.419052,1,-1.0
1,19:46:06.732206,19:46:22.592307,-1,-1.0
1,19:46:06.732206,19:46:22.666671,1,-1.0
1,19:46:06.732206,19:46:22.860121,-1,-1.0
1,19:46:06.732206,19:46:22.911578,1,-1.0
1,19:46:06.732206,19:46:23.106771,-1,-1.0
1,19:46:06.732206,19:46:23.168872,1,-1.0
1,19:46:06.732206,19:46:23.351862,-1,-1.0
1,19:46:06.732206,19:46:23.425350,1,-1.0
1,19:46:06.732206,19:46:23.608165,-1,-1.0
1,19:46:06.732206,19:46:23.671056,1,-1.0
1,19:46:06.732206,19:46:23.831980,-1,-1.0
1,19:46:06.732206,19:46:23.914868,1,-1.0
1,19:46:06.732206,19:46:24.109305,-1,-1.0
1,19:46:06.732206,19:46:24.171087,1,-1.0
1,19:46:06.732206,19:46:24.376357,-1,-1.0
1,19:46:06.732206,19:46:24.461239,1,-1.0
1,19:46:06.732206,19:46:24.706419,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:46:24.708841,19:46:24.790329,1,-1.0
2,19:46:24.708841,19:46:25.080337,1,-1.0
2,19:46:24.708841,19:46:25.623893,-1,-1.0
2,19:46:24.708841,19:46:25.727133,1,-1.0
2,19:46:24.708841,19:46:25.921524,-1,-1.0
2,19:46:24.708841,19:46:25.983181,1,-1.0
2,19:46:24.708841,19:46:26.178725,-1,-1.0
2,19:46:24.708841,19:46:26.251107,1,-1.0
2,19:46:24.708841,19:46:26.443782,-1,-1.0
2,19:46:24.708841,19:46:26.494410,1,-1.0
2,19:46:24.708841,19:46:26.679851,-1,-1.0
