Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:57:27.311516,10:57:28.295765,1,-1.0
1,10:57:27.311516,10:57:28.419185,1,-1.0
1,10:57:27.311516,10:57:28.544169,1,-1.0
1,10:57:27.311516,10:57:29.986161,-1,-1.0
1,10:57:27.311516,10:57:30.126552,-1,-1.0
1,10:57:27.311516,10:57:30.268516,-1,-1.0
1,10:57:27.311516,10:57:30.400033,-1,-1.0
1,10:57:27.311516,10:57:31.581793,1,-1.0
1,10:57:27.311516,10:57:31.709009,1,-1.0
1,10:57:27.311516,10:57:31.866067,1,-1.0
1,10:57:27.311516,10:57:32.014905,1,-1.0
1,10:57:27.311516,10:57:32.152502,1,-1.0
1,10:57:27.311516,10:57:32.298023,1,-1.0
1,10:57:27.311516,10:57:35.536781,1,-1.0
1,10:57:27.311516,10:57:35.666671,1,-1.0
1,10:57:27.311516,10:57:35.801378,1,-1.0
1,10:57:27.311516,10:57:35.932423,1,-1.0
1,10:57:27.311516,10:57:36.049298,1,-1.0
1,10:57:27.311516,10:57:36.186620,1,-1.0
1,10:57:27.311516,10:57:36.306705,1,-1.0
1,10:57:27.311516,10:57:36.429791,1,-1.0
1,10:57:27.311516,10:57:36.566830,1,-1.0
1,10:57:27.311516,10:57:36.680702,1,-1.0
1,10:57:27.311516,10:57:36.809223,1,-1.0
1,10:57:27.311516,10:57:36.931441,1,-1.0
1,10:57:27.311516,10:57:37.062098,1,-1.0
1,10:57:27.311516,10:57:37.173799,1,-1.0
1,10:57:27.311516,10:57:37.290487,1,-1.0
1,10:57:27.311516,10:57:37.418211,1,-1.0
1,10:57:27.311516,10:57:37.541135,1,-1.0
1,10:57:27.311516,10:57:37.673031,1,-1.0
1,10:57:27.311516,10:57:37.776436,1,-1.0
1,10:57:27.311516,10:57:37.896934,1,-1.0
1,10:57:27.311516,10:57:38.024788,1,-1.0
1,10:57:27.311516,10:57:38.146608,1,-1.0
1,10:57:27.311516,10:57:38.265117,1,-1.0
1,10:57:27.311516,10:57:38.389798,1,-1.0
1,10:57:27.311516,10:57:38.507824,1,-1.0
1,10:57:27.311516,10:57:38.622548,1,-1.0
1,10:57:27.311516,10:57:38.737504,1,-1.0
1,10:57:27.311516,10:57:38.855692,1,-1.0
1,10:57:27.311516,10:57:38.971597,1,-1.0
1,10:57:27.311516,10:57:39.096638,1,-1.0
1,10:57:27.311516,10:57:39.217898,1,-1.0
1,10:57:27.311516,10:57:39.308409,1,-1.0
1,10:57:27.311516,10:57:41.025850,-1,-1.0
1,10:57:27.311516,10:57:41.145023,-1,-1.0
1,10:57:27.311516,10:57:41.272864,-1,-1.0
1,10:57:27.311516,10:57:41.416186,-1,-1.0
1,10:57:27.311516,10:57:41.559561,-1,-1.0
1,10:57:27.311516,10:57:41.696200,-1,-1.0
1,10:57:27.311516,10:57:41.829360,-1,-1.0
1,10:57:27.311516,10:57:41.959134,-1,-1.0
1,10:57:27.311516,10:57:42.088925,-1,-1.0
1,10:57:27.311516,10:57:42.234035,-1,-1.0
1,10:57:27.311516,10:57:42.347183,-1,-1.0
1,10:57:27.311516,10:57:42.483943,-1,-1.0
1,10:57:27.311516,10:57:42.619042,-1,-1.0
1,10:57:27.311516,10:57:44.331825,1,-1.0
1,10:57:27.311516,10:57:44.468255,1,-1.0
1,10:57:27.311516,10:57:44.591800,1,-1.0
1,10:57:27.311516,10:57:44.726778,1,-1.0
1,10:57:27.311516,10:57:44.850574,1,-1.0
1,10:57:27.311516,10:57:44.994487,1,-1.0
1,10:57:27.311516,10:57:45.113529,1,-1.0
1,10:57:27.311516,10:57:45.248890,1,-1.0
1,10:57:27.311516,10:57:45.384463,1,-1.0
1,10:57:27.311516,10:57:45.517036,1,-1.0
1,10:57:27.311516,10:57:45.641703,1,-1.0
1,10:57:27.311516,10:57:45.780993,1,-1.0
1,10:57:27.311516,10:57:47.584883,1,-1.0
1,10:57:27.311516,10:57:47.729079,1,-1.0
1,10:57:27.311516,10:57:47.857662,1,-1.0
1,10:57:27.311516,10:57:47.991194,1,-1.0
1,10:57:27.311516,10:57:48.126900,1,-1.0
1,10:57:27.311516,10:57:48.261706,1,-1.0
1,10:57:27.311516,10:57:48.399546,1,-1.0
1,10:57:27.311516,10:57:48.522764,1,-1.0
1,10:57:27.311516,10:57:48.657686,1,-1.0
1,10:57:27.311516,10:57:48.799613,1,-1.0
1,10:57:27.311516,10:57:48.923221,1,-1.0
1,10:57:27.311516,10:57:49.049446,1,-1.0
1,10:57:27.311516,10:57:49.190057,1,-1.0
1,10:57:27.311516,10:57:49.324382,1,-1.0
1,10:57:27.311516,10:57:49.462082,1,-1.0
1,10:57:27.311516,10:57:49.591747,1,-1.0
1,10:57:27.311516,10:57:49.713691,1,-1.0
1,10:57:27.311516,10:57:49.833631,1,-1.0
1,10:57:27.311516,10:57:49.966450,1,-1.0
1,10:57:27.311516,10:57:50.112697,1,-1.0
1,10:57:27.311516,10:57:50.232111,1,-1.0
1,10:57:27.311516,10:57:50.370604,1,-1.0
1,10:57:27.311516,10:57:50.508257,1,-1.0
1,10:57:27.311516,10:57:50.642707,1,-1.0
1,10:57:27.311516,10:57:50.772518,1,-1.0
1,10:57:27.311516,10:57:50.897984,1,-1.0
1,10:57:27.311516,10:57:51.023261,1,-1.0
1,10:57:27.311516,10:57:51.151878,1,-1.0
1,10:57:27.311516,10:57:51.289510,1,-1.0
1,10:57:27.311516,10:57:51.408192,1,-1.0
1,10:57:27.311516,10:57:51.543865,1,-1.0
1,10:57:27.311516,10:57:51.675971,1,-1.0
