Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:27:26.812711,11:27:28.801733,-1,-1.0
1,11:27:26.812711,11:27:28.960665,-1,-1.0
1,11:27:26.812711,11:27:29.126970,-1,-1.0
1,11:27:26.812711,11:27:29.287589,-1,-1.0
1,11:27:26.812711,11:27:29.456034,-1,-1.0
1,11:27:26.812711,11:27:29.592334,-1,-1.0
1,11:27:26.812711,11:27:29.744840,-1,-1.0
1,11:27:26.812711,11:27:30.106078,1,-1.0
1,11:27:26.812711,11:27:30.265780,1,-1.0
1,11:27:26.812711,11:27:30.426621,1,-1.0
1,11:27:26.812711,11:27:30.579972,1,-1.0
1,11:27:26.812711,11:27:30.727384,1,-1.0
1,11:27:26.812711,11:27:30.896211,1,-1.0
1,11:27:26.812711,11:27:31.030869,1,-1.0
1,11:27:26.812711,11:27:31.175926,1,-1.0
1,11:27:26.812711,11:27:31.319021,1,-1.0
1,11:27:26.812711,11:27:31.455338,1,-1.0
1,11:27:26.812711,11:27:31.605726,1,-1.0
1,11:27:26.812711,11:27:31.751111,1,-1.0
1,11:27:26.812711,11:27:31.902959,1,-1.0
1,11:27:26.812711,11:27:32.040081,1,-1.0
1,11:27:26.812711,11:27:32.175924,1,-1.0
1,11:27:26.812711,11:27:32.311621,1,-1.0
1,11:27:26.812711,11:27:32.446917,1,-1.0
1,11:27:26.812711,11:27:32.578498,1,-1.0
1,11:27:26.812711,11:27:32.728129,1,-1.0
1,11:27:26.812711,11:27:32.863958,1,-1.0
1,11:27:26.812711,11:27:33.008984,1,-1.0
1,11:27:26.812711,11:27:33.158465,1,-1.0
1,11:27:26.812711,11:27:33.282382,1,-1.0
1,11:27:26.812711,11:27:33.432371,1,-1.0
1,11:27:26.812711,11:27:33.566514,1,-1.0
1,11:27:26.812711,11:27:33.719393,1,-1.0
1,11:27:26.812711,11:27:33.858491,1,-1.0
1,11:27:26.812711,11:27:34.012928,1,-1.0
1,11:27:26.812711,11:27:34.155380,1,-1.0
1,11:27:26.812711,11:27:34.313178,1,-1.0
1,11:27:26.812711,11:27:34.457441,1,-1.0
1,11:27:26.812711,11:27:34.613810,1,-1.0
1,11:27:26.812711,11:27:34.768144,1,-1.0
1,11:27:26.812711,11:27:34.895136,1,-1.0
1,11:27:26.812711,11:27:35.042359,1,-1.0
1,11:27:26.812711,11:27:35.182054,1,-1.0
1,11:27:26.812711,11:27:35.305562,1,-1.0
1,11:27:26.812711,11:27:35.432965,1,-1.0
1,11:27:26.812711,11:27:35.563442,1,-1.0
1,11:27:26.812711,11:27:35.699526,1,-1.0
1,11:27:26.812711,11:27:35.841081,1,-1.0
1,11:27:26.812711,11:27:35.988718,1,-1.0
1,11:27:26.812711,11:27:36.112997,1,-1.0
1,11:27:26.812711,11:27:36.413750,-1,-1.0
1,11:27:26.812711,11:27:36.525471,-1,-1.0
1,11:27:26.812711,11:27:36.670547,-1,-1.0
1,11:27:26.812711,11:27:36.817844,-1,-1.0
1,11:27:26.812711,11:27:36.968140,-1,-1.0
1,11:27:26.812711,11:27:37.120023,-1,-1.0
1,11:27:26.812711,11:27:37.289149,-1,-1.0
1,11:27:26.812711,11:27:37.427843,-1,-1.0
1,11:27:26.812711,11:27:37.585007,-1,-1.0
1,11:27:26.812711,11:27:37.743014,-1,-1.0
1,11:27:26.812711,11:27:37.905057,-1,-1.0
1,11:27:26.812711,11:27:38.088289,-1,-1.0
1,11:27:26.812711,11:27:38.233868,-1,-1.0
1,11:27:26.812711,11:27:38.400473,-1,-1.0
1,11:27:26.812711,11:27:38.543990,-1,-1.0
1,11:27:26.812711,11:27:38.697333,-1,-1.0
1,11:27:26.812711,11:27:38.839738,-1,-1.0
1,11:27:26.812711,11:27:39.007950,-1,-1.0
1,11:27:26.812711,11:27:39.134612,-1,-1.0
1,11:27:26.812711,11:27:39.284531,-1,-1.0
1,11:27:26.812711,11:27:39.436535,-1,-1.0
1,11:27:26.812711,11:27:39.592797,-1,-1.0
1,11:27:26.812711,11:27:39.747927,-1,-1.0
1,11:27:26.812711,11:27:39.911240,-1,-1.0
1,11:27:26.812711,11:27:40.060406,-1,-1.0
1,11:27:26.812711,11:27:40.221712,-1,-1.0
1,11:27:26.812711,11:27:40.376458,-1,-1.0
1,11:27:26.812711,11:27:40.532495,-1,-1.0
1,11:27:26.812711,11:27:40.671161,-1,-1.0
1,11:27:26.812711,11:27:40.830534,-1,-1.0
1,11:27:26.812711,11:27:40.994482,-1,-1.0
1,11:27:26.812711,11:27:41.133152,-1,-1.0
1,11:27:26.812711,11:27:41.274251,-1,-1.0
1,11:27:26.812711,11:27:41.426090,-1,-1.0
1,11:27:26.812711,11:27:41.556919,-1,-1.0
1,11:27:26.812711,11:27:41.720941,-1,-1.0
1,11:27:26.812711,11:27:41.848835,-1,-1.0
1,11:27:26.812711,11:27:41.999781,-1,-1.0
1,11:27:26.812711,11:27:42.143503,-1,-1.0
1,11:27:26.812711,11:27:42.307868,1,-1.0
1,11:27:26.812711,11:27:42.472588,1,-1.0
1,11:27:26.812711,11:27:42.628370,1,-1.0
1,11:27:26.812711,11:27:42.792156,1,-1.0
1,11:27:26.812711,11:27:42.935928,1,-1.0
1,11:27:26.812711,11:27:43.075607,1,-1.0
1,11:27:26.812711,11:27:43.227333,1,-1.0
1,11:27:26.812711,11:27:43.384115,1,-1.0
1,11:27:26.812711,11:27:43.540849,1,-1.0
1,11:27:26.812711,11:27:43.695357,1,-1.0
1,11:27:26.812711,11:27:43.838200,1,-1.0
1,11:27:26.812711,11:27:43.994377,1,-1.0
1,11:27:26.812711,11:27:44.152725,1,-1.0
1,11:27:26.812711,11:27:44.310546,1,-1.0
1,11:27:26.812711,11:27:44.455948,1,-1.0
1,11:27:26.812711,11:27:44.623705,1,-1.0
1,11:27:26.812711,11:27:44.766034,1,-1.0
1,11:27:26.812711,11:27:44.918941,1,-1.0
1,11:27:26.812711,11:27:45.057946,1,-1.0
1,11:27:26.812711,11:27:45.222732,1,-1.0
1,11:27:26.812711,11:27:45.375773,1,-1.0
1,11:27:26.812711,11:27:45.533463,1,-1.0
1,11:27:26.812711,11:27:45.683077,1,-1.0
1,11:27:26.812711,11:27:45.836996,1,-1.0
1,11:27:26.812711,11:27:45.963785,1,-1.0
1,11:27:26.812711,11:27:46.119323,1,-1.0
1,11:27:26.812711,11:27:46.257290,1,-1.0
1,11:27:26.812711,11:27:46.405404,1,-1.0
1,11:27:26.812711,11:27:46.559194,1,-1.0
1,11:27:26.812711,11:27:46.695350,1,-1.0
1,11:27:26.812711,11:27:46.829809,1,-1.0
1,11:27:26.812711,11:27:46.972120,1,-1.0
1,11:27:26.812711,11:27:47.107024,1,-1.0
1,11:27:26.812711,11:27:47.240923,1,-1.0
1,11:27:26.812711,11:27:47.397178,1,-1.0
1,11:27:26.812711,11:27:47.538960,1,-1.0
1,11:27:26.812711,11:27:47.683566,1,-1.0
1,11:27:26.812711,11:27:47.837842,1,-1.0
1,11:27:26.812711,11:27:47.973909,1,-1.0
1,11:27:26.812711,11:27:48.118808,1,-1.0
1,11:27:26.812711,11:27:48.256191,1,-1.0
1,11:27:26.812711,11:27:48.412158,1,-1.0
1,11:27:26.812711,11:27:48.576044,1,-1.0
1,11:27:26.812711,11:27:48.726087,1,-1.0
1,11:27:26.812711,11:27:48.870765,-1,-1.0
1,11:27:26.812711,11:27:49.030580,-1,-1.0
1,11:27:26.812711,11:27:49.190727,-1,-1.0
1,11:27:26.812711,11:27:49.360444,-1,-1.0
1,11:27:26.812711,11:27:49.518718,-1,-1.0
1,11:27:26.812711,11:27:49.657938,-1,-1.0
1,11:27:26.812711,11:27:49.801980,-1,-1.0
1,11:27:26.812711,11:27:49.955739,-1,-1.0
1,11:27:26.812711,11:27:50.110313,-1,-1.0
1,11:27:26.812711,11:27:50.261898,-1,-1.0
1,11:27:26.812711,11:27:50.416973,-1,-1.0
1,11:27:26.812711,11:27:50.576603,-1,-1.0
1,11:27:26.812711,11:27:50.733966,-1,-1.0
1,11:27:26.812711,11:27:50.888883,-1,-1.0
1,11:27:26.812711,11:27:51.049454,-1,-1.0
1,11:27:26.812711,11:27:51.205308,-1,-1.0
1,11:27:26.812711,11:27:51.359632,-1,-1.0
1,11:27:26.812711,11:27:51.487217,-1,-1.0
1,11:27:26.812711,11:27:51.623900,-1,-1.0
1,11:27:26.812711,11:27:51.776433,-1,-1.0
1,11:27:26.812711,11:27:51.917919,-1,-1.0
1,11:27:26.812711,11:27:52.056705,-1,-1.0
1,11:27:26.812711,11:27:52.205873,-1,-1.0
1,11:27:26.812711,11:27:52.352064,-1,-1.0
1,11:27:26.812711,11:27:52.500176,-1,-1.0
1,11:27:26.812711,11:27:52.640092,-1,-1.0
1,11:27:26.812711,11:27:52.799544,-1,-1.0
1,11:27:26.812711,11:27:52.959999,-1,-1.0
1,11:27:26.812711,11:27:53.101324,-1,-1.0
1,11:27:26.812711,11:27:53.255911,-1,-1.0
1,11:27:26.812711,11:27:53.409326,-1,-1.0
1,11:27:26.812711,11:27:53.567240,-1,-1.0
1,11:27:26.812711,11:27:53.716704,-1,-1.0
1,11:27:26.812711,11:27:53.878284,-1,-1.0
1,11:27:26.812711,11:27:54.022378,-1,-1.0
1,11:27:26.812711,11:27:54.171713,-1,-1.0
1,11:27:26.812711,11:27:54.326822,-1,-1.0
1,11:27:26.812711,11:27:54.480819,-1,-1.0
1,11:27:26.812711,11:27:54.641499,-1,-1.0
1,11:27:26.812711,11:27:54.783309,1,-1.0
1,11:27:26.812711,11:27:54.913285,1,-1.0
1,11:27:26.812711,11:27:55.059695,1,-1.0
1,11:27:26.812711,11:27:55.214346,1,-1.0
1,11:27:26.812711,11:27:55.368815,1,-1.0
1,11:27:26.812711,11:27:55.506549,1,-1.0
1,11:27:26.812711,11:27:55.650782,1,-1.0
1,11:27:26.812711,11:27:55.775108,1,-1.0
1,11:27:26.812711,11:27:55.906841,1,-1.0
1,11:27:26.812711,11:27:56.046350,1,-1.0
1,11:27:26.812711,11:27:56.196704,1,-1.0
1,11:27:26.812711,11:27:56.342682,1,-1.0
1,11:27:26.812711,11:27:56.494696,1,-1.0
1,11:27:26.812711,11:27:56.648453,1,-1.0
1,11:27:26.812711,11:27:56.788113,1,-1.0
1,11:27:26.812711,11:27:56.934343,1,-1.0
1,11:27:26.812711,11:27:57.092572,1,-1.0
1,11:27:26.812711,11:27:57.239213,1,-1.0
1,11:27:26.812711,11:27:57.366841,1,-1.0
1,11:27:26.812711,11:27:57.495020,1,-1.0
1,11:27:26.812711,11:27:57.638481,1,-1.0
1,11:27:26.812711,11:27:57.761309,1,-1.0
1,11:27:26.812711,11:27:57.900008,1,-1.0
1,11:27:26.812711,11:27:58.016412,1,-1.0
1,11:27:26.812711,11:27:58.158807,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:27:58.159802,11:27:58.288570,1,-1.0
2,11:27:58.159802,11:27:58.412593,1,-1.0
2,11:27:58.159802,11:27:58.557811,1,-1.0
2,11:27:58.159802,11:28:00.162812,-1,-1.0
2,11:27:58.159802,11:28:00.334338,-1,-1.0
2,11:27:58.159802,11:28:00.512591,-1,-1.0
2,11:27:58.159802,11:28:00.695837,-1,-1.0
2,11:27:58.159802,11:28:00.855758,-1,-1.0
2,11:27:58.159802,11:28:01.076480,1,-1.0
2,11:27:58.159802,11:28:01.239124,1,-1.0
2,11:27:58.159802,11:28:01.409417,1,-1.0
2,11:27:58.159802,11:28:01.571822,1,-1.0
2,11:27:58.159802,11:28:01.743190,1,-1.0
2,11:27:58.159802,11:28:01.906062,1,-1.0
2,11:27:58.159802,11:28:02.075245,1,-1.0
2,11:27:58.159802,11:28:02.237533,1,-1.0
2,11:27:58.159802,11:28:02.398356,1,-1.0
