Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:19:53.733359,10:19:54.862356,1,-1.0
1,10:19:53.733359,10:19:54.967415,1,-1.0
1,10:19:53.733359,10:19:55.075846,1,-1.0
1,10:19:53.733359,10:19:55.211795,1,-1.0
1,10:19:53.733359,10:19:55.319589,1,-1.0
1,10:19:53.733359,10:19:55.442662,1,-1.0
1,10:19:53.733359,10:19:55.582300,1,-1.0
1,10:19:53.733359,10:19:55.702084,1,-1.0
1,10:19:53.733359,10:19:55.824695,1,-1.0
1,10:19:53.733359,10:19:55.955693,1,-1.0
1,10:19:53.733359,10:19:56.080913,1,-1.0
1,10:19:53.733359,10:19:56.197642,1,-1.0
1,10:19:53.733359,10:19:56.315347,1,-1.0
1,10:19:53.733359,10:19:56.429962,1,-1.0
1,10:19:53.733359,10:19:56.552692,1,-1.0
1,10:19:53.733359,10:19:56.683736,1,-1.0
1,10:19:53.733359,10:19:56.786461,1,-1.0
1,10:19:53.733359,10:19:56.893679,1,-1.0
1,10:19:53.733359,10:19:57.020634,1,-1.0
1,10:19:53.733359,10:19:57.158819,1,-1.0
1,10:19:53.733359,10:19:57.270524,1,-1.0
1,10:19:53.733359,10:19:57.398213,1,-1.0
1,10:19:53.733359,10:19:57.519802,1,-1.0
1,10:19:53.733359,10:19:57.634784,1,-1.0
1,10:19:53.733359,10:19:57.754433,1,-1.0
1,10:19:53.733359,10:19:57.869273,1,-1.0
1,10:19:53.733359,10:19:57.987370,1,-1.0
1,10:19:53.733359,10:19:58.120384,1,-1.0
1,10:19:53.733359,10:19:58.239523,1,-1.0
1,10:19:53.733359,10:19:58.377429,1,-1.0
1,10:19:53.733359,10:19:58.509077,1,-1.0
1,10:19:53.733359,10:19:58.638471,1,-1.0
1,10:19:53.733359,10:19:58.765159,1,-1.0
1,10:19:53.733359,10:19:58.887766,1,-1.0
1,10:19:53.733359,10:19:59.012513,1,-1.0
1,10:19:53.733359,10:19:59.128042,1,-1.0
1,10:19:53.733359,10:19:59.253681,1,-1.0
1,10:19:53.733359,10:19:59.387841,1,-1.0
1,10:19:53.733359,10:20:01.633287,-1,-1.0
1,10:19:53.733359,10:20:01.731686,-1,-1.0
1,10:19:53.733359,10:20:01.858227,-1,-1.0
1,10:19:53.733359,10:20:01.979979,-1,-1.0
1,10:19:53.733359,10:20:02.113202,-1,-1.0
1,10:19:53.733359,10:20:02.235685,-1,-1.0
1,10:19:53.733359,10:20:02.376343,-1,-1.0
1,10:19:53.733359,10:20:02.483562,-1,-1.0
1,10:19:53.733359,10:20:02.611222,-1,-1.0
1,10:19:53.733359,10:20:02.738689,-1,-1.0
1,10:19:53.733359,10:20:02.862140,-1,-1.0
1,10:19:53.733359,10:20:03.008424,-1,-1.0
1,10:19:53.733359,10:20:03.125876,-1,-1.0
1,10:19:53.733359,10:20:03.268059,-1,-1.0
1,10:19:53.733359,10:20:03.395882,-1,-1.0
1,10:19:53.733359,10:20:03.524135,-1,-1.0
1,10:19:53.733359,10:20:03.669051,-1,-1.0
1,10:19:53.733359,10:20:03.905948,-1,-1.0
1,10:19:53.733359,10:20:04.064918,1,-1.0
1,10:19:53.733359,10:20:04.195836,1,-1.0
1,10:19:53.733359,10:20:04.333705,1,-1.0
1,10:19:53.733359,10:20:04.465808,1,-1.0
1,10:19:53.733359,10:20:04.590608,1,-1.0
1,10:19:53.733359,10:20:04.724249,1,-1.0
1,10:19:53.733359,10:20:04.855777,1,-1.0
1,10:19:53.733359,10:20:04.988318,1,-1.0
1,10:19:53.733359,10:20:05.111623,1,-1.0
1,10:19:53.733359,10:20:05.236293,1,-1.0
1,10:19:53.733359,10:20:05.362448,1,-1.0
1,10:19:53.733359,10:20:05.492069,1,-1.0
1,10:19:53.733359,10:20:05.612941,1,-1.0
1,10:19:53.733359,10:20:05.742623,1,-1.0
1,10:19:53.733359,10:20:05.873539,1,-1.0
1,10:19:53.733359,10:20:05.984410,1,-1.0
1,10:19:53.733359,10:20:06.106878,1,-1.0
1,10:19:53.733359,10:20:06.232281,1,-1.0
1,10:19:53.733359,10:20:06.367928,1,-1.0
1,10:19:53.733359,10:20:06.490706,1,-1.0
1,10:19:53.733359,10:20:06.625545,1,-1.0
1,10:19:53.733359,10:20:06.759515,1,-1.0
1,10:19:53.733359,10:20:06.902542,1,-1.0
1,10:19:53.733359,10:20:07.028911,1,-1.0
1,10:19:53.733359,10:20:07.170332,1,-1.0
1,10:19:53.733359,10:20:07.286664,1,-1.0
1,10:19:53.733359,10:20:07.434726,1,-1.0
1,10:19:53.733359,10:20:07.570362,1,-1.0
1,10:19:53.733359,10:20:07.699022,1,-1.0
1,10:19:53.733359,10:20:07.834113,1,-1.0
1,10:19:53.733359,10:20:07.967013,1,-1.0
1,10:19:53.733359,10:20:08.177281,1,-1.0
1,10:19:53.733359,10:20:09.519854,-1,-1.0
1,10:19:53.733359,10:20:09.623872,-1,-1.0
1,10:19:53.733359,10:20:09.747790,-1,-1.0
1,10:19:53.733359,10:20:09.882909,-1,-1.0
1,10:19:53.733359,10:20:10.017490,-1,-1.0
1,10:19:53.733359,10:20:10.142117,-1,-1.0
1,10:19:53.733359,10:20:10.282407,-1,-1.0
1,10:19:53.733359,10:20:10.405772,-1,-1.0
1,10:19:53.733359,10:20:10.548680,-1,-1.0
1,10:19:53.733359,10:20:10.682044,-1,-1.0
1,10:19:53.733359,10:20:10.827676,-1,-1.0
1,10:19:53.733359,10:20:10.946078,-1,-1.0
1,10:19:53.733359,10:20:11.084620,-1,-1.0
1,10:19:53.733359,10:20:11.227421,-1,-1.0
1,10:19:53.733359,10:20:11.363314,-1,-1.0
1,10:19:53.733359,10:20:11.501642,-1,-1.0
1,10:19:53.733359,10:20:11.620862,-1,-1.0
1,10:19:53.733359,10:20:11.776676,-1,-1.0
1,10:19:53.733359,10:20:11.895678,-1,-1.0
1,10:19:53.733359,10:20:11.931571,1,-1.0
1,10:19:53.733359,10:20:12.022978,1,-1.0
1,10:19:53.733359,10:20:12.149553,1,-1.0
1,10:19:53.733359,10:20:12.294528,1,-1.0
1,10:19:53.733359,10:20:12.435539,1,-1.0
1,10:19:53.733359,10:20:12.574679,1,-1.0
1,10:19:53.733359,10:20:12.705954,1,-1.0
1,10:19:53.733359,10:20:12.840776,1,-1.0
1,10:19:53.733359,10:20:12.971654,1,-1.0
1,10:19:53.733359,10:20:13.110283,1,-1.0
1,10:19:53.733359,10:20:13.241966,1,-1.0
1,10:19:53.733359,10:20:13.379141,1,-1.0
1,10:19:53.733359,10:20:13.507051,1,-1.0
1,10:19:53.733359,10:20:13.652691,1,-1.0
1,10:19:53.733359,10:20:13.790863,1,-1.0
1,10:19:53.733359,10:20:13.933275,1,-1.0
1,10:19:53.733359,10:20:14.075964,1,-1.0
1,10:19:53.733359,10:20:14.226131,1,-1.0
1,10:19:53.733359,10:20:14.361655,1,-1.0
1,10:19:53.733359,10:20:14.507225,1,-1.0
1,10:19:53.733359,10:20:14.657368,1,-1.0
1,10:19:53.733359,10:20:14.803012,1,-1.0
1,10:19:53.733359,10:20:14.950022,1,-1.0
1,10:19:53.733359,10:20:15.115733,1,-1.0
1,10:19:53.733359,10:20:15.263495,1,-1.0
1,10:19:53.733359,10:20:16.483764,1,-1.0
1,10:19:53.733359,10:20:16.605778,1,-1.0
1,10:19:53.733359,10:20:16.763190,1,-1.0
1,10:19:53.733359,10:20:16.889038,1,-1.0
1,10:19:53.733359,10:20:17.027877,1,-1.0
1,10:19:53.733359,10:20:17.165592,1,-1.0
1,10:19:53.733359,10:20:17.300638,1,-1.0
1,10:19:53.733359,10:20:17.430059,1,-1.0
1,10:19:53.733359,10:20:17.565822,1,-1.0
1,10:19:53.733359,10:20:17.699079,1,-1.0
1,10:19:53.733359,10:20:17.844385,1,-1.0
1,10:19:53.733359,10:20:17.983416,1,-1.0
1,10:19:53.733359,10:20:18.116458,1,-1.0
1,10:19:53.733359,10:20:18.251347,1,-1.0
1,10:19:53.733359,10:20:18.392248,1,-1.0
1,10:19:53.733359,10:20:18.521121,1,-1.0
1,10:19:53.733359,10:20:18.661303,1,-1.0
1,10:19:53.733359,10:20:18.795863,1,-1.0
1,10:19:53.733359,10:20:18.922575,1,-1.0
1,10:19:53.733359,10:20:19.067874,1,-1.0
1,10:19:53.733359,10:20:19.209365,1,-1.0
1,10:19:53.733359,10:20:19.346191,1,-1.0
1,10:19:53.733359,10:20:19.483507,1,-1.0
1,10:19:53.733359,10:20:19.614967,1,-1.0
1,10:19:53.733359,10:20:19.755790,1,-1.0
1,10:19:53.733359,10:20:19.887254,1,-1.0
1,10:19:53.733359,10:20:20.033527,1,-1.0
1,10:19:53.733359,10:20:20.163789,-1,-1.0
1,10:19:53.733359,10:20:20.258999,-1,-1.0
1,10:19:53.733359,10:20:20.431284,-1,-1.0
