Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:19:45.865144,19:19:50.801033,1,-1.0
1,19:19:45.865144,19:19:50.927365,1,-1.0
1,19:19:45.865144,19:19:51.234467,-1,-1.0
1,19:19:45.865144,19:19:51.404716,-1,-1.0
1,19:19:45.865144,19:19:51.586791,-1,-1.0
1,19:19:45.865144,19:19:51.756528,-1,-1.0
1,19:19:45.865144,19:19:51.938064,-1,-1.0
1,19:19:45.865144,19:19:52.140594,-1,-1.0
1,19:19:45.865144,19:19:52.332553,-1,-1.0
1,19:19:45.865144,19:19:52.514276,-1,-1.0
1,19:19:45.865144,19:19:52.683598,-1,-1.0
1,19:19:45.865144,19:19:52.873659,-1,-1.0
1,19:19:45.865144,19:19:53.039135,-1,-1.0
1,19:19:45.865144,19:19:53.226526,-1,-1.0
1,19:19:45.865144,19:19:53.419435,-1,-1.0
1,19:19:45.865144,19:19:53.601742,-1,-1.0
1,19:19:45.865144,19:19:53.770090,-1,-1.0
1,19:19:45.865144,19:19:53.963598,-1,-1.0
1,19:19:45.865144,19:19:54.396361,1,-1.0
1,19:19:45.865144,19:19:54.590912,1,-1.0
1,19:19:45.865144,19:19:54.764882,1,-1.0
1,19:19:45.865144,19:19:54.946283,1,-1.0
1,19:19:45.865144,19:19:55.106233,1,-1.0
1,19:19:45.865144,19:19:55.255051,1,-1.0
1,19:19:45.865144,19:19:55.415010,1,-1.0
1,19:19:45.865144,19:19:55.564229,1,-1.0
1,19:19:45.865144,19:19:55.724853,1,-1.0
1,19:19:45.865144,19:19:55.873729,1,-1.0
1,19:19:45.865144,19:19:56.001964,1,-1.0
1,19:19:45.865144,19:19:56.140390,1,-1.0
1,19:19:45.865144,19:19:56.268364,1,-1.0
1,19:19:45.865144,19:19:56.407189,1,-1.0
1,19:19:45.865144,19:19:56.556688,1,-1.0
1,19:19:45.865144,19:19:56.706245,1,-1.0
1,19:19:45.865144,19:19:56.844784,1,-1.0
1,19:19:45.865144,19:19:57.003575,1,-1.0
1,19:19:45.865144,19:19:57.132020,1,-1.0
1,19:19:45.865144,19:19:57.282055,1,-1.0
1,19:19:45.865144,19:19:57.417389,1,-1.0
1,19:19:45.865144,19:19:57.570176,1,-1.0
1,19:19:45.865144,19:19:57.719056,1,-1.0
1,19:19:45.865144,19:19:57.858117,1,-1.0
1,19:19:45.865144,19:19:58.007461,1,-1.0
1,19:19:45.865144,19:19:58.146302,1,-1.0
1,19:19:45.865144,19:19:58.316474,1,-1.0
1,19:19:45.865144,19:19:58.475581,1,-1.0
1,19:19:45.865144,19:19:58.656913,1,-1.0
1,19:19:45.865144,19:19:58.818287,1,-1.0
1,19:19:45.865144,19:19:58.988867,1,-1.0
1,19:19:45.865144,19:19:59.137272,1,-1.0
1,19:19:45.865144,19:19:59.316673,-1,-1.0
1,19:19:45.865144,19:19:59.466494,-1,-1.0
1,19:19:45.865144,19:19:59.648356,-1,-1.0
1,19:19:45.865144,19:19:59.818018,-1,-1.0
1,19:19:45.865144,19:19:59.999802,-1,-1.0
1,19:19:45.865144,19:20:00.169045,-1,-1.0
1,19:19:45.865144,19:20:00.342512,-1,-1.0
1,19:19:45.865144,19:20:00.513787,-1,-1.0
1,19:19:45.865144,19:20:00.694420,-1,-1.0
1,19:19:45.865144,19:20:00.866020,-1,-1.0
1,19:19:45.865144,19:20:01.046996,-1,-1.0
1,19:19:45.865144,19:20:01.217275,-1,-1.0
1,19:19:45.865144,19:20:01.378111,-1,-1.0
1,19:19:45.865144,19:20:01.537672,-1,-1.0
1,19:19:45.865144,19:20:01.707837,-1,-1.0
1,19:19:45.865144,19:20:01.856524,-1,-1.0
1,19:19:45.865144,19:20:02.028702,-1,-1.0
1,19:19:45.865144,19:20:02.188676,-1,-1.0
1,19:19:45.865144,19:20:02.368822,-1,-1.0
1,19:19:45.865144,19:20:02.534709,-1,-1.0
1,19:19:45.865144,19:20:02.710746,-1,-1.0
1,19:19:45.865144,19:20:02.891914,-1,-1.0
1,19:19:45.865144,19:20:03.056902,-1,-1.0
1,19:19:45.865144,19:20:03.220691,-1,-1.0
1,19:19:45.865144,19:20:03.379607,-1,-1.0
1,19:19:45.865144,19:20:03.539714,-1,-1.0
1,19:19:45.865144,19:20:03.722347,-1,-1.0
1,19:19:45.865144,19:20:03.883229,-1,-1.0
1,19:19:45.865144,19:20:04.044548,-1,-1.0
1,19:19:45.865144,19:20:04.225796,-1,-1.0
1,19:19:45.865144,19:20:04.460021,1,-1.0
1,19:19:45.865144,19:20:04.620670,1,-1.0
1,19:19:45.865144,19:20:04.790311,1,-1.0
1,19:19:45.865144,19:20:04.949932,1,-1.0
1,19:19:45.865144,19:20:05.109741,1,-1.0
1,19:19:45.865144,19:20:05.259938,1,-1.0
1,19:19:45.865144,19:20:05.419559,1,-1.0
1,19:19:45.865144,19:20:05.546720,1,-1.0
1,19:19:45.865144,19:20:05.708481,1,-1.0
1,19:19:45.865144,19:20:05.868398,1,-1.0
1,19:19:45.865144,19:20:06.006388,1,-1.0
1,19:19:45.865144,19:20:06.156479,1,-1.0
1,19:19:45.865144,19:20:06.305447,1,-1.0
1,19:19:45.865144,19:20:06.463908,1,-1.0
1,19:19:45.865144,19:20:06.621597,1,-1.0
1,19:19:45.865144,19:20:06.782374,1,-1.0
1,19:19:45.865144,19:20:06.942314,1,-1.0
1,19:19:45.865144,19:20:07.105886,1,-1.0
1,19:19:45.865144,19:20:07.402504,1,-1.0
1,19:19:45.865144,19:20:07.545573,1,-1.0
1,19:19:45.865144,19:20:07.691568,1,-1.0
1,19:19:45.865144,19:20:07.849870,1,-1.0
1,19:19:45.865144,19:20:08.005112,1,-1.0
1,19:19:45.865144,19:20:08.172810,1,-1.0
1,19:19:45.865144,19:20:08.329610,1,-1.0
1,19:19:45.865144,19:20:08.473053,1,-1.0
1,19:19:45.865144,19:20:08.609788,1,-1.0
1,19:19:45.865144,19:20:08.758650,1,-1.0
1,19:19:45.865144,19:20:08.927473,1,-1.0
1,19:19:45.865144,19:20:09.078499,1,-1.0
1,19:19:45.865144,19:20:09.249733,1,-1.0
1,19:19:45.865144,19:20:09.398705,1,-1.0
1,19:19:45.865144,19:20:09.548251,1,-1.0
1,19:19:45.865144,19:20:09.719218,1,-1.0
1,19:19:45.865144,19:20:09.879163,1,-1.0
1,19:19:45.865144,19:20:10.038991,1,-1.0
1,19:19:45.865144,19:20:10.199126,1,-1.0
1,19:19:45.865144,19:20:10.358802,1,-1.0
1,19:19:45.865144,19:20:10.509755,1,-1.0
1,19:19:45.865144,19:20:10.695026,1,-1.0
1,19:19:45.865144,19:20:10.867729,1,-1.0
1,19:19:45.865144,19:20:11.038272,1,-1.0
1,19:19:45.865144,19:20:11.195192,1,-1.0
1,19:19:45.865144,19:20:11.371236,1,-1.0
1,19:19:45.865144,19:20:11.523138,1,-1.0
1,19:19:45.865144,19:20:11.680815,1,-1.0
1,19:19:45.865144,19:20:11.828230,1,-1.0
1,19:19:45.865144,19:20:12.087016,-1,-1.0
1,19:19:45.865144,19:20:12.246397,-1,-1.0
1,19:19:45.865144,19:20:12.427554,-1,-1.0
1,19:19:45.865144,19:20:12.609662,-1,-1.0
