Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:25:22.548747,14:25:24.669682,1,-1.0
1,14:25:22.548747,14:25:24.821734,1,-1.0
1,14:25:22.548747,14:25:24.979863,1,-1.0
1,14:25:22.548747,14:25:25.118772,1,-1.0
1,14:25:22.548747,14:25:25.777798,-1,-1.0
1,14:25:22.548747,14:25:25.927877,-1,-1.0
1,14:25:22.548747,14:25:26.088003,-1,-1.0
1,14:25:22.548747,14:25:26.248238,-1,-1.0
1,14:25:22.548747,14:25:26.408965,-1,-1.0
1,14:25:22.548747,14:25:26.569292,-1,-1.0
1,14:25:22.548747,14:25:26.727872,-1,-1.0
1,14:25:22.548747,14:25:26.889308,-1,-1.0
1,14:25:22.548747,14:25:27.038889,-1,-1.0
1,14:25:22.548747,14:25:27.198546,-1,-1.0
1,14:25:22.548747,14:25:27.367532,-1,-1.0
1,14:25:22.548747,14:25:27.504978,-1,-1.0
1,14:25:22.548747,14:25:27.666973,-1,-1.0
1,14:25:22.548747,14:25:27.837413,-1,-1.0
1,14:25:22.548747,14:25:27.997963,-1,-1.0
1,14:25:22.548747,14:25:28.297477,1,-1.0
1,14:25:22.548747,14:25:28.446560,1,-1.0
1,14:25:22.548747,14:25:28.606957,1,-1.0
1,14:25:22.548747,14:25:28.766266,1,-1.0
1,14:25:22.548747,14:25:28.927033,1,-1.0
1,14:25:22.548747,14:25:29.086822,1,-1.0
1,14:25:22.548747,14:25:29.246273,1,-1.0
1,14:25:22.548747,14:25:29.406329,1,-1.0
1,14:25:22.548747,14:25:29.577421,1,-1.0
1,14:25:22.548747,14:25:29.737846,1,-1.0
1,14:25:22.548747,14:25:29.886268,1,-1.0
1,14:25:22.548747,14:25:30.068341,1,-1.0
1,14:25:22.548747,14:25:30.248542,1,-1.0
1,14:25:22.548747,14:25:30.419757,1,-1.0
1,14:25:22.548747,14:25:30.579656,1,-1.0
1,14:25:22.548747,14:25:30.771585,1,-1.0
1,14:25:22.548747,14:25:30.942862,1,-1.0
1,14:25:22.548747,14:25:31.100455,1,-1.0
1,14:25:22.548747,14:25:31.269956,1,-1.0
1,14:25:22.548747,14:25:31.433327,1,-1.0
1,14:25:22.548747,14:25:31.592133,1,-1.0
1,14:25:22.548747,14:25:31.752729,1,-1.0
1,14:25:22.548747,14:25:32.008862,-1,-1.0
1,14:25:22.548747,14:25:32.220141,-1,-1.0
1,14:25:22.548747,14:25:32.382142,-1,-1.0
1,14:25:22.548747,14:25:32.720501,-1,-1.0
1,14:25:22.548747,14:25:32.946905,-1,-1.0
1,14:25:22.548747,14:25:33.161451,-1,-1.0
1,14:25:22.548747,14:25:33.449691,-1,-1.0
1,14:25:22.548747,14:25:33.630692,-1,-1.0
1,14:25:22.548747,14:25:33.833445,-1,-1.0
1,14:25:22.548747,14:25:34.190565,-1,-1.0
1,14:25:22.548747,14:25:34.396125,-1,-1.0
1,14:25:22.548747,14:25:34.587040,-1,-1.0
1,14:25:22.548747,14:25:34.770781,-1,-1.0
1,14:25:22.548747,14:25:34.942026,-1,-1.0
