Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:18:40.261999,10:18:40.611187,1,-1.0
1,10:18:40.261999,10:18:40.772076,1,-1.0
1,10:18:40.261999,10:18:41.273296,1,-1.0
1,10:18:40.261999,10:18:41.411216,1,-1.0
1,10:18:40.261999,10:18:41.550014,1,-1.0
1,10:18:40.261999,10:18:41.682079,1,-1.0
1,10:18:40.261999,10:18:41.816630,1,-1.0
1,10:18:40.261999,10:18:41.940746,1,-1.0
1,10:18:40.261999,10:18:42.384243,1,-1.0
1,10:18:40.261999,10:18:42.526270,1,-1.0
1,10:18:40.261999,10:18:42.675197,1,-1.0
1,10:18:40.261999,10:18:42.785147,1,-1.0
1,10:18:40.261999,10:18:42.906716,1,-1.0
1,10:18:40.261999,10:18:43.043750,1,-1.0
1,10:18:40.261999,10:18:43.186516,1,-1.0
1,10:18:40.261999,10:18:43.320197,1,-1.0
1,10:18:40.261999,10:18:43.420226,1,-1.0
1,10:18:40.261999,10:18:43.676595,1,-1.0
1,10:18:40.261999,10:18:43.778323,1,-1.0
1,10:18:40.261999,10:18:43.916943,1,-1.0
1,10:18:40.261999,10:18:44.043605,1,-1.0
1,10:18:40.261999,10:18:44.171553,1,-1.0
1,10:18:40.261999,10:18:44.305504,1,-1.0
1,10:18:40.261999,10:18:44.432368,1,-1.0
1,10:18:40.261999,10:18:44.571996,1,-1.0
1,10:18:40.261999,10:18:44.707728,1,-1.0
1,10:18:40.261999,10:18:44.851612,1,-1.0
1,10:18:40.261999,10:18:44.988250,1,-1.0
1,10:18:40.261999,10:18:45.115908,1,-1.0
1,10:18:40.261999,10:18:45.244563,1,-1.0
1,10:18:40.261999,10:18:45.365263,1,-1.0
1,10:18:40.261999,10:18:45.505225,1,-1.0
1,10:18:40.261999,10:18:45.627297,1,-1.0
1,10:18:40.261999,10:18:45.755981,1,-1.0
1,10:18:40.261999,10:18:46.346535,1,-1.0
1,10:18:40.261999,10:18:46.493483,1,-1.0
1,10:18:40.261999,10:18:46.622291,1,-1.0
1,10:18:40.261999,10:18:47.009135,-1,-1.0
1,10:18:40.261999,10:18:47.139532,-1,-1.0
1,10:18:40.261999,10:18:47.266158,-1,-1.0
1,10:18:40.261999,10:18:47.404037,-1,-1.0
1,10:18:40.261999,10:18:47.531071,-1,-1.0
1,10:18:40.261999,10:18:47.674829,-1,-1.0
1,10:18:40.261999,10:18:47.815526,-1,-1.0
1,10:18:40.261999,10:18:47.969607,-1,-1.0
1,10:18:40.261999,10:18:48.116687,-1,-1.0
1,10:18:40.261999,10:18:48.259845,-1,-1.0
1,10:18:40.261999,10:18:48.393487,-1,-1.0
1,10:18:40.261999,10:18:48.543830,-1,-1.0
1,10:18:40.261999,10:18:48.692027,-1,-1.0
1,10:18:40.261999,10:18:48.852746,-1,-1.0
