Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:11:26.672948,11:11:28.278819,1,-1.0
1,11:11:26.672948,11:11:28.413804,1,-1.0
1,11:11:26.672948,11:11:28.547956,1,-1.0
1,11:11:26.672948,11:11:28.640641,1,-1.0
1,11:11:26.672948,11:11:28.761528,1,-1.0
1,11:11:26.672948,11:11:28.866760,1,-1.0
1,11:11:26.672948,11:11:28.983482,1,-1.0
1,11:11:26.672948,11:11:29.096053,1,-1.0
1,11:11:26.672948,11:11:29.522618,-1,-1.0
1,11:11:26.672948,11:11:29.684294,-1,-1.0
1,11:11:26.672948,11:11:29.797877,-1,-1.0
1,11:11:26.672948,11:11:29.931182,-1,-1.0
1,11:11:26.672948,11:11:30.034024,-1,-1.0
1,11:11:26.672948,11:11:30.181975,-1,-1.0
1,11:11:26.672948,11:11:30.281329,-1,-1.0
1,11:11:26.672948,11:11:30.425034,-1,-1.0
1,11:11:26.672948,11:11:30.531445,-1,-1.0
1,11:11:26.672948,11:11:30.664440,-1,-1.0
1,11:11:26.672948,11:11:30.808101,1,-1.0
1,11:11:26.672948,11:11:30.946363,1,-1.0
1,11:11:26.672948,11:11:31.049690,1,-1.0
1,11:11:26.672948,11:11:31.184418,1,-1.0
1,11:11:26.672948,11:11:31.299207,1,-1.0
1,11:11:26.672948,11:11:31.431044,1,-1.0
1,11:11:26.672948,11:11:31.563265,1,-1.0
1,11:11:26.672948,11:11:31.697792,1,-1.0
1,11:11:26.672948,11:11:31.809115,1,-1.0
1,11:11:26.672948,11:11:31.947814,1,-1.0
1,11:11:26.672948,11:11:32.084951,1,-1.0
1,11:11:26.672948,11:11:32.208201,1,-1.0
1,11:11:26.672948,11:11:32.346638,1,-1.0
1,11:11:26.672948,11:11:32.481409,1,-1.0
1,11:11:26.672948,11:11:32.613979,1,-1.0
1,11:11:26.672948,11:11:32.726943,1,-1.0
1,11:11:26.672948,11:11:32.864762,1,-1.0
1,11:11:26.672948,11:11:33.008340,1,-1.0
1,11:11:26.672948,11:11:33.148267,1,-1.0
1,11:11:26.672948,11:11:33.536017,1,-1.0
1,11:11:26.672948,11:11:33.681934,1,-1.0
1,11:11:26.672948,11:11:33.814321,1,-1.0
1,11:11:26.672948,11:11:33.958080,1,-1.0
1,11:11:26.672948,11:11:34.057053,1,-1.0
1,11:11:26.672948,11:11:34.200526,1,-1.0
1,11:11:26.672948,11:11:34.440042,-1,-1.0
1,11:11:26.672948,11:11:34.550445,-1,-1.0
1,11:11:26.672948,11:11:34.680317,-1,-1.0
1,11:11:26.672948,11:11:34.814474,-1,-1.0
1,11:11:26.672948,11:11:34.947930,-1,-1.0
1,11:11:26.672948,11:11:35.068605,-1,-1.0
1,11:11:26.672948,11:11:35.215016,-1,-1.0
1,11:11:26.672948,11:11:35.347822,-1,-1.0
1,11:11:26.672948,11:11:35.481059,-1,-1.0
1,11:11:26.672948,11:11:35.630523,-1,-1.0
1,11:11:26.672948,11:11:35.764020,-1,-1.0
1,11:11:26.672948,11:11:35.897797,-1,-1.0
1,11:11:26.672948,11:11:36.011102,-1,-1.0
1,11:11:26.672948,11:11:36.147823,-1,-1.0
1,11:11:26.672948,11:11:36.285080,-1,-1.0
1,11:11:26.672948,11:11:36.431073,-1,-1.0
1,11:11:26.672948,11:11:36.568437,-1,-1.0
1,11:11:26.672948,11:11:36.714803,-1,-1.0
1,11:11:26.672948,11:11:36.847986,-1,-1.0
1,11:11:26.672948,11:11:36.980245,-1,-1.0
1,11:11:26.672948,11:11:37.113889,-1,-1.0
1,11:11:26.672948,11:11:37.343752,-1,-1.0
1,11:11:26.672948,11:11:37.481608,-1,-1.0
1,11:11:26.672948,11:11:37.614523,-1,-1.0
1,11:11:26.672948,11:11:37.840811,1,-1.0
1,11:11:26.672948,11:11:37.959090,1,-1.0
1,11:11:26.672948,11:11:38.097530,1,-1.0
1,11:11:26.672948,11:11:38.230453,1,-1.0
1,11:11:26.672948,11:11:38.345134,1,-1.0
1,11:11:26.672948,11:11:38.479774,1,-1.0
1,11:11:26.672948,11:11:38.615656,1,-1.0
1,11:11:26.672948,11:11:38.747074,1,-1.0
1,11:11:26.672948,11:11:38.880914,1,-1.0
1,11:11:26.672948,11:11:39.014675,1,-1.0
1,11:11:26.672948,11:11:39.148808,1,-1.0
1,11:11:26.672948,11:11:39.281508,1,-1.0
1,11:11:26.672948,11:11:39.413715,1,-1.0
1,11:11:26.672948,11:11:39.543942,1,-1.0
1,11:11:26.672948,11:11:39.680698,1,-1.0
1,11:11:26.672948,11:11:39.813847,1,-1.0
1,11:11:26.672948,11:11:39.947622,1,-1.0
1,11:11:26.672948,11:11:40.080486,1,-1.0
1,11:11:26.672948,11:11:40.224281,1,-1.0
1,11:11:26.672948,11:11:40.363862,1,-1.0
1,11:11:26.672948,11:11:40.508778,1,-1.0
1,11:11:26.672948,11:11:40.658718,1,-1.0
1,11:11:26.672948,11:11:40.816975,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:11:40.818007,11:11:41.696968,1,-1.0
2,11:11:40.818007,11:11:41.830855,1,-1.0
2,11:11:40.818007,11:11:41.963827,1,-1.0
2,11:11:40.818007,11:11:42.098059,1,-1.0
2,11:11:40.818007,11:11:42.208657,1,-1.0
2,11:11:40.818007,11:11:42.346391,1,-1.0
2,11:11:40.818007,11:11:42.480874,1,-1.0
2,11:11:40.818007,11:11:42.595250,1,-1.0
2,11:11:40.818007,11:11:42.729956,1,-1.0
2,11:11:40.818007,11:11:42.867313,1,-1.0
2,11:11:40.818007,11:11:43.013412,1,-1.0
2,11:11:40.818007,11:11:43.147373,1,-1.0
2,11:11:40.818007,11:11:43.280545,1,-1.0
2,11:11:40.818007,11:11:43.416002,1,-1.0
2,11:11:40.818007,11:11:43.563539,1,-1.0
2,11:11:40.818007,11:11:43.697691,1,-1.0
2,11:11:40.818007,11:11:43.840998,1,-1.0
2,11:11:40.818007,11:11:43.980104,1,-1.0
2,11:11:40.818007,11:11:44.273293,-1,-1.0
2,11:11:40.818007,11:11:44.391145,-1,-1.0
2,11:11:40.818007,11:11:44.540263,-1,-1.0
2,11:11:40.818007,11:11:44.692661,-1,-1.0
2,11:11:40.818007,11:11:44.840327,-1,-1.0
2,11:11:40.818007,11:11:44.960229,-1,-1.0
2,11:11:40.818007,11:11:45.097679,-1,-1.0
2,11:11:40.818007,11:11:45.241484,-1,-1.0
2,11:11:40.818007,11:11:45.380545,-1,-1.0
2,11:11:40.818007,11:11:45.525226,-1,-1.0
2,11:11:40.818007,11:11:45.674380,-1,-1.0
2,11:11:40.818007,11:11:45.813513,-1,-1.0
2,11:11:40.818007,11:11:45.959389,-1,-1.0
2,11:11:40.818007,11:11:46.097423,-1,-1.0
2,11:11:40.818007,11:11:46.239969,-1,-1.0
2,11:11:40.818007,11:11:46.390904,-1,-1.0
2,11:11:40.818007,11:11:46.541073,-1,-1.0
2,11:11:40.818007,11:11:46.680939,-1,-1.0
2,11:11:40.818007,11:11:46.824943,-1,-1.0
2,11:11:40.818007,11:11:46.975315,-1,-1.0
2,11:11:40.818007,11:11:47.114604,-1,-1.0
2,11:11:40.818007,11:11:47.267682,1,-1.0
2,11:11:40.818007,11:11:47.425060,1,-1.0
2,11:11:40.818007,11:11:47.566011,1,-1.0
2,11:11:40.818007,11:11:47.714491,1,-1.0
2,11:11:40.818007,11:11:47.846949,1,-1.0
2,11:11:40.818007,11:11:47.980313,1,-1.0
2,11:11:40.818007,11:11:48.125023,1,-1.0
2,11:11:40.818007,11:11:48.274295,1,-1.0
2,11:11:40.818007,11:11:48.413357,1,-1.0
2,11:11:40.818007,11:11:48.557896,1,-1.0
2,11:11:40.818007,11:11:48.700954,1,-1.0
2,11:11:40.818007,11:11:48.818627,1,-1.0
2,11:11:40.818007,11:11:48.963508,1,-1.0
2,11:11:40.818007,11:11:49.097853,1,-1.0
2,11:11:40.818007,11:11:49.230895,1,-1.0
2,11:11:40.818007,11:11:49.365545,1,-1.0
2,11:11:40.818007,11:11:49.496887,1,-1.0
2,11:11:40.818007,11:11:49.641917,1,-1.0
2,11:11:40.818007,11:11:49.780841,1,-1.0
2,11:11:40.818007,11:11:49.913559,1,-1.0
2,11:11:40.818007,11:11:50.195858,-1,-1.0
2,11:11:40.818007,11:11:50.330053,-1,-1.0
2,11:11:40.818007,11:11:50.463693,-1,-1.0
2,11:11:40.818007,11:11:50.608320,-1,-1.0
2,11:11:40.818007,11:11:50.748163,-1,-1.0
2,11:11:40.818007,11:11:50.890944,-1,-1.0
2,11:11:40.818007,11:11:51.041287,-1,-1.0
2,11:11:40.818007,11:11:51.180897,-1,-1.0
2,11:11:40.818007,11:11:51.313697,-1,-1.0
2,11:11:40.818007,11:11:51.459054,-1,-1.0
2,11:11:40.818007,11:11:51.608239,-1,-1.0
2,11:11:40.818007,11:11:51.749930,-1,-1.0
2,11:11:40.818007,11:11:51.878134,-1,-1.0
2,11:11:40.818007,11:11:52.016239,-1,-1.0
2,11:11:40.818007,11:11:52.163468,-1,-1.0
2,11:11:40.818007,11:11:52.296294,-1,-1.0
2,11:11:40.818007,11:11:52.441259,-1,-1.0
2,11:11:40.818007,11:11:52.580273,-1,-1.0
2,11:11:40.818007,11:11:52.713829,-1,-1.0
2,11:11:40.818007,11:11:52.912650,1,-1.0
2,11:11:40.818007,11:11:53.047869,1,-1.0
2,11:11:40.818007,11:11:53.180863,1,-1.0
2,11:11:40.818007,11:11:53.313662,1,-1.0
2,11:11:40.818007,11:11:53.449283,1,-1.0
2,11:11:40.818007,11:11:53.579790,1,-1.0
2,11:11:40.818007,11:11:53.715756,1,-1.0
2,11:11:40.818007,11:11:53.847816,1,-1.0
2,11:11:40.818007,11:11:53.990434,1,-1.0
2,11:11:40.818007,11:11:54.140630,1,-1.0
2,11:11:40.818007,11:11:54.280892,1,-1.0
2,11:11:40.818007,11:11:54.418053,1,-1.0
2,11:11:40.818007,11:11:54.549939,1,-1.0
2,11:11:40.818007,11:11:54.673062,1,-1.0
2,11:11:40.818007,11:11:54.823923,1,-1.0
2,11:11:40.818007,11:11:54.963174,1,-1.0
2,11:11:40.818007,11:11:55.107413,1,-1.0
2,11:11:40.818007,11:11:55.247009,1,-1.0
2,11:11:40.818007,11:11:55.391622,1,-1.0
2,11:11:40.818007,11:11:55.550530,1,-1.0
2,11:11:40.818007,11:11:55.701140,1,-1.0
2,11:11:40.818007,11:11:55.847764,1,-1.0
