Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:00:21.680174,11:00:22.335771,1,-1.0
1,11:00:21.680174,11:00:22.470440,1,-1.0
1,11:00:21.680174,11:00:22.599580,1,-1.0
1,11:00:21.680174,11:00:22.936931,-1,-1.0
1,11:00:21.680174,11:00:23.125123,-1,-1.0
1,11:00:21.680174,11:00:23.286291,-1,-1.0
1,11:00:21.680174,11:00:23.417741,-1,-1.0
1,11:00:21.680174,11:00:23.549027,-1,-1.0
1,11:00:21.680174,11:00:23.684872,-1,-1.0
1,11:00:21.680174,11:00:23.833474,-1,-1.0
1,11:00:21.680174,11:00:23.982107,-1,-1.0
1,11:00:21.680174,11:00:24.121117,-1,-1.0
1,11:00:21.680174,11:00:24.265747,-1,-1.0
1,11:00:21.680174,11:00:24.402501,-1,-1.0
1,11:00:21.680174,11:00:24.544355,-1,-1.0
1,11:00:21.680174,11:00:24.692556,-1,-1.0
1,11:00:21.680174,11:00:24.849940,-1,-1.0
1,11:00:21.680174,11:00:25.138503,1,-1.0
1,11:00:21.680174,11:00:25.265725,1,-1.0
1,11:00:21.680174,11:00:25.401793,1,-1.0
1,11:00:21.680174,11:00:25.537512,1,-1.0
1,11:00:21.680174,11:00:25.690029,1,-1.0
1,11:00:21.680174,11:00:25.840397,1,-1.0
1,11:00:21.680174,11:00:25.983962,1,-1.0
1,11:00:21.680174,11:00:26.137769,1,-1.0
1,11:00:21.680174,11:00:26.273638,1,-1.0
1,11:00:21.680174,11:00:26.451961,1,-1.0
1,11:00:21.680174,11:00:27.684077,-1,-1.0
1,11:00:21.680174,11:00:27.808666,-1,-1.0
1,11:00:21.680174,11:00:27.959562,-1,-1.0
1,11:00:21.680174,11:00:28.094470,-1,-1.0
1,11:00:21.680174,11:00:28.238113,-1,-1.0
1,11:00:21.680174,11:00:28.374632,-1,-1.0
1,11:00:21.680174,11:00:28.514217,-1,-1.0
1,11:00:21.680174,11:00:28.649565,-1,-1.0
1,11:00:21.680174,11:00:28.783956,-1,-1.0
1,11:00:21.680174,11:00:28.934889,-1,-1.0
1,11:00:21.680174,11:00:29.067172,-1,-1.0
1,11:00:21.680174,11:00:29.208958,-1,-1.0
1,11:00:21.680174,11:00:29.355685,-1,-1.0
