Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:50:08.779680,11:50:09.076160,1,-1.0
1,11:50:08.779680,11:50:09.240111,1,-1.0
1,11:50:08.779680,11:50:09.374962,1,-1.0
1,11:50:08.779680,11:50:09.524025,1,-1.0
1,11:50:08.779680,11:50:09.673932,1,-1.0
1,11:50:08.779680,11:50:09.928337,-1,-1.0
1,11:50:08.779680,11:50:10.069994,-1,-1.0
1,11:50:08.779680,11:50:10.206898,-1,-1.0
1,11:50:08.779680,11:50:10.352496,-1,-1.0
1,11:50:08.779680,11:50:10.521917,-1,-1.0
1,11:50:08.779680,11:50:10.649150,-1,-1.0
1,11:50:08.779680,11:50:10.765800,-1,-1.0
1,11:50:08.779680,11:50:10.911097,-1,-1.0
1,11:50:08.779680,11:50:11.027178,-1,-1.0
1,11:50:08.779680,11:50:11.161068,-1,-1.0
1,11:50:08.779680,11:50:11.294413,-1,-1.0
1,11:50:08.779680,11:50:11.438932,-1,-1.0
1,11:50:08.779680,11:50:11.591848,-1,-1.0
1,11:50:08.779680,11:50:11.718263,-1,-1.0
1,11:50:08.779680,11:50:11.870879,-1,-1.0
1,11:50:08.779680,11:50:12.009592,-1,-1.0
1,11:50:08.779680,11:50:12.148736,-1,-1.0
1,11:50:08.779680,11:50:12.286893,-1,-1.0
1,11:50:08.779680,11:50:12.425687,-1,-1.0
1,11:50:08.779680,11:50:12.574596,-1,-1.0
1,11:50:08.779680,11:50:12.715185,-1,-1.0
1,11:50:08.779680,11:50:12.832540,-1,-1.0
1,11:50:08.779680,11:50:12.969352,-1,-1.0
1,11:50:08.779680,11:50:13.128818,-1,-1.0
1,11:50:08.779680,11:50:13.257697,-1,-1.0
1,11:50:08.779680,11:50:13.395268,-1,-1.0
1,11:50:08.779680,11:50:13.539692,-1,-1.0
1,11:50:08.779680,11:50:13.666451,-1,-1.0
1,11:50:08.779680,11:50:13.812555,-1,-1.0
1,11:50:08.779680,11:50:13.951413,-1,-1.0
1,11:50:08.779680,11:50:14.047348,1,-1.0
1,11:50:08.779680,11:50:14.153777,1,-1.0
1,11:50:08.779680,11:50:14.272556,1,-1.0
1,11:50:08.779680,11:50:14.410403,1,-1.0
1,11:50:08.779680,11:50:14.548247,1,-1.0
1,11:50:08.779680,11:50:14.676236,1,-1.0
1,11:50:08.779680,11:50:14.815216,1,-1.0
1,11:50:08.779680,11:50:14.931822,1,-1.0
1,11:50:08.779680,11:50:15.070892,1,-1.0
1,11:50:08.779680,11:50:15.186374,1,-1.0
1,11:50:08.779680,11:50:15.321090,1,-1.0
1,11:50:08.779680,11:50:15.454523,1,-1.0
1,11:50:08.779680,11:50:15.603341,1,-1.0
1,11:50:08.779680,11:50:15.721006,1,-1.0
1,11:50:08.779680,11:50:15.846723,1,-1.0
1,11:50:08.779680,11:50:15.981981,1,-1.0
1,11:50:08.779680,11:50:16.119591,1,-1.0
1,11:50:08.779680,11:50:16.244097,1,-1.0
1,11:50:08.779680,11:50:16.370973,1,-1.0
1,11:50:08.779680,11:50:16.510499,1,-1.0
1,11:50:08.779680,11:50:16.657729,1,-1.0
1,11:50:08.779680,11:50:16.782582,1,-1.0
1,11:50:08.779680,11:50:16.923683,1,-1.0
1,11:50:08.779680,11:50:17.061972,1,-1.0
1,11:50:08.779680,11:50:17.209365,1,-1.0
1,11:50:08.779680,11:50:17.327960,1,-1.0
1,11:50:08.779680,11:50:17.471225,1,-1.0
1,11:50:08.779680,11:50:17.619903,1,-1.0
1,11:50:08.779680,11:50:17.767020,1,-1.0
1,11:50:08.779680,11:50:17.931153,1,-1.0
1,11:50:08.779680,11:50:18.035833,1,-1.0
1,11:50:08.779680,11:50:18.158743,1,-1.0
1,11:50:08.779680,11:50:18.307745,1,-1.0
1,11:50:08.779680,11:50:18.449671,1,-1.0
1,11:50:08.779680,11:50:18.573871,1,-1.0
1,11:50:08.779680,11:50:18.719784,1,-1.0
1,11:50:08.779680,11:50:18.861241,1,-1.0
1,11:50:08.779680,11:50:18.995858,1,-1.0
1,11:50:08.779680,11:50:19.122878,1,-1.0
1,11:50:08.779680,11:50:19.260678,1,-1.0
1,11:50:08.779680,11:50:19.385172,1,-1.0
1,11:50:08.779680,11:50:19.636719,-1,-1.0
1,11:50:08.779680,11:50:19.764233,-1,-1.0
1,11:50:08.779680,11:50:19.912849,-1,-1.0
1,11:50:08.779680,11:50:20.041926,-1,-1.0
1,11:50:08.779680,11:50:20.181036,-1,-1.0
1,11:50:08.779680,11:50:20.319245,-1,-1.0
1,11:50:08.779680,11:50:20.454675,-1,-1.0
1,11:50:08.779680,11:50:20.604992,-1,-1.0
1,11:50:08.779680,11:50:20.730752,-1,-1.0
1,11:50:08.779680,11:50:20.877946,-1,-1.0
1,11:50:08.779680,11:50:21.145135,-1,-1.0
1,11:50:08.779680,11:50:21.272872,-1,-1.0
1,11:50:08.779680,11:50:21.421771,-1,-1.0
1,11:50:08.779680,11:50:21.603395,-1,-1.0
1,11:50:08.779680,11:50:21.801465,-1,-1.0
1,11:50:08.779680,11:50:21.960890,-1,-1.0
1,11:50:08.779680,11:50:22.114361,-1,-1.0
1,11:50:08.779680,11:50:22.260527,-1,-1.0
1,11:50:08.779680,11:50:22.409454,-1,-1.0
1,11:50:08.779680,11:50:22.569837,-1,-1.0
1,11:50:08.779680,11:50:22.720704,-1,-1.0
1,11:50:08.779680,11:50:22.889533,-1,-1.0
1,11:50:08.779680,11:50:23.049886,-1,-1.0
1,11:50:08.779680,11:50:23.199202,-1,-1.0
1,11:50:08.779680,11:50:23.337298,-1,-1.0
1,11:50:08.779680,11:50:23.508871,-1,-1.0
1,11:50:08.779680,11:50:23.669983,-1,-1.0
1,11:50:08.779680,11:50:23.841706,-1,-1.0
1,11:50:08.779680,11:50:24.000106,-1,-1.0
1,11:50:08.779680,11:50:24.153265,-1,-1.0
1,11:50:08.779680,11:50:24.303821,-1,-1.0
1,11:50:08.779680,11:50:24.488386,-1,-1.0
1,11:50:08.779680,11:50:24.660508,-1,-1.0
1,11:50:08.779680,11:50:24.830720,-1,-1.0
1,11:50:08.779680,11:50:25.001476,-1,-1.0
1,11:50:08.779680,11:50:25.150865,-1,-1.0
1,11:50:08.779680,11:50:25.300819,-1,-1.0
1,11:50:08.779680,11:50:25.450672,-1,-1.0
1,11:50:08.779680,11:50:25.545675,1,-1.0
1,11:50:08.779680,11:50:25.704634,1,-1.0
1,11:50:08.779680,11:50:25.875840,1,-1.0
1,11:50:08.779680,11:50:26.037169,1,-1.0
1,11:50:08.779680,11:50:26.177304,1,-1.0
1,11:50:08.779680,11:50:26.340549,1,-1.0
1,11:50:08.779680,11:50:26.467231,1,-1.0
1,11:50:08.779680,11:50:26.634006,1,-1.0
1,11:50:08.779680,11:50:26.793965,1,-1.0
1,11:50:08.779680,11:50:26.932609,1,-1.0
1,11:50:08.779680,11:50:27.081949,1,-1.0
1,11:50:08.779680,11:50:27.219701,1,-1.0
1,11:50:08.779680,11:50:27.368580,1,-1.0
1,11:50:08.779680,11:50:27.518689,1,-1.0
1,11:50:08.779680,11:50:27.646288,1,-1.0
1,11:50:08.779680,11:50:27.785820,1,-1.0
1,11:50:08.779680,11:50:27.934655,1,-1.0
1,11:50:08.779680,11:50:28.074476,1,-1.0
1,11:50:08.779680,11:50:28.237276,1,-1.0
1,11:50:08.779680,11:50:28.372488,1,-1.0
1,11:50:08.779680,11:50:28.489260,1,-1.0
1,11:50:08.779680,11:50:28.645909,1,-1.0
1,11:50:08.779680,11:50:28.787330,1,-1.0
1,11:50:08.779680,11:50:28.924287,1,-1.0
1,11:50:08.779680,11:50:29.072564,1,-1.0
1,11:50:08.779680,11:50:29.187477,1,-1.0
1,11:50:08.779680,11:50:29.345531,1,-1.0
1,11:50:08.779680,11:50:29.483888,1,-1.0
1,11:50:08.779680,11:50:29.630833,1,-1.0
1,11:50:08.779680,11:50:29.780622,1,-1.0
1,11:50:08.779680,11:50:29.919172,1,-1.0
1,11:50:08.779680,11:50:30.067522,1,-1.0
1,11:50:08.779680,11:50:30.214325,1,-1.0
1,11:50:08.779680,11:50:30.342496,1,-1.0
1,11:50:08.779680,11:50:30.498991,1,-1.0
1,11:50:08.779680,11:50:30.644362,1,-1.0
1,11:50:08.779680,11:50:30.782401,1,-1.0
1,11:50:08.779680,11:50:30.921480,1,-1.0
1,11:50:08.779680,11:50:31.060490,1,-1.0
1,11:50:08.779680,11:50:31.209730,1,-1.0
1,11:50:08.779680,11:50:31.391136,1,-1.0
1,11:50:08.779680,11:50:31.550814,1,-1.0
1,11:50:08.779680,11:50:31.732492,1,-1.0
1,11:50:08.779680,11:50:31.868632,1,-1.0
1,11:50:08.779680,11:50:31.981373,-1,-1.0
1,11:50:08.779680,11:50:32.131835,-1,-1.0
1,11:50:08.779680,11:50:32.281146,-1,-1.0
1,11:50:08.779680,11:50:32.430316,-1,-1.0
1,11:50:08.779680,11:50:32.579022,-1,-1.0
1,11:50:08.779680,11:50:32.766871,-1,-1.0
1,11:50:08.779680,11:50:32.937905,-1,-1.0
1,11:50:08.779680,11:50:33.108554,-1,-1.0
1,11:50:08.779680,11:50:33.257301,-1,-1.0
1,11:50:08.779680,11:50:33.406771,-1,-1.0
1,11:50:08.779680,11:50:33.588536,-1,-1.0
1,11:50:08.779680,11:50:33.727245,-1,-1.0
1,11:50:08.779680,11:50:33.908353,-1,-1.0
1,11:50:08.779680,11:50:34.057937,-1,-1.0
1,11:50:08.779680,11:50:34.239048,-1,-1.0
1,11:50:08.779680,11:50:34.387998,-1,-1.0
1,11:50:08.779680,11:50:34.558969,-1,-1.0
1,11:50:08.779680,11:50:34.719260,-1,-1.0
1,11:50:08.779680,11:50:34.878646,-1,-1.0
1,11:50:08.779680,11:50:35.038786,-1,-1.0
1,11:50:08.779680,11:50:35.198409,-1,-1.0
1,11:50:08.779680,11:50:35.369387,-1,-1.0
1,11:50:08.779680,11:50:35.551088,-1,-1.0
1,11:50:08.779680,11:50:35.710478,-1,-1.0
1,11:50:08.779680,11:50:35.881770,-1,-1.0
1,11:50:08.779680,11:50:36.040908,-1,-1.0
1,11:50:08.779680,11:50:36.212485,-1,-1.0
1,11:50:08.779680,11:50:36.360732,-1,-1.0
1,11:50:08.779680,11:50:36.536463,-1,-1.0
1,11:50:08.779680,11:50:36.697526,-1,-1.0
1,11:50:08.779680,11:50:36.871660,-1,-1.0
1,11:50:08.779680,11:50:37.037937,-1,-1.0
1,11:50:08.779680,11:50:37.197940,-1,-1.0
1,11:50:08.779680,11:50:37.365505,-1,-1.0
1,11:50:08.779680,11:50:37.513524,-1,-1.0
1,11:50:08.779680,11:50:37.684231,-1,-1.0
1,11:50:08.779680,11:50:37.854932,-1,-1.0
1,11:50:08.779680,11:50:38.007328,-1,-1.0
1,11:50:08.779680,11:50:38.174689,-1,-1.0
