Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:29:35.023719,11:29:37.148098,-1,-1.0
1,11:29:35.023719,11:29:37.289338,-1,-1.0
1,11:29:35.023719,11:29:37.422941,-1,-1.0
1,11:29:35.023719,11:29:37.554528,-1,-1.0
1,11:29:35.023719,11:29:37.682741,-1,-1.0
1,11:29:35.023719,11:29:37.822665,-1,-1.0
1,11:29:35.023719,11:29:37.954771,-1,-1.0
1,11:29:35.023719,11:29:38.092898,-1,-1.0
1,11:29:35.023719,11:29:38.225536,-1,-1.0
1,11:29:35.023719,11:29:38.370552,-1,-1.0
1,11:29:35.023719,11:29:38.502358,-1,-1.0
1,11:29:35.023719,11:29:38.642684,-1,-1.0
1,11:29:35.023719,11:29:38.791440,-1,-1.0
1,11:29:35.023719,11:29:38.934068,-1,-1.0
1,11:29:35.023719,11:29:39.066328,-1,-1.0
1,11:29:35.023719,11:29:39.211032,-1,-1.0
1,11:29:35.023719,11:29:39.359293,-1,-1.0
1,11:29:35.023719,11:29:39.488173,-1,-1.0
1,11:29:35.023719,11:29:40.367654,1,-1.0
1,11:29:35.023719,11:29:40.505190,1,-1.0
1,11:29:35.023719,11:29:40.638667,1,-1.0
1,11:29:35.023719,11:29:40.760920,1,-1.0
1,11:29:35.023719,11:29:40.904121,1,-1.0
1,11:29:35.023719,11:29:41.029141,1,-1.0
1,11:29:35.023719,11:29:41.152555,1,-1.0
1,11:29:35.023719,11:29:41.277446,1,-1.0
1,11:29:35.023719,11:29:41.405637,1,-1.0
1,11:29:35.023719,11:29:41.537790,1,-1.0
1,11:29:35.023719,11:29:41.660062,1,-1.0
1,11:29:35.023719,11:29:41.792095,1,-1.0
1,11:29:35.023719,11:29:41.910125,1,-1.0
1,11:29:35.023719,11:29:42.048073,1,-1.0
1,11:29:35.023719,11:29:42.170837,1,-1.0
1,11:29:35.023719,11:29:42.295883,1,-1.0
1,11:29:35.023719,11:29:42.411607,1,-1.0
1,11:29:35.023719,11:29:42.542542,1,-1.0
1,11:29:35.023719,11:29:42.672118,1,-1.0
1,11:29:35.023719,11:29:42.799613,1,-1.0
1,11:29:35.023719,11:29:42.918276,1,-1.0
1,11:29:35.023719,11:29:43.055255,1,-1.0
1,11:29:35.023719,11:29:43.182946,1,-1.0
1,11:29:35.023719,11:29:43.312899,1,-1.0
1,11:29:35.023719,11:29:43.448715,1,-1.0
1,11:29:35.023719,11:29:43.576946,1,-1.0
1,11:29:35.023719,11:29:43.705681,1,-1.0
1,11:29:35.023719,11:29:43.822828,1,-1.0
1,11:29:35.023719,11:29:43.953596,1,-1.0
1,11:29:35.023719,11:29:44.088373,1,-1.0
1,11:29:35.023719,11:29:44.224049,1,-1.0
1,11:29:35.023719,11:29:44.358791,1,-1.0
1,11:29:35.023719,11:29:44.501999,1,-1.0
1,11:29:35.023719,11:29:44.628923,1,-1.0
1,11:29:35.023719,11:29:44.896757,1,-1.0
1,11:29:35.023719,11:29:45.040400,1,-1.0
1,11:29:35.023719,11:29:46.672352,-1,-1.0
1,11:29:35.023719,11:29:46.806060,-1,-1.0
1,11:29:35.023719,11:29:46.931033,-1,-1.0
1,11:29:35.023719,11:29:47.063787,-1,-1.0
1,11:29:35.023719,11:29:47.203830,-1,-1.0
1,11:29:35.023719,11:29:47.327922,-1,-1.0
1,11:29:35.023719,11:29:47.454247,-1,-1.0
1,11:29:35.023719,11:29:47.580799,-1,-1.0
1,11:29:35.023719,11:29:47.712094,-1,-1.0
1,11:29:35.023719,11:29:47.840757,-1,-1.0
1,11:29:35.023719,11:29:47.966416,-1,-1.0
1,11:29:35.023719,11:29:48.104085,-1,-1.0
1,11:29:35.023719,11:29:48.217433,-1,-1.0
1,11:29:35.023719,11:29:48.354169,-1,-1.0
1,11:29:35.023719,11:29:48.481375,-1,-1.0
1,11:29:35.023719,11:29:48.611138,-1,-1.0
1,11:29:35.023719,11:29:48.744247,-1,-1.0
1,11:29:35.023719,11:29:48.864166,-1,-1.0
1,11:29:35.023719,11:29:49.000404,-1,-1.0
1,11:29:35.023719,11:29:49.119073,-1,-1.0
1,11:29:35.023719,11:29:49.229162,-1,-1.0
1,11:29:35.023719,11:29:49.354667,-1,-1.0
1,11:29:35.023719,11:29:49.480694,-1,-1.0
1,11:29:35.023719,11:29:49.602685,-1,-1.0
1,11:29:35.023719,11:29:49.727949,-1,-1.0
1,11:29:35.023719,11:29:49.845931,-1,-1.0
1,11:29:35.023719,11:29:49.972446,-1,-1.0
1,11:29:35.023719,11:29:50.096707,-1,-1.0
1,11:29:35.023719,11:29:50.208277,-1,-1.0
1,11:29:35.023719,11:29:50.341657,-1,-1.0
1,11:29:35.023719,11:29:50.464609,-1,-1.0
1,11:29:35.023719,11:29:50.607172,-1,-1.0
1,11:29:35.023719,11:29:50.729845,-1,-1.0
1,11:29:35.023719,11:29:50.858111,-1,-1.0
1,11:29:35.023719,11:29:50.991234,-1,-1.0
1,11:29:35.023719,11:29:51.135893,-1,-1.0
1,11:29:35.023719,11:29:51.271864,-1,-1.0
1,11:29:35.023719,11:29:51.646818,1,-1.0
1,11:29:35.023719,11:29:51.778588,1,-1.0
1,11:29:35.023719,11:29:51.915462,1,-1.0
1,11:29:35.023719,11:29:52.049739,1,-1.0
1,11:29:35.023719,11:29:52.178854,1,-1.0
1,11:29:35.023719,11:29:52.324091,1,-1.0
1,11:29:35.023719,11:29:52.446979,1,-1.0
1,11:29:35.023719,11:29:52.585610,1,-1.0
1,11:29:35.023719,11:29:52.734685,1,-1.0
1,11:29:35.023719,11:29:52.870349,1,-1.0
1,11:29:35.023719,11:29:53.020987,1,-1.0
1,11:29:35.023719,11:29:53.148616,1,-1.0
1,11:29:35.023719,11:29:53.285223,1,-1.0
1,11:29:35.023719,11:29:53.414393,1,-1.0
1,11:29:35.023719,11:29:53.538600,1,-1.0
1,11:29:35.023719,11:29:53.664881,1,-1.0
1,11:29:35.023719,11:29:53.794398,1,-1.0
1,11:29:35.023719,11:29:53.939997,1,-1.0
1,11:29:35.023719,11:29:54.065887,1,-1.0
1,11:29:35.023719,11:29:54.199748,1,-1.0
1,11:29:35.023719,11:29:54.321958,1,-1.0
1,11:29:35.023719,11:29:54.453190,1,-1.0
1,11:29:35.023719,11:29:54.583841,1,-1.0
1,11:29:35.023719,11:29:54.705880,1,-1.0
1,11:29:35.023719,11:29:54.824865,1,-1.0
1,11:29:35.023719,11:29:54.971696,1,-1.0
1,11:29:35.023719,11:29:55.097767,1,-1.0
1,11:29:35.023719,11:29:55.232914,1,-1.0
1,11:29:35.023719,11:29:55.364592,1,-1.0
1,11:29:35.023719,11:29:55.499201,1,-1.0
1,11:29:35.023719,11:29:55.627875,1,-1.0
1,11:29:35.023719,11:29:55.751074,1,-1.0
1,11:29:35.023719,11:29:55.888828,1,-1.0
1,11:29:35.023719,11:29:56.012985,1,-1.0
1,11:29:35.023719,11:29:56.136080,1,-1.0
1,11:29:35.023719,11:29:56.280677,1,-1.0
1,11:29:35.023719,11:29:56.417313,1,-1.0
