Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:12:30.110040,16:12:32.405393,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,16:12:35.514376,16:12:35.763424,1,1.0
3,16:12:35.514376,16:12:37.052327,1,1.0
3,16:12:35.514376,16:12:37.365589,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,16:12:41.067224,16:12:42.695633,1,1.0
5,16:12:41.067224,16:12:42.862627,1,1.0
5,16:12:41.067224,16:12:43.041943,1,1.0
5,16:12:41.067224,16:12:43.207244,1,1.0
5,16:12:41.067224,16:12:43.368195,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,16:12:43.370669,16:12:43.893267,1,1.0
6,16:12:43.370669,16:12:44.124224,1,1.0
6,16:12:43.370669,16:12:44.334657,1,1.0
6,16:12:43.370669,16:12:44.487786,1,1.0
6,16:12:43.370669,16:12:44.686682,1,1.0
6,16:12:43.370669,16:12:44.868260,1,1.0
6,16:12:43.370669,16:12:45.015084,1,1.0
6,16:12:43.370669,16:12:45.223387,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,16:12:45.224897,16:12:45.400456,1,1.0
7,16:12:45.224897,16:12:45.571630,1,1.0
7,16:12:45.224897,16:12:45.785256,1,1.0
7,16:12:45.224897,16:12:45.966533,1,1.0
7,16:12:45.224897,16:12:46.168585,1,1.0
7,16:12:45.224897,16:12:46.351014,-1,1.0
7,16:12:45.224897,16:12:46.543444,-1,1.0
7,16:12:45.224897,16:12:46.734294,-1,1.0
7,16:12:45.224897,16:12:46.945865,-1,1.0
7,16:12:45.224897,16:12:47.139738,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,16:12:47.141776,16:12:47.396310,-1,1.0
8,16:12:47.141776,16:12:47.620377,-1,1.0
8,16:12:47.141776,16:12:48.043591,-1,1.0
8,16:12:47.141776,16:12:48.257664,-1,1.0
8,16:12:47.141776,16:12:48.515739,-1,1.0
8,16:12:47.141776,16:12:48.750951,-1,1.0
8,16:12:47.141776,16:12:49.004035,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
