Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:29:33.989111,10:29:35.995651,1,-1.0
1,10:29:33.989111,10:29:36.117591,1,-1.0
1,10:29:33.989111,10:29:36.252121,1,-1.0
1,10:29:33.989111,10:29:36.386783,1,-1.0
1,10:29:33.989111,10:29:36.521391,1,-1.0
1,10:29:33.989111,10:29:36.643390,1,-1.0
1,10:29:33.989111,10:29:36.747152,1,-1.0
1,10:29:33.989111,10:29:36.876061,1,-1.0
1,10:29:33.989111,10:29:37.001578,1,-1.0
1,10:29:33.989111,10:29:37.121949,1,-1.0
1,10:29:33.989111,10:29:37.241403,1,-1.0
1,10:29:33.989111,10:29:37.359151,1,-1.0
1,10:29:33.989111,10:29:37.489801,1,-1.0
1,10:29:33.989111,10:29:37.601502,1,-1.0
1,10:29:33.989111,10:29:37.737170,1,-1.0
1,10:29:33.989111,10:29:37.860178,1,-1.0
1,10:29:33.989111,10:29:37.993559,1,-1.0
1,10:29:33.989111,10:29:38.109289,1,-1.0
1,10:29:33.989111,10:29:38.237192,1,-1.0
1,10:29:33.989111,10:29:38.361856,1,-1.0
1,10:29:33.989111,10:29:38.493308,1,-1.0
1,10:29:33.989111,10:29:38.619861,1,-1.0
1,10:29:33.989111,10:29:38.751633,1,-1.0
1,10:29:33.989111,10:29:38.865329,1,-1.0
1,10:29:33.989111,10:29:38.993902,1,-1.0
1,10:29:33.989111,10:29:39.119285,1,-1.0
1,10:29:33.989111,10:29:39.239688,1,-1.0
1,10:29:33.989111,10:29:39.370064,1,-1.0
1,10:29:33.989111,10:29:39.500333,1,-1.0
1,10:29:33.989111,10:29:39.643644,1,-1.0
1,10:29:33.989111,10:29:39.770205,1,-1.0
1,10:29:33.989111,10:29:39.895031,1,-1.0
1,10:29:33.989111,10:29:40.029634,1,-1.0
1,10:29:33.989111,10:29:40.171181,1,-1.0
1,10:29:33.989111,10:29:40.849704,1,-1.0
1,10:29:33.989111,10:29:40.975566,1,-1.0
1,10:29:33.989111,10:29:41.113837,1,-1.0
1,10:29:33.989111,10:29:41.222786,1,-1.0
1,10:29:33.989111,10:29:41.351847,1,-1.0
1,10:29:33.989111,10:29:41.483270,1,-1.0
1,10:29:33.989111,10:29:41.587564,1,-1.0
1,10:29:33.989111,10:29:41.705132,1,-1.0
1,10:29:33.989111,10:29:41.825882,1,-1.0
1,10:29:33.989111,10:29:41.954871,1,-1.0
1,10:29:33.989111,10:29:42.083105,1,-1.0
1,10:29:33.989111,10:29:42.209654,1,-1.0
1,10:29:33.989111,10:29:42.335045,1,-1.0
1,10:29:33.989111,10:29:42.455338,1,-1.0
1,10:29:33.989111,10:29:42.563751,1,-1.0
1,10:29:33.989111,10:29:42.694400,1,-1.0
1,10:29:33.989111,10:29:42.809379,1,-1.0
1,10:29:33.989111,10:29:42.938248,1,-1.0
1,10:29:33.989111,10:29:43.060392,1,-1.0
1,10:29:33.989111,10:29:43.188969,1,-1.0
1,10:29:33.989111,10:29:43.319554,1,-1.0
1,10:29:33.989111,10:29:43.451496,1,-1.0
1,10:29:33.989111,10:29:43.586349,1,-1.0
1,10:29:33.989111,10:29:43.708590,1,-1.0
1,10:29:33.989111,10:29:43.883268,1,-1.0
1,10:29:33.989111,10:29:43.997941,1,-1.0
1,10:29:33.989111,10:29:44.125106,1,-1.0
1,10:29:33.989111,10:29:44.243153,1,-1.0
1,10:29:33.989111,10:29:44.359514,1,-1.0
1,10:29:33.989111,10:29:44.476904,1,-1.0
1,10:29:33.989111,10:29:44.611910,1,-1.0
1,10:29:33.989111,10:29:44.745157,1,-1.0
1,10:29:33.989111,10:29:44.881623,1,-1.0
1,10:29:33.989111,10:29:44.995631,1,-1.0
1,10:29:33.989111,10:29:45.117387,1,-1.0
1,10:29:33.989111,10:29:45.242842,1,-1.0
1,10:29:33.989111,10:29:45.365366,1,-1.0
1,10:29:33.989111,10:29:45.495268,1,-1.0
1,10:29:33.989111,10:29:46.095480,-1,-1.0
1,10:29:33.989111,10:29:46.279190,-1,-1.0
1,10:29:33.989111,10:29:46.414973,-1,-1.0
1,10:29:33.989111,10:29:46.554403,-1,-1.0
1,10:29:33.989111,10:29:46.682725,-1,-1.0
1,10:29:33.989111,10:29:46.796353,-1,-1.0
1,10:29:33.989111,10:29:46.889487,-1,-1.0
1,10:29:33.989111,10:29:47.030698,-1,-1.0
1,10:29:33.989111,10:29:47.150752,-1,-1.0
1,10:29:33.989111,10:29:47.269469,-1,-1.0
1,10:29:33.989111,10:29:47.381038,-1,-1.0
1,10:29:33.989111,10:29:47.494737,-1,-1.0
1,10:29:33.989111,10:29:47.638881,-1,-1.0
1,10:29:33.989111,10:29:47.767380,-1,-1.0
1,10:29:33.989111,10:29:47.904118,-1,-1.0
1,10:29:33.989111,10:29:48.027329,-1,-1.0
1,10:29:33.989111,10:29:48.153417,-1,-1.0
1,10:29:33.989111,10:29:48.275386,-1,-1.0
1,10:29:33.989111,10:29:48.410844,-1,-1.0
1,10:29:33.989111,10:29:48.533848,-1,-1.0
1,10:29:33.989111,10:29:48.658616,-1,-1.0
1,10:29:33.989111,10:29:48.778621,-1,-1.0
1,10:29:33.989111,10:29:48.902690,-1,-1.0
1,10:29:33.989111,10:29:49.036242,-1,-1.0
1,10:29:33.989111,10:29:49.158970,-1,-1.0
1,10:29:33.989111,10:29:49.307359,-1,-1.0
1,10:29:33.989111,10:29:49.452944,-1,-1.0
1,10:29:33.989111,10:29:49.544101,-1,-1.0
1,10:29:33.989111,10:29:49.685779,-1,-1.0
1,10:29:33.989111,10:29:50.008084,-1,-1.0
1,10:29:33.989111,10:29:50.201985,-1,-1.0
1,10:29:33.989111,10:29:50.387863,-1,-1.0
1,10:29:33.989111,10:29:50.549895,-1,-1.0
1,10:29:33.989111,10:29:51.298955,1,-1.0
1,10:29:33.989111,10:29:51.433984,1,-1.0
1,10:29:33.989111,10:29:51.581661,1,-1.0
1,10:29:33.989111,10:29:51.724142,1,-1.0
1,10:29:33.989111,10:29:51.853164,1,-1.0
1,10:29:33.989111,10:29:51.991263,1,-1.0
1,10:29:33.989111,10:29:52.122052,1,-1.0
1,10:29:33.989111,10:29:52.252391,1,-1.0
1,10:29:33.989111,10:29:52.374054,1,-1.0
1,10:29:33.989111,10:29:52.489535,1,-1.0
1,10:29:33.989111,10:29:52.618092,1,-1.0
1,10:29:33.989111,10:29:52.742917,1,-1.0
1,10:29:33.989111,10:29:52.876475,1,-1.0
1,10:29:33.989111,10:29:53.009591,1,-1.0
1,10:29:33.989111,10:29:53.136601,1,-1.0
1,10:29:33.989111,10:29:53.262266,1,-1.0
1,10:29:33.989111,10:29:53.377985,1,-1.0
1,10:29:33.989111,10:29:53.511831,1,-1.0
1,10:29:33.989111,10:29:53.648576,1,-1.0
1,10:29:33.989111,10:29:53.802131,-1,-1.0
1,10:29:33.989111,10:29:53.924178,-1,-1.0
1,10:29:33.989111,10:29:54.062609,-1,-1.0
1,10:29:33.989111,10:29:54.291390,-1,-1.0
1,10:29:33.989111,10:29:54.441070,-1,-1.0
1,10:29:33.989111,10:29:54.515177,-1,-1.0
1,10:29:33.989111,10:29:54.646345,-1,-1.0
1,10:29:33.989111,10:29:54.754908,-1,-1.0
1,10:29:33.989111,10:29:54.894785,-1,-1.0
1,10:29:33.989111,10:29:55.051921,-1,-1.0
1,10:29:33.989111,10:29:55.196538,1,-1.0
1,10:29:33.989111,10:29:55.316460,1,-1.0
1,10:29:33.989111,10:29:55.455115,1,-1.0
1,10:29:33.989111,10:29:55.597704,1,-1.0
1,10:29:33.989111,10:29:55.726368,1,-1.0
1,10:29:33.989111,10:29:55.843337,1,-1.0
1,10:29:33.989111,10:29:55.972218,1,-1.0
1,10:29:33.989111,10:29:56.093013,1,-1.0
1,10:29:33.989111,10:29:56.220830,1,-1.0
1,10:29:33.989111,10:29:56.340952,1,-1.0
1,10:29:33.989111,10:29:56.481038,1,-1.0
1,10:29:33.989111,10:29:56.591759,1,-1.0
1,10:29:33.989111,10:29:56.708522,1,-1.0
1,10:29:33.989111,10:29:56.823268,1,-1.0
1,10:29:33.989111,10:29:56.951838,1,-1.0
1,10:29:33.989111,10:29:57.078506,1,-1.0
1,10:29:33.989111,10:29:57.205166,1,-1.0
1,10:29:33.989111,10:29:57.332665,1,-1.0
1,10:29:33.989111,10:29:57.463558,1,-1.0
1,10:29:33.989111,10:29:58.684893,-1,-1.0
1,10:29:33.989111,10:29:58.819238,-1,-1.0
1,10:29:33.989111,10:29:58.980152,-1,-1.0
1,10:29:33.989111,10:29:59.100303,-1,-1.0
1,10:29:33.989111,10:29:59.227325,-1,-1.0
1,10:29:33.989111,10:29:59.351581,-1,-1.0
1,10:29:33.989111,10:29:59.462607,-1,-1.0
