Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:24:55.928472,10:24:59.569465,1,-1.0
1,10:24:55.928472,10:25:02.303269,1,-1.0
1,10:24:55.928472,10:25:04.177959,1,-1.0
1,10:24:55.928472,10:25:06.130529,1,-1.0
1,10:24:55.928472,10:25:12.559604,-1,-1.0
1,10:24:55.928472,10:25:15.770379,-1,-1.0
1,10:24:55.928472,10:25:17.309405,1,-1.0
1,10:24:55.928472,10:25:18.104307,1,-1.0
1,10:24:55.928472,10:25:18.452513,1,-1.0
1,10:24:55.928472,10:25:18.948022,1,-1.0
1,10:24:55.928472,10:25:19.282317,1,-1.0
1,10:24:55.928472,10:25:19.617891,1,-1.0
1,10:24:55.928472,10:25:19.930139,1,-1.0
1,10:24:55.928472,10:25:20.221373,1,-1.0
1,10:24:55.928472,10:25:21.885063,-1,-1.0
1,10:24:55.928472,10:25:22.251397,-1,-1.0
1,10:24:55.928472,10:25:22.597739,-1,-1.0
1,10:24:55.928472,10:25:22.889291,-1,-1.0
1,10:24:55.928472,10:25:23.188904,-1,-1.0
1,10:24:55.928472,10:25:23.499657,-1,-1.0
1,10:24:55.928472,10:25:24.179379,-1,-1.0
1,10:24:55.928472,10:25:24.517109,-1,-1.0
1,10:24:55.928472,10:25:24.786611,-1,-1.0
1,10:24:55.928472,10:25:25.095938,-1,-1.0
1,10:24:55.928472,10:25:25.392371,1,-1.0
1,10:24:55.928472,10:25:25.700285,1,-1.0
1,10:24:55.928472,10:25:25.996273,1,-1.0
1,10:24:55.928472,10:25:26.304971,1,-1.0
1,10:24:55.928472,10:25:26.526866,1,-1.0
1,10:24:55.928472,10:25:26.726493,1,-1.0
1,10:24:55.928472,10:25:26.902488,1,-1.0
1,10:24:55.928472,10:25:27.083093,1,-1.0
1,10:24:55.928472,10:25:27.258832,1,-1.0
1,10:24:55.928472,10:25:27.426428,1,-1.0
1,10:24:55.928472,10:25:27.587663,1,-1.0
1,10:24:55.928472,10:25:27.754263,1,-1.0
1,10:24:55.928472,10:25:27.917772,1,-1.0
1,10:24:55.928472,10:25:28.089543,1,-1.0
1,10:24:55.928472,10:25:28.257095,1,-1.0
1,10:24:55.928472,10:25:28.419053,1,-1.0
1,10:24:55.928472,10:25:28.598928,1,-1.0
1,10:24:55.928472,10:25:30.956521,-1,-1.0
1,10:24:55.928472,10:25:31.179830,-1,-1.0
1,10:24:55.928472,10:25:31.406547,-1,-1.0
1,10:24:55.928472,10:25:31.610103,-1,-1.0
1,10:24:55.928472,10:25:31.820354,-1,-1.0
1,10:24:55.928472,10:25:32.003862,-1,-1.0
1,10:24:55.928472,10:25:32.189108,-1,-1.0
1,10:24:55.928472,10:25:32.363200,-1,-1.0
1,10:24:55.928472,10:25:32.549022,-1,-1.0
1,10:24:55.928472,10:25:32.718901,-1,-1.0
1,10:24:55.928472,10:25:32.905144,-1,-1.0
1,10:24:55.928472,10:25:33.060357,-1,-1.0
1,10:24:55.928472,10:25:33.242508,-1,-1.0
