Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:15:43.148295,10:15:45.330893,1,-1.0
1,10:15:43.148295,10:15:45.476373,1,-1.0
1,10:15:43.148295,10:15:45.620137,1,-1.0
1,10:15:43.148295,10:15:45.758273,1,-1.0
1,10:15:43.148295,10:15:45.899163,1,-1.0
1,10:15:43.148295,10:15:46.027142,1,-1.0
1,10:15:43.148295,10:15:46.168039,1,-1.0
1,10:15:43.148295,10:15:46.299329,1,-1.0
1,10:15:43.148295,10:15:46.440621,1,-1.0
1,10:15:43.148295,10:15:46.578241,1,-1.0
1,10:15:43.148295,10:15:46.704635,1,-1.0
1,10:15:43.148295,10:15:46.838992,1,-1.0
1,10:15:43.148295,10:15:46.961905,1,-1.0
1,10:15:43.148295,10:15:47.081776,1,-1.0
1,10:15:43.148295,10:15:47.196176,1,-1.0
1,10:15:43.148295,10:15:47.324624,1,-1.0
1,10:15:43.148295,10:15:47.455669,1,-1.0
1,10:15:43.148295,10:15:47.579217,1,-1.0
1,10:15:43.148295,10:15:47.674129,1,-1.0
1,10:15:43.148295,10:15:47.805441,1,-1.0
1,10:15:43.148295,10:15:47.940348,1,-1.0
1,10:15:43.148295,10:15:48.067015,1,-1.0
1,10:15:43.148295,10:15:48.178346,1,-1.0
1,10:15:43.148295,10:15:48.295283,1,-1.0
1,10:15:43.148295,10:15:48.409335,1,-1.0
1,10:15:43.148295,10:15:48.529509,1,-1.0
1,10:15:43.148295,10:15:48.636863,1,-1.0
1,10:15:43.148295,10:15:48.754633,1,-1.0
1,10:15:43.148295,10:15:48.860083,1,-1.0
1,10:15:43.148295,10:15:48.980566,1,-1.0
1,10:15:43.148295,10:15:49.088309,1,-1.0
1,10:15:43.148295,10:15:49.204653,1,-1.0
1,10:15:43.148295,10:15:49.318896,1,-1.0
1,10:15:43.148295,10:15:49.432016,1,-1.0
1,10:15:43.148295,10:15:49.545286,1,-1.0
1,10:15:43.148295,10:15:50.971080,-1,-1.0
1,10:15:43.148295,10:15:51.067314,-1,-1.0
1,10:15:43.148295,10:15:51.193220,-1,-1.0
1,10:15:43.148295,10:15:51.312391,-1,-1.0
1,10:15:43.148295,10:15:51.418637,-1,-1.0
1,10:15:43.148295,10:15:51.553236,-1,-1.0
1,10:15:43.148295,10:15:51.672274,-1,-1.0
1,10:15:43.148295,10:15:51.788147,-1,-1.0
1,10:15:43.148295,10:15:51.912455,-1,-1.0
1,10:15:43.148295,10:15:52.049508,-1,-1.0
1,10:15:43.148295,10:15:52.166199,-1,-1.0
1,10:15:43.148295,10:15:52.290120,-1,-1.0
1,10:15:43.148295,10:15:52.424165,-1,-1.0
1,10:15:43.148295,10:15:52.539406,-1,-1.0
1,10:15:43.148295,10:15:52.809587,1,-1.0
1,10:15:43.148295,10:15:52.938352,1,-1.0
1,10:15:43.148295,10:15:53.052970,1,-1.0
1,10:15:43.148295,10:15:53.178632,1,-1.0
1,10:15:43.148295,10:15:53.295394,1,-1.0
1,10:15:43.148295,10:15:53.411895,1,-1.0
1,10:15:43.148295,10:15:53.516233,1,-1.0
1,10:15:43.148295,10:15:53.633952,1,-1.0
1,10:15:43.148295,10:15:53.747532,1,-1.0
1,10:15:43.148295,10:15:53.863674,1,-1.0
1,10:15:43.148295,10:15:53.977943,1,-1.0
1,10:15:43.148295,10:15:54.086441,1,-1.0
1,10:15:43.148295,10:15:54.200138,1,-1.0
1,10:15:43.148295,10:15:54.313984,1,-1.0
1,10:15:43.148295,10:15:54.427697,1,-1.0
1,10:15:43.148295,10:15:54.542336,1,-1.0
1,10:15:43.148295,10:15:54.645107,1,-1.0
1,10:15:43.148295,10:15:54.761376,1,-1.0
1,10:15:43.148295,10:15:54.867480,1,-1.0
1,10:15:43.148295,10:15:55.012404,1,-1.0
1,10:15:43.148295,10:15:55.123338,1,-1.0
1,10:15:43.148295,10:15:55.228157,1,-1.0
1,10:15:43.148295,10:15:55.348205,1,-1.0
1,10:15:43.148295,10:15:55.459648,1,-1.0
1,10:15:43.148295,10:15:55.572117,1,-1.0
1,10:15:43.148295,10:15:55.688835,1,-1.0
1,10:15:43.148295,10:15:55.812244,1,-1.0
1,10:15:43.148295,10:15:55.921121,1,-1.0
1,10:15:43.148295,10:15:56.025386,1,-1.0
1,10:15:43.148295,10:15:56.125012,1,-1.0
1,10:15:43.148295,10:15:56.226360,1,-1.0
1,10:15:43.148295,10:15:56.329086,1,-1.0
1,10:15:43.148295,10:15:56.457812,1,-1.0
1,10:15:43.148295,10:15:56.560076,1,-1.0
1,10:15:43.148295,10:15:56.672867,1,-1.0
1,10:15:43.148295,10:15:58.284295,-1,-1.0
1,10:15:43.148295,10:15:58.416078,-1,-1.0
