Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:14:17.927007,11:14:18.247957,1,-1.0
1,11:14:17.927007,11:14:18.872239,-1,-1.0
1,11:14:17.927007,11:14:19.016535,-1,-1.0
1,11:14:17.927007,11:14:19.175856,-1,-1.0
1,11:14:17.927007,11:14:19.359466,-1,-1.0
1,11:14:17.927007,11:14:19.471699,-1,-1.0
1,11:14:17.927007,11:14:19.604569,-1,-1.0
1,11:14:17.927007,11:14:20.111049,1,-1.0
1,11:14:17.927007,11:14:20.264388,1,-1.0
1,11:14:17.927007,11:14:20.387909,1,-1.0
1,11:14:17.927007,11:14:20.486923,1,-1.0
1,11:14:17.927007,11:14:20.620801,1,-1.0
1,11:14:17.927007,11:14:20.735083,1,-1.0
1,11:14:17.927007,11:14:20.991875,-1,-1.0
1,11:14:17.927007,11:14:21.103503,-1,-1.0
1,11:14:17.927007,11:14:21.216190,-1,-1.0
1,11:14:17.927007,11:14:21.358309,-1,-1.0
1,11:14:17.927007,11:14:21.464207,-1,-1.0
1,11:14:17.927007,11:14:21.587236,-1,-1.0
1,11:14:17.927007,11:14:21.720340,-1,-1.0
1,11:14:17.927007,11:14:21.855243,-1,-1.0
1,11:14:17.927007,11:14:21.967902,-1,-1.0
1,11:14:17.927007,11:14:22.104590,-1,-1.0
1,11:14:17.927007,11:14:22.327103,1,-1.0
1,11:14:17.927007,11:14:22.479346,1,-1.0
1,11:14:17.927007,11:14:22.607336,1,-1.0
1,11:14:17.927007,11:14:22.736959,1,-1.0
1,11:14:17.927007,11:14:22.870412,1,-1.0
1,11:14:17.927007,11:14:23.003880,1,-1.0
1,11:14:17.927007,11:14:23.119604,1,-1.0
1,11:14:17.927007,11:14:23.254245,1,-1.0
1,11:14:17.927007,11:14:23.392062,1,-1.0
1,11:14:17.927007,11:14:23.528750,1,-1.0
1,11:14:17.927007,11:14:23.664403,1,-1.0
1,11:14:17.927007,11:14:23.791571,1,-1.0
1,11:14:17.927007,11:14:23.927207,1,-1.0
1,11:14:17.927007,11:14:24.063788,1,-1.0
1,11:14:17.927007,11:14:24.199826,1,-1.0
1,11:14:17.927007,11:14:24.337460,1,-1.0
1,11:14:17.927007,11:14:24.471102,1,-1.0
1,11:14:17.927007,11:14:24.604744,1,-1.0
1,11:14:17.927007,11:14:24.737390,1,-1.0
1,11:14:17.927007,11:14:24.872064,1,-1.0
1,11:14:17.927007,11:14:25.031665,-1,-1.0
1,11:14:17.927007,11:14:25.167911,-1,-1.0
1,11:14:17.927007,11:14:25.305314,-1,-1.0
1,11:14:17.927007,11:14:25.408433,-1,-1.0
1,11:14:17.927007,11:14:25.538127,-1,-1.0
1,11:14:17.927007,11:14:25.670171,-1,-1.0
1,11:14:17.927007,11:14:25.804266,-1,-1.0
