Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:31:41.504270,10:31:46.967349,1,-1.0
1,10:31:41.504270,10:31:47.124908,1,-1.0
1,10:31:41.504270,10:31:47.284101,1,-1.0
1,10:31:41.504270,10:31:47.431277,1,-1.0
1,10:31:41.504270,10:31:47.585444,1,-1.0
1,10:31:41.504270,10:31:47.731368,1,-1.0
1,10:31:41.504270,10:31:47.881460,1,-1.0
1,10:31:41.504270,10:31:48.033081,1,-1.0
1,10:31:41.504270,10:31:48.198202,1,-1.0
1,10:31:41.504270,10:31:48.354822,1,-1.0
1,10:31:41.504270,10:31:48.519137,1,-1.0
1,10:31:41.504270,10:31:48.679651,1,-1.0
1,10:31:41.504270,10:31:48.830090,1,-1.0
1,10:31:41.504270,10:31:48.993193,1,-1.0
1,10:31:41.504270,10:31:49.151490,1,-1.0
1,10:31:41.504270,10:31:49.314584,1,-1.0
1,10:31:41.504270,10:31:51.140834,1,-1.0
1,10:31:41.504270,10:31:51.305394,1,-1.0
1,10:31:41.504270,10:31:52.456490,1,-1.0
1,10:31:41.504270,10:31:52.608236,1,-1.0
1,10:31:41.504270,10:31:52.747349,1,-1.0
1,10:31:41.504270,10:31:52.868304,1,-1.0
1,10:31:41.504270,10:31:53.010318,1,-1.0
1,10:31:41.504270,10:31:53.147294,1,-1.0
1,10:31:41.504270,10:31:53.286407,1,-1.0
1,10:31:41.504270,10:31:53.432471,1,-1.0
1,10:31:41.504270,10:31:53.576043,1,-1.0
1,10:31:41.504270,10:31:53.703633,1,-1.0
1,10:31:41.504270,10:31:54.827046,1,-1.0
1,10:31:41.504270,10:31:54.980302,1,-1.0
1,10:31:41.504270,10:31:55.138217,1,-1.0
1,10:31:41.504270,10:31:55.287990,1,-1.0
1,10:31:41.504270,10:31:55.428467,1,-1.0
1,10:31:41.504270,10:31:55.569702,1,-1.0
1,10:31:41.504270,10:31:55.706386,1,-1.0
1,10:31:41.504270,10:31:55.841289,1,-1.0
1,10:31:41.504270,10:31:55.991241,1,-1.0
1,10:31:41.504270,10:31:56.145221,1,-1.0
1,10:31:41.504270,10:31:56.282854,1,-1.0
1,10:31:41.504270,10:31:56.430126,1,-1.0
1,10:31:41.504270,10:31:56.574807,1,-1.0
1,10:31:41.504270,10:31:56.712922,1,-1.0
1,10:31:41.504270,10:31:56.853107,1,-1.0
1,10:31:41.504270,10:31:57.020454,1,-1.0
1,10:31:41.504270,10:31:57.415326,1,-1.0
1,10:31:41.504270,10:31:57.573038,1,-1.0
1,10:31:41.504270,10:31:57.722618,1,-1.0
1,10:31:41.504270,10:31:57.882819,1,-1.0
1,10:31:41.504270,10:31:58.046649,1,-1.0
1,10:31:41.504270,10:31:58.198874,1,-1.0
1,10:31:41.504270,10:31:58.369573,1,-1.0
1,10:31:41.504270,10:31:58.533078,1,-1.0
1,10:31:41.504270,10:31:59.556246,-1,-1.0
1,10:31:41.504270,10:31:59.723454,-1,-1.0
1,10:31:41.504270,10:31:59.877080,-1,-1.0
1,10:31:41.504270,10:32:00.031567,-1,-1.0
1,10:31:41.504270,10:32:00.177629,-1,-1.0
1,10:31:41.504270,10:32:00.346168,-1,-1.0
1,10:31:41.504270,10:32:00.512859,-1,-1.0
1,10:31:41.504270,10:32:00.676880,-1,-1.0
1,10:31:41.504270,10:32:00.835185,-1,-1.0
1,10:31:41.504270,10:32:00.988756,-1,-1.0
1,10:31:41.504270,10:32:01.139849,-1,-1.0
1,10:31:41.504270,10:32:01.331360,-1,-1.0
1,10:31:41.504270,10:32:01.498548,-1,-1.0
1,10:31:41.504270,10:32:01.666534,-1,-1.0
1,10:31:41.504270,10:32:01.812760,-1,-1.0
1,10:31:41.504270,10:32:01.976375,-1,-1.0
1,10:31:41.504270,10:32:02.129568,-1,-1.0
1,10:31:41.504270,10:32:02.306353,-1,-1.0
1,10:31:41.504270,10:32:02.463826,-1,-1.0
1,10:31:41.504270,10:32:02.626037,-1,-1.0
1,10:31:41.504270,10:32:02.779637,-1,-1.0
1,10:31:41.504270,10:32:02.925663,-1,-1.0
1,10:31:41.504270,10:32:03.080326,-1,-1.0
1,10:31:41.504270,10:32:03.233338,-1,-1.0
1,10:31:41.504270,10:32:03.378574,-1,-1.0
1,10:31:41.504270,10:32:03.535459,-1,-1.0
1,10:31:41.504270,10:32:03.686872,-1,-1.0
1,10:31:41.504270,10:32:04.386269,-1,-1.0
1,10:31:41.504270,10:32:04.539994,-1,-1.0
1,10:31:41.504270,10:32:04.711445,-1,-1.0
1,10:31:41.504270,10:32:04.864097,-1,-1.0
1,10:31:41.504270,10:32:05.009708,-1,-1.0
1,10:31:41.504270,10:32:05.182813,-1,-1.0
1,10:31:41.504270,10:32:05.391195,1,-1.0
1,10:31:41.504270,10:32:05.561356,1,-1.0
1,10:31:41.504270,10:32:05.726393,1,-1.0
1,10:31:41.504270,10:32:05.891478,1,-1.0
1,10:31:41.504270,10:32:06.051631,1,-1.0
1,10:31:41.504270,10:32:06.216629,1,-1.0
1,10:31:41.504270,10:32:06.377052,1,-1.0
1,10:31:41.504270,10:32:06.544337,1,-1.0
1,10:31:41.504270,10:32:06.702949,1,-1.0
1,10:31:41.504270,10:32:06.863104,1,-1.0
1,10:31:41.504270,10:32:07.028646,1,-1.0
1,10:31:41.504270,10:32:07.202378,1,-1.0
1,10:31:41.504270,10:32:07.356305,1,-1.0
1,10:31:41.504270,10:32:07.526489,1,-1.0
1,10:31:41.504270,10:32:07.685688,1,-1.0
1,10:31:41.504270,10:32:07.864208,1,-1.0
1,10:31:41.504270,10:32:08.039590,1,-1.0
1,10:31:41.504270,10:32:08.212537,1,-1.0
1,10:31:41.504270,10:32:08.404026,1,-1.0
1,10:31:41.504270,10:32:08.581574,1,-1.0
1,10:31:41.504270,10:32:08.762279,1,-1.0
1,10:31:41.504270,10:32:08.945971,1,-1.0
1,10:31:41.504270,10:32:09.132097,1,-1.0
1,10:31:41.504270,10:32:09.321192,1,-1.0
1,10:31:41.504270,10:32:09.503661,1,-1.0
1,10:31:41.504270,10:32:09.683476,1,-1.0
1,10:31:41.504270,10:32:09.852588,1,-1.0
1,10:31:41.504270,10:32:13.935658,1,-1.0
